release_seed,metric,contrast,condition,value
20260713,cfd_to_ergun_pressure_drop_ratio,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.00014471815618488648
20260713,cfd_to_ergun_pressure_drop_ratio,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.0002116258380467917
20260713,cfd_to_ergun_pressure_drop_ratio,velocity_size_interaction,difference_of_differences,6.690768186190521e-05
20260713,fpt_5dp_reached_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.030000000000000027
20260713,fpt_5dp_reached_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,0.12
20260713,fpt_5dp_reached_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-0.05999999999999994
20260713,fpt_5dp_reached_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.030000000000000027
20260713,fpt_5dp_reached_fraction,velocity_size_interaction,difference_of_differences,0.08999999999999997
20260713,fpt_5dp_p50_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-0.02243007785136481
20260713,fpt_5dp_p50_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-0.021305537610666912
20260713,fpt_5dp_p50_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.014788197162240994
20260713,fpt_5dp_p50_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.015912737402938894
20260713,fpt_5dp_p50_s,velocity_size_interaction,difference_of_differences,0.0011245402406978994
20260713,late_origin_local_alpha_p50,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-0.12450326691953939
20260713,late_origin_local_alpha_p50,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,0.025072863241583088
20260713,late_origin_local_alpha_p50,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-0.01448228629952597
20260713,late_origin_local_alpha_p50,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.1350938438615965
20260713,late_origin_local_alpha_p50,velocity_size_interaction,difference_of_differences,0.14957613016112248
20260713,centered_msd_exponent,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-0.07256729039912169
20260713,centered_msd_exponent,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,0.060741958820829556
20260713,centered_msd_exponent,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-0.09787503838424705
20260713,centered_msd_exponent,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.035434210835704194
20260713,centered_msd_exponent,velocity_size_interaction,difference_of_differences,0.13330924921995124
20260713,centered_msd_bootstrap_fraction_above_one,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.0
20260713,centered_msd_bootstrap_fraction_above_one,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,0.0
20260713,centered_msd_bootstrap_fraction_above_one,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.0
20260713,centered_msd_bootstrap_fraction_above_one,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.0
20260713,centered_msd_bootstrap_fraction_above_one,velocity_size_interaction,difference_of_differences,0.0
20260713,inertial_local_final_centered_msd_x_m2,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.0011716408144060973
20260713,inertial_local_final_centered_msd_x_m2,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,0.0011392028062091526
20260713,inertial_local_final_centered_msd_x_m2,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-1.0696268008541121e-05
20260713,inertial_local_final_centered_msd_x_m2,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-4.3134276205485794e-05
20260713,inertial_local_final_centered_msd_x_m2,velocity_size_interaction,difference_of_differences,-3.243800819694473e-05
20260713,inertial_local_final_mean_dx_dp,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,39.04578946171706
20260713,inertial_local_final_mean_dx_dp,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,38.59377525352528
20260713,inertial_local_final_mean_dx_dp,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-0.447864477396017
20260713,inertial_local_final_mean_dx_dp,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-0.8998786855877938
20260713,inertial_local_final_mean_dx_dp,velocity_size_interaction,difference_of_differences,-0.45201420819177685
20260713,inertial_local_fpt_5dp_reached_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.0
20260713,inertial_local_fpt_5dp_reached_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,0.0
20260713,inertial_local_fpt_5dp_reached_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.0
20260713,inertial_local_fpt_5dp_reached_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.0
20260713,inertial_local_fpt_5dp_reached_fraction,velocity_size_interaction,difference_of_differences,0.0
20260713,inertial_permuted_final_centered_msd_x_m2,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.001171640814406097
20260713,inertial_permuted_final_centered_msd_x_m2,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,0.0011392028062091526
20260713,inertial_permuted_final_centered_msd_x_m2,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-1.0696268008541176e-05
20260713,inertial_permuted_final_centered_msd_x_m2,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-4.313427620548558e-05
20260713,inertial_permuted_final_centered_msd_x_m2,velocity_size_interaction,difference_of_differences,-3.243800819694451e-05
20260713,inertial_permuted_final_mean_dx_dp,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,39.04578946171705
20260713,inertial_permuted_final_mean_dx_dp,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,38.59377525352527
20260713,inertial_permuted_final_mean_dx_dp,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-0.447864477396017
20260713,inertial_permuted_final_mean_dx_dp,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-0.8998786855877938
20260713,inertial_permuted_final_mean_dx_dp,velocity_size_interaction,difference_of_differences,-0.45201420819177685
20260713,inertial_permuted_fpt_5dp_reached_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.0
20260713,inertial_permuted_fpt_5dp_reached_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,0.0
20260713,inertial_permuted_fpt_5dp_reached_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.0
20260713,inertial_permuted_fpt_5dp_reached_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.0
20260713,inertial_permuted_fpt_5dp_reached_fraction,velocity_size_interaction,difference_of_differences,0.0
20260713,inertial_uniform_final_centered_msd_x_m2,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-4.81482486096809e-35
20260713,inertial_uniform_final_centered_msd_x_m2,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-4.81482486096809e-35
20260713,inertial_uniform_final_centered_msd_x_m2,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.0
20260713,inertial_uniform_final_centered_msd_x_m2,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.0
20260713,inertial_uniform_final_centered_msd_x_m2,velocity_size_interaction,difference_of_differences,0.0
20260713,inertial_uniform_final_mean_dx_dp,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,39.08202463073779
20260713,inertial_uniform_final_mean_dx_dp,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,38.73826970018259
20260713,inertial_uniform_final_mean_dx_dp,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-0.34089619648070624
20260713,inertial_uniform_final_mean_dx_dp,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-0.6846511270359059
20260713,inertial_uniform_final_mean_dx_dp,velocity_size_interaction,difference_of_differences,-0.3437549305551997
