gas_velocity_m_s,df_over_dp,metric,selected_mesh_route,count,mean,standard_deviation,standard_error,ci95_low,ci95_high,minimum,maximum,same_sign_count
0.1,0.05,mean_dx_dp,coarse_2p5dp,3,20.6477466013814,1.4357802480715478,0.8289481127212558,17.081070741401625,24.214422461361174,19.699444088914827,22.299610335000224,3
0.1,0.05,mean_dz_dp,coarse_2p5dp,3,-0.5948527709223863,0.014547874591446335,0.008399219311508459,-0.6309916948203972,-0.5587138470243754,-0.6115979121224132,-0.5853222539627256,3
0.1,0.05,outlet_fraction,coarse_2p5dp,3,0.07333333333333333,0.03214550253664318,0.01855921454276674,-0.006520521780189914,0.15318718844685658,0.05,0.11,3
0.1,0.05,bed_resident_fraction,coarse_2p5dp,3,0.9266666666666666,0.032145502536643146,0.018559214542766718,0.8468128115531435,1.0065205217801898,0.89,0.95,3
0.1,0.05,pressure_gradient_tail_mean_Pa_m,coarse_2p5dp,3,1268.8719360000002,0.15516323979562835,0.08958353826434048,1268.486489144551,1269.2573828554496,1268.696273777778,1268.9903075555558,3
0.1,0.05,cfd_to_ergun_pressure_drop_ratio,coarse_2p5dp,3,0.7823905767657967,9.567416004115026e-05,5.5237502054249445e-05,0.7821529089768012,0.7826282445547922,0.782282262866292,0.782463565053264,3
0.1,0.05,fpt_5dp_reached_fraction,coarse_2p5dp,3,0.8133333333333334,0.056862407030773256,0.03282952600598701,0.6720792836489162,0.9545873830177505,0.75,0.86,3
0.1,0.05,fpt_5dp_p50_s,coarse_2p5dp,3,0.048774764607372206,0.003542824464258764,0.002045450658131389,0.03997390074969652,0.05757562846504789,0.0449610899887635,0.05196360020532018,3
0.1,0.05,late_origin_local_alpha_p50,coarse_2p5dp,3,1.882400659623283,0.040963889350365115,0.023650512543487344,1.7806407172692431,1.9841606019773228,1.8424872349374872,1.9243398451686538,3
0.1,0.05,centered_msd_exponent,coarse_2p5dp,3,1.8911441220280054,0.02255833319455697,0.013024059742346739,1.8351061158258213,1.9471821282301895,1.8705024800674976,1.9152243165186087,3
0.1,0.05,centered_msd_bootstrap_fraction_above_one,coarse_2p5dp,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
0.1,0.05,inertial_local_final_centered_msd_x_m2,coarse_2p5dp,3,0.00041419833950050725,2.8281572123881517e-05,1.632837327882881e-05,0.0003439430196407939,0.0004844536593602206,0.0003858930297134925,0.00044245611403881586,3
0.1,0.05,inertial_local_final_mean_dx_dp,coarse_2p5dp,3,40.16035281280325,1.2934742825650478,0.7467877252287884,36.94718456834114,43.37352105726535,38.670411610062935,40.995501731632345,3
0.1,0.05,inertial_local_fpt_5dp_reached_fraction,coarse_2p5dp,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
0.1,0.05,inertial_permuted_final_centered_msd_x_m2,coarse_2p5dp,3,0.0004141983395005073,2.8281572123881486e-05,1.6328373278828793e-05,0.0003439430196407941,0.00048445365936022053,0.0003858930297134925,0.0004424561140388158,3
