job_id,step,time_s,source_fraction,downstream_fraction,outlet_fraction,x_mean_over_L,x_q99_over_L,x_max_over_L
906_upstream_source_continue_1M_to_4M,0,0.0,1.0,0.0,0.0,0.3327864712592593,0.3985690666666666,0.3999977777777778
906_upstream_source_continue_1M_to_4M,1000,1e-05,0.9994666666666666,0.0001333333333333,0.0,0.3327864074074074,0.3986289555555555,0.4071933333333333
906_upstream_source_continue_1M_to_4M,2000,2e-05,0.9993333333333332,0.0002666666666666,0.0,0.3327920982222222,0.3986289555555555,0.4041044444444445
906_upstream_source_continue_1M_to_4M,3000,3e-05,0.9993333333333332,0.0002666666666666,0.0,0.3327984367407407,0.3986266888888889,0.4081688888888889
906_upstream_source_continue_1M_to_4M,4000,4e-05,0.9992666666666666,0.0002666666666666,0.0,0.3328012453333333,0.3986289555555555,0.4079533333333333
906_upstream_source_continue_1M_to_4M,5000,5e-05,0.999,0.0002,0.0,0.3328021623703704,0.3986448222222222,0.4079444444444444
906_upstream_source_continue_1M_to_4M,6000,6e-05,0.9987333333333334,0.0004,0.0,0.3328025934814814,0.3986378444444444,0.4079377777777778
906_upstream_source_continue_1M_to_4M,7000,7.000000000000001e-05,0.9988,0.0004,0.0,0.3328041749629629,0.3986378444444444,0.4079288888888889
906_upstream_source_continue_1M_to_4M,8000,8e-05,0.9986,0.0005333333333333,0.0,0.3328062266666667,0.3986444444444444,0.40792
906_upstream_source_continue_1M_to_4M,9000,9e-05,0.9986666666666668,0.0005333333333333,0.0,0.3328083093333333,0.3986378444444444,0.4079133333333333
906_upstream_source_continue_1M_to_4M,10000,0.0001,0.9986666666666668,0.0005333333333333,0.0,0.3328102065185185,0.3986312000000001,0.4079044444444444
906_upstream_source_continue_1M_to_4M,20000,0.0002,0.9983333333333332,0.0007333333333333,0.0,0.3328317441481482,0.3986934666666667,0.4181422222222222
906_upstream_source_continue_1M_to_4M,30000,0.0003,0.9978,0.0010666666666666,0.0,0.3328506491851852,0.3987311111111111,0.4302577777777778
906_upstream_source_continue_1M_to_4M,40000,0.0004,0.997,0.0017333333333333,0.0,0.3328767426666666,0.3987466888888889,0.4423622222222222
906_upstream_source_continue_1M_to_4M,50000,0.0005,0.9965333333333334,0.0020666666666666,0.0,0.3329083325925926,0.3987778222222222,0.4544533333333334
906_upstream_source_continue_1M_to_4M,100000,0.001,0.9950666666666668,0.0034,0.0,0.3331431957037037,0.3990290666666667,0.4470466666666666
906_upstream_source_continue_1M_to_4M,150000,0.0015,0.9924,0.0059333333333333,0.0,0.3335043928888889,0.3994134666666666,0.5074266666666667
906_upstream_source_continue_1M_to_4M,200000,0.002,0.9885333333333334,0.0095333333333333,0.0,0.3339802706222222,0.3998781111111111,0.5371
906_upstream_source_continue_1M_to_4M,250000,0.0025,0.9839333333333332,0.0141333333333333,0.0,0.3345508360148148,0.4005223333333333,0.5368266666666667
906_upstream_source_continue_1M_to_4M,300000,0.003,0.9793333333333332,0.0185333333333333,0.0,0.3352009204296296,0.4013223999999999,0.5367177777777778
906_upstream_source_continue_1M_to_4M,350000,0.0035,0.9748666666666668,0.0229333333333333,0.0,0.3359064880296296,0.4022244888888889,0.5367755555555556
906_upstream_source_continue_1M_to_4M,400000,0.004,0.9699333333333332,0.0279333333333333,0.0,0.3366495966222222,0.4031671111111111,0.5369933333333333
906_upstream_source_continue_1M_to_4M,450000,0.0045,0.9634666666666668,0.0342666666666666,0.0,0.3374184805333333,0.4042333333333333,0.5373755555555556
906_upstream_source_continue_1M_to_4M,500000,0.005,0.9575333333333332,0.0400666666666666,0.0,0.3382055770823703,0.4051536,0.5638822222222223
906_upstream_source_continue_1M_to_4M,600000,0.006,0.946,0.0515333333333333,0.0,0.3398094110814815,0.4071292666666667,0.6302244444444445
906_upstream_source_continue_1M_to_4M,700000,0.007,0.9346666666666666,0.0630666666666666,0.0,0.3414122292888888,0.4095225111111111,0.6962444444444444
