job_id,case_name,step,time_s,dump_file,debris_count,expected_debris_atoms,debris_count_ok,outlet_count_x_ge_L,source_count,downstream_count,upstream_count,source_fraction,downstream_fraction,outlet_fraction,x_mean_over_L,x_q90_over_L,x_q99_over_L,x_max_over_L,dx_mean_m,dx_q99_m,dx_max_m,max_abs_velocity_m_s,interval_dt_s,source_loss_rate_particles_s,downstream_growth_rate_particles_s,xmax_front_speed_m_s,xq99_front_speed_m_s,sparse_front_gap_over_L,mobile_tail_to_bulk_gap_over_L
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,500000,0.0025499999999999,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_500000.dump,30000,30000,True,0,29182,672,146,0.9727333333333332,0.0224,0.0,0.3348504682496296,0.3883271111111111,0.4017178444444444,0.9970022222222222,7.634224873333334e-05,0.000658303,0.037816515,11.9051,9.999999999990008e-05,320000.00000031973,280000.00000027975,-0.6860000000007331,0.08000000000010443,0.5952843777777779,0.06686737619481481
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,600000,0.0030499999999999,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_600000.dump,30000,30000,True,0,29042,802,156,0.9680666666666666,0.0267333333333333,0.0,0.3354534317637037,0.3890048888888888,0.4025422444444444,0.9895111111111112,0.0001034756068666,0.0007062009999999,0.043750815,11.8323,0.0005,280000.0,260000.0,-0.6741999999999904,0.07419600000000026,0.5869688666666668,0.06708881268074074
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,680000,0.00345,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_680000.dump,30000,30000,True,0,28918,924,158,0.9639333333333332,0.0308,0.0,0.3359678338325185,0.3895826666666667,0.4032934222222222,0.9923022222222224,0.0001266236999633,0.0007523189999999,0.042058615,6.82571,0.00040000000000009993,309999.9999999226,304999.9999999238,0.3139999999999303,0.08450749999997896,0.5890088000000002,0.0673255883897037
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,700000,0.0035499999999999,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_700000.dump,30000,30000,True,0,28887,955,158,0.9629,0.0318333333333333,0.0,0.3361003413007407,0.3897266666666666,0.4035112666666667,0.983508888888889,0.0001325865360333,0.000761414,0.041479015,6.82473,9.999999999990008e-05,310000.0000003097,310000.0000003097,-3.9570000000039975,0.09803000000012466,0.5799976222222223,0.06741092536592602
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,800000,0.00405,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_800000.dump,30000,30000,True,0,28728,1112,160,0.9576,0.0370666666666666,0.0,0.3367859081125926,0.3905095555555555,0.4046846222222222,0.9751844444444444,0.0001634370425666,0.0008171089999999,0.038597915,8.16139,0.0005000000000000998,317999.99999993655,313999.99999993737,-0.7491999999998625,0.10560199999997191,0.5704998222222222,0.06789871410962955
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,820000,0.00415,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_820000.dump,30000,30000,True,0,28693,1147,160,0.9564333333333334,0.0382333333333333,0.0,0.3369284568148148,0.3906313333333334,0.4048448,0.9889511111111112,0.0001698517341666,0.000823901,0.038025115,8.15231,0.00010000000000000026,349999.99999999907,349999.99999999907,6.19500000000005,0.07208000000002138,0.5841063111111112,0.06791634318518519
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,860000,0.00435,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_860000.dump,30000,30000,True,0,28646,1195,159,0.9548666666666666,0.0398333333333333,0.0,0.3372162501348147,0.3909002222222222,0.4052936222222221,0.9857866666666668,0.0001828024335666,0.0008513049999999,0.036882915,6.74545,0.00019999999999999966,235000.0000000004,240000.0000000004,-0.7119999999999944,0.10098499999997029,0.5804930444444447,0.06807737208740738
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,920000,0.00465,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_920000.dump,30000,30000,True,0,28553,1290,157,0.9517666666666666,0.043,0.0,0.3376563386992592,0.3913246666666667,0.4060489555555555,0.9670022222222224,0.0002026064189666,0.0008894049999999,0.035178215,6.72449,0.0002999999999999999,310000.00000000006,316666.66666666674,-2.817666666666658,0.11330000000000787,0.560953266666667,0.06839261685629627
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,960000,0.00485,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_960000.dump,30000,30000,True,0,28494,1350,156,0.9498,0.045,0.0,0.3379560373948148,0.3916613333333333,0.406582311111111,0.9678,0.0002160928602666,0.0009132499999999,0.034047415,6.71056,0.00020000000000000052,294999.99999999924,299999.9999999992,0.17949999999995145,0.120004999999988,0.561217688888889,0.0686262737162962
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,980000,0.00495,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_980000.dump,30000,30000,True,0,28458,1387,155,0.9486,0.0462333333333333,0.0,0.3381069147674074,0.3918075555555555,0.4068267333333333,0.9669866666666668,0.0002228823420333,0.0009262159999999,0.033483715,6.70361,0.00010000000000000026,359999.99999999907,369999.999999999,-0.3659999999999487,0.10999000000004282,0.5601599333333335,0.0687198185659259
