step,time_s,debris_count,btc_approx_x_ge_L,retained_in_source_slab_count,downstream_of_source_count,upstream_of_source_count,x_mean_over_L,x_q50_over_L,x_q90_over_L,x_q99_over_L,x_max_over_L,dx_mean_m,dx_q90_m,dx_q99_m,dx_min_m,dx_max_m,vx_mean_m_s,vx_q95_m_s,vx_max_m_s
40000,0.0004,15000,0,14955,26,19,0.33287674266666667,0.3329488888888889,0.38580933333333334,0.3987466888888889,0.4423622222222222,4.06221333333333e-06,2.4000000000013594e-06,0.00018029999999999785,-0.0018061000000000015,0.003753799999999998,0.013207081724133332,0.0117744,7.33586
50000,0.0005,15000,0,14948,31,21,0.3329083325925926,0.3329777777777778,0.3858402222222223,0.3987778222222222,0.4544533333333334,5.4837600000000064e-06,3.7000000000023126e-06,0.00020930799999999925,-0.0019885000000000007,0.003873399999999999,0.014708348224999997,0.0147072,5.43913
100000,0.001,15000,0,14926,51,23,0.3331431957037037,0.3332433333333334,0.38608911111111116,0.3990290666666667,0.44704666666666665,1.6052599999999993e-05,1.470000000000117e-05,0.000303201,-0.0035482000000000014,0.003867500000000001,0.026812913389439995,0.0293062,6.76671
150000,0.0015,15000,0,14886,89,25,0.33350439288888895,0.33361999999999997,0.3865048888888889,0.39941346666666666,0.5074266666666667,3.230647333333334e-05,3.300000000000178e-05,0.0003346019999999975,-0.005343100000000002,0.0072421,0.03822069273822666,0.0437978,6.73166
200000,0.002,15000,0,14828,143,29,0.33398027062222224,0.3341488888888889,0.3870182222222222,0.3998781111111111,0.5371,5.372097133333333e-05,5.850000000000126e-05,0.0003726229999999995,-0.00707903,0.0085774,0.047240099722766674,0.0581829,3.0376
250000,0.0025,15000,0,14759,212,29,0.33455083601481483,0.33476333333333336,0.3876248888888889,0.40052233333333337,0.5368266666666667,7.9396414e-05,9.119999999999961e-05,0.00041420700000000015,-0.00882169,0.0085651,0.05517992531243334,0.0724622,3.02997
300000,0.003,15000,0,14690,278,32,0.3352009204296296,0.3354488888888889,0.3882811111111112,0.40132239999999997,0.5367177777777778,0.00010865021266666668,0.00013099999999999917,0.0004505380000000004,-0.01054418,0.008560200000000002,0.061461245426568514,0.0866366,3.0224
350000,0.0035,15000,0,14623,344,33,0.33590648802962964,0.3360888888888889,0.38902377777777786,0.4022244888888889,0.5367755555555556,0.00014040075466666664,0.00017780000000000053,0.0004981050000000014,-0.01220822,0.0085628,0.06528618986904,0.100707,3.01488
400000,0.004,15000,0,14549,419,32,0.3366495966222222,0.3369088888888889,0.38983133333333336,0.4031671111111111,0.5369933333333333,0.0001738406413333333,0.00023160000000000194,0.0005505550000000001,-0.013321350000000001,0.008572600000000001,0.06818323656096667,0.114673,3.00742
450000,0.0045000000000000005,15000,0,14452,514,34,0.33741848053333334,0.33763333333333334,0.3906024444444445,0.40423333333333333,0.5373755555555556,0.00020844041733333334,0.0002924000000000017,0.0005991250000000005,-0.01441895,0.008832900000000001,0.07017370774796666,0.128537,3.00001
500000,0.005,15000,0,14363,601,36,0.33820557708237037,0.33834000000000003,0.39125822222222223,0.4051536,0.5638822222222223,0.00024385976204,0.00036010000000000035,0.0006314350000000015,-0.0154004094,0.010331,0.0714449249426214,0.142299,3.08049
600000,0.006,15000,0,14190,773,37,0.3398094110814815,0.3398833333333333,0.3929697777777778,0.40712926666666677,0.6302244444444445,0.00031603229199999997,0.0005159999999999991,0.0007381159999999988,-0.014331590000000002,0.013316399999999999,0.072690722804136,0.16952,3.06466
700000,0.007,15000,0,14020,946,34,0.34141222928888887,0.34141666666666665,0.39470688888888894,0.40952251111111115,0.6962444444444444,0.00038815911133333335,0.0006500100000000011,0.0008057260000000001,-0.013249120000000001,0.016287299999999998,0.07198456840600267,0.18988624999999992,3.04906
800000,0.008,15000,0,13853,1114,33,0.342988874725926,0.3428377777777778,0.3963522222222222,0.4120112666666667,0.7619488888888889,0.000459108156,0.0007620300000000007,0.0009289380000000007,-0.012470660000000001,0.019243999999999997,0.07005422842254959,0.1880681,3.03368
900000,0.009000000000000001,15000,0,13692,1280,28,0.34454069868148146,0.3443177777777778,0.3979777777777778,0.4146427777777778,0.8130622222222221,0.000528940234,0.0008688199999999997,0.0011444000000000003,-0.01360593,0.021544099999999997,0.06927626416339742,0.18759345,2.14092
1000000,0.01,15000,0,13523,1451,26,0.34607603819703703,0.34580333333333335,0.3996046666666667,0.4169889333333333,0.85254,0.0005980305121999999,0.0009782199999999986,0.0013295040000000009,-0.014636467,0.023320599999999997,0.06817269740337896,0.18637294999999995,2.13885
