step,time_s,time_ms,x_p50_over_L,x_p90_over_L,x_p99_over_L,x_p999_over_L,x_max_over_L,front_minus_p99,tail_minus_p99,fraction_x_gt_0p40,fraction_x_gt_0p60,fraction_x_gt_0p80,fraction_x_gt_0p95,fraction_x_ge_1p00
20000,0.00015,0.15,0.3331199999999999,0.38612,0.3989955555555555,0.4005755711111111,0.4725888888888889,0.0735933333333334,0.0015800155555555917,0.0014333333333333,0.0,0.0,0.0,0.0
40000,0.00025,0.25,0.3331077777777778,0.3861691111111111,0.3990667111111111,0.4023714444444445,0.5581888888888888,0.15912217777777776,0.0033047333333334206,0.0019666666666666,0.0,0.0,0.0,0.0
80000,0.00045,0.45,0.3331655555555555,0.38636,0.3991956,0.4050382155555556,0.6731822222222222,0.27398662222222225,0.005842615555555597,0.0034666666666666,6.666666666666667e-05,0.0,0.0,0.0
100000,0.00055,0.55,0.3331911111111111,0.3864364444444444,0.3992956444444444,0.4063469088888889,0.7263133333333334,0.327017688888889,0.007051264444444538,0.0044333333333333,0.0001,0.0,0.0,0.0
200000,0.00105,1.05,0.3333777777777778,0.386738,0.3997688888888889,0.4134223955555555,0.9908955555555556,0.5911266666666668,0.013653506666666593,0.0081666666666666,0.0001333333333333,6.666666666666667e-05,3.3333333333333335e-05,0.0
240000,0.00125,1.25,0.3335288888888889,0.3868893333333333,0.3999667333333333,0.4143733911111111,0.9964155555555556,0.5964488222222223,0.014406657777777776,0.0097333333333333,0.0001666666666666,6.666666666666667e-05,3.3333333333333335e-05,0.0
260000,0.0013499999999999,1.3499999999999002,0.3335866666666667,0.3869788888888889,0.4000689555555555,0.4152753422222227,0.9976644444444444,0.5975954888888888,0.015206386666667182,0.0106,0.0001666666666666,6.666666666666667e-05,3.3333333333333335e-05,0.0
300000,0.00155,1.55,0.3337,0.387158,0.4003089333333333,0.4182963755555557,0.9982555555555556,0.5979466222222223,0.017987442222222427,0.0128,0.0001666666666666,0.0001,3.3333333333333335e-05,0.0
360000,0.0018499999999999,1.8499999999999,0.3339266666666667,0.38748,0.4006733777777778,0.4238355644444444,0.9964355555555556,0.5957621777777778,0.02316218666666664,0.0156666666666666,0.0002333333333333,0.0001,3.3333333333333335e-05,0.0
380000,0.00195,1.95,0.3340277777777778,0.3875751111111111,0.4008111777777777,0.4262956022222223,0.9958444444444444,0.5950332666666667,0.025484424444444598,0.0163666666666666,0.0002666666666666,0.0001,3.3333333333333335e-05,0.0
480000,0.00245,2.4499999999999997,0.3345588888888889,0.3881788888888889,0.4015400666666666,0.4390448511111112,0.9985266666666668,0.5969866000000001,0.037504784444444605,0.0214666666666666,0.0004,0.0001666666666666,6.666666666666667e-05,0.0
500000,0.00255,2.5500000000000003,0.3346988888888889,0.3883271111111111,0.4017178444444444,0.4414826800000001,0.9970022222222222,0.5952843777777779,0.03976483555555571,0.0224,0.0004,0.0001666666666666,6.666666666666667e-05,0.0
600000,0.00305,3.0500000000000003,0.3353188888888889,0.3890048888888889,0.4025422444444445,0.454439875555556,0.9895111111111112,0.5869688666666668,0.05189763111111151,0.0267333333333333,0.0004333333333333,0.0002,0.0001,0.0
680000,0.00345,3.4499999999999997,0.3358722222222222,0.3895826666666667,0.4032934222222222,0.4644879444444452,0.9923022222222224,0.5890088000000002,0.06119452222222299,0.0308,0.0004333333333333,0.0002333333333333,0.0001333333333333,0.0
700000,0.00355,3.5500000000000003,0.33604,0.3897266666666666,0.4035112666666667,0.4670053333333335,0.983508888888889,0.5799976222222223,0.06349406666666679,0.0318333333333333,0.0004666666666666,0.0002333333333333,0.0001,0.0
740000,0.00375,3.75,0.3362888888888889,0.3900335555555556,0.4039934,0.4710454511111113,0.9793911111111112,0.5753977111111113,0.06705205111111129,0.0341666666666666,0.0004666666666666,0.0002333333333333,0.0001,0.0
800000,0.00405,4.05,0.3367,0.3905095555555556,0.4046846222222222,0.4817333511111111,0.9751844444444444,0.5704998222222222,0.07704872888888892,0.0370666666666666,0.0005,0.0002333333333333,6.666666666666667e-05,0.0
820000,0.00415,4.15,0.3368711111111111,0.3906313333333334,0.4048448,0.4852979866666667,0.9889511111111112,0.5841063111111112,0.08045318666666668,0.0382333333333333,0.0005666666666666,0.0002,6.666666666666667e-05,0.0
