case_name,seed_offset,df_over_dp,gas_velocity_m_s,debris_total_number,case_dir,input,preflight_input,run_script,processed_target,evidence_status,claim_boundary
paper2_frozen_repeat_df0p0225_ug2_seed501,501,0.0225,2.0,3000,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed501,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed501/in.debris_injection,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed501/in.preflight_10k,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed501/run.sh,data/processed/paper1_velocity_scan_frozen/paper2_frozen_repeat_df0p0225_ug2_seed501.json,case_generated_not_run,"Formal frozen-bed repeat case, but not scientific evidence until LIGGGHTS output is post-processed."
paper2_frozen_repeat_df0p0225_ug2_seed601,601,0.0225,2.0,3000,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed601,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed601/in.debris_injection,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed601/in.preflight_10k,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed601/run.sh,data/processed/paper1_velocity_scan_frozen/paper2_frozen_repeat_df0p0225_ug2_seed601.json,case_generated_not_run,"Formal frozen-bed repeat case, but not scientific evidence until LIGGGHTS output is post-processed."
