job_id,case_name,step,time_s,dump_file,debris_count,expected_debris_atoms,debris_count_ok,outlet_count_x_ge_L,source_count,downstream_count,upstream_count,source_fraction,downstream_fraction,outlet_fraction,x_mean_over_L,x_q90_over_L,x_q99_over_L,x_max_over_L,dx_mean_m,dx_q99_m,dx_max_m,max_abs_velocity_m_s,interval_dt_s,source_loss_rate_particles_s,downstream_growth_rate_particles_s,xmax_front_speed_m_s,xq99_front_speed_m_s,sparse_front_gap_over_L,mobile_tail_to_bulk_gap_over_L,delta_from_peak_xmax_over_L,frame_to_frame_delta_xmax_over_L
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,480000,0.00245,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_480000.dump,30000,30000,True,0,29214,644,142,0.9738,0.0214666666666666,0.0,0.3347377446066666,0.3881788888888889,0.4015400666666666,0.9985266666666668,7.12696848e-05,0.0006508189999999,0.036625215,11.9198,9.999999999999984e-05,280000.00000000047,260000.00000000044,0.887000000000017,0.0660099999999609,0.5969866000000001,0.0668023220599999,-0.00034888888888884306,0.0019711111111111457
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,500000,0.0025499999999999,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_500000.dump,30000,30000,True,0,29182,672,146,0.9727333333333332,0.0224,0.0,0.3348504682496296,0.3883271111111111,0.4017178444444444,0.9970022222222222,7.634224873333334e-05,0.000658303,0.037816515,11.9051,9.999999999990008e-05,320000.00000031973,280000.00000027975,-0.6860000000007331,0.0800000000001044,0.5952843777777779,0.0668673761948148,-0.0018733333333333935,-0.0015244444444445504
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,520000,0.00265,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_520000.dump,30000,30000,True,0,29150,700,150,0.9716666666666668,0.0233333333333333,0.0,0.3349661264148149,0.3884471111111111,0.4018756666666667,0.9954866666666669,8.154686616666668e-05,0.0006645049999999,0.039006215,11.8905,0.0001000000000001,319999.99999968,279999.99999971996,-0.6819999999992395,0.0710199999999506,0.5936110000000001,0.0669095402518518,-0.0033888888888887747,-0.0015155555555553812
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,540000,0.00275,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_540000.dump,30000,30000,True,0,29131,719,150,0.9710333333333332,0.0239666666666666,0.0,0.3350847845348148,0.3886013333333333,0.4020422888888889,0.99398,8.688648156666666e-05,0.0006801289999999,0.040194615,11.8759,9.999999999999984e-05,190000.00000000032,190000.00000000032,-0.6780000000000964,0.0749799999999857,0.591937711111111,0.0669575043540741,-0.004895555555555653,-0.0015066666666668782
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,560000,0.00285,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_560000.dump,30000,30000,True,0,29102,748,150,0.9700666666666666,0.0249333333333333,0.0,0.3352055678392592,0.388736,0.4022133333333333,0.9924822222222224,9.232173026666668e-05,0.0006857669999999,0.041381415,11.8614,0.0001,289999.99999999924,289999.99999999924,-0.6739999999999173,0.0769699999999954,0.5902688888888891,0.0670077654940741,-0.006393333333333251,-0.001497777777777598
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,580000,0.00295,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_580000.dump,30000,30000,True,0,29071,777,152,0.9690333333333332,0.0259,0.0,0.3353285504659259,0.3888868888888889,0.4023646222222222,0.9909933333333334,9.785594846666667e-05,0.000695306,0.042566815,11.8468,9.999999999999984e-05,310000.0000000005,290000.0000000005,-0.6700000000000439,0.0680799999999954,0.5886287111111113,0.0670360717562962,-0.007882222222222235,-0.001488888888888984
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,600000,0.0030499999999999,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_600000.dump,30000,30000,True,0,29042,802,156,0.9680666666666666,0.0267333333333333,0.0,0.3354534317637037,0.3890048888888888,0.4025422444444444,0.9895111111111112,0.0001034756068666,0.0007062009999999,0.043750815,11.8323,9.999999999990008e-05,290000.00000028976,250000.0000002498,-0.6670000000006395,0.0799300000000829,0.5869688666666668,0.0670888126807407,-0.009364444444444397,-0.0014822222222221626
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,620000,0.00315,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_620000.dump,30000,30000,True,0,29014,829,157,0.9671333333333332,0.0276333333333333,0.0,0.3355796161916296,0.3891711111111111,0.4027333555555555,0.9982511111111112,0.0001091539061233,0.0007161079999999,0.043804515,8.01424,0.0001000000000001,279999.99999971996,269999.99999973,3.9329999999960528,0.0859999999999028,0.5955177555555558,0.0671537393639258,-0.0006244444444444275,0.00873999999999997
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,640000,0.00325,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_640000.dump,30000,30000,True,0,28976,866,158,0.9658666666666668,0.0288666666666666,0.0,0.3357075841177778,0.3893026666666666,0.4029135555555555,0.9929311111111112,0.0001149124628,0.0007334119999999,0.043221415,8.00537,9.999999999999984e-05,380000.00000000064,370000.00000000064,-2.394,0.0810900000000088,0.5900175555555557,0.0672059714377777,-0.005944444444444419,-0.005319999999999991
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,660000,0.00335,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_660000.dump,30000,30000,True,0,28951,889,160,0.9650333333333332,0.0296333333333333,0.0,0.3358369893126667,0.3894431111111111,0.4031089777777777,0.9944444444444444,0.0001207356965699,0.0007436019999999,0.042639515,7.99651,0.0001,249999.99999999933,229999.9999999994,0.6809999999999132,0.0879399999999833,0.5913354666666666,0.067271988465111,-0.004431111111111274,0.0015133333333331445
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,680000,0.00345,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_680000.dump,30000,30000,True,0,28918,924,158,0.9639333333333332,0.0308,0.0,0.3359678338325185,0.3895826666666667,0.4032934222222222,0.9923022222222224,0.0001266236999633,0.0007523189999999,0.042058615,6.82571,9.999999999999984e-05,330000.0000000006,350000.0000000006,-0.963999999999872,0.0830000000000193,0.5890088000000002,0.0673255883897037,-0.006573333333333209,-0.0021422222222219345
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,700000,0.0035499999999999,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_700000.dump,30000,30000,True,0,28887,955,158,0.9629,0.0318333333333333,0.0,0.3361003413007407,0.3897266666666666,0.4035112666666667,0.983508888888889,0.0001325865360333,0.000761414,0.041479015,6.82473,9.999999999990008e-05,310000.0000003097,310000.0000003097,-3.9570000000039975,0.0980300000001246,0.5799976222222223,0.067410925365926,-0.01536666666666664,-0.00879333333333343
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,720000,0.00365,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_720000.dump,30000,30000,True,0,28847,994,159,0.9615666666666668,0.0331333333333333,0.0,0.3362343408614815,0.3898626666666666,0.4037400222222221,0.9808111111111112,0.0001386165162666,0.0007690029999999,0.040900515,6.82375,0.0001000000000001,399999.99999959994,389999.9999996099,-1.2139999999987954,0.102939999999829,0.577071088888889,0.0675056813607405,-0.01806444444444444,-0.002697777777777799
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,740000,0.00375,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_740000.dump,30000,30000,True,0,28817,1025,158,0.9605666666666668,0.0341666666666666,0.0,0.3363696976288889,0.3900335555555556,0.4039934,0.9793911111111112,0.0001447075708,0.000783901,0.040323115,8.18874,9.999999999999984e-05,300000.0000000005,310000.0000000005,-0.6389999999999906,0.1140200000000537,0.5753977111111113,0.0676237023711111,-0.019484444444444415,-0.0014199999999999768
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,760000,0.00385,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_760000.dump,30000,30000,True,0,28783,1059,158,0.9594333333333334,0.0353,0.0,0.3365067499318518,0.3902117777777778,0.4042177777777778,0.9779822222222222,0.0001508749244333,0.0007933129999999,0.039746915,8.17961,0.0001,339999.9999999991,339999.9999999991,-0.6340000000000551,0.1009700000000027,0.5737644444444444,0.0677110278459259,-0.02089333333333343,-0.001408888888889015
