job_id,label,final_time_s,target_time_reached,particle_count,final_source_fraction,final_released_fraction,final_downstream_fraction,final_outlet_fraction,final_x_mean_over_L,final_x99_over_L,final_xmax_over_L,final_front_bulk_gap_over_L,final_gap_to_outlet_over_L,common_time_s,common_source_fraction,common_downstream_fraction,common_outlet_fraction,common_x99_over_L,common_xmax_over_L,common_front_bulk_gap_over_L,source_release_rate_fraction_per_s,downstream_growth_rate_fraction_per_s,x99_speed_L_per_s,xmax_speed_L_per_s,front_to_bulk_speed_ratio,front_intermittency_index
906_upstream_source_continue_1M_to_4M,906 upstream,0.01,False,15000,0.9015333333333332,0.09846666666666681,0.0967333333333333,0.0,0.346076038197037,0.4169889333333333,0.85254,0.43555106666666665,0.14746000000000004,0.00515,0.9575333333333332,0.0400666666666666,0.0,0.4051536,0.5638822222222223,0.15872862222222228,9.421125283817945,9.24274672470775,1.6833764072525463,41.687755868827416,24.764369804176106,1.4025679873989036
907_downstream_source_dt5e9_to_10ms,907 downstream,0.01005,True,15000,0.8961333333333333,0.10386666666666666,0.1009333333333333,0.0,0.6126589753051852,0.6837535333333333,0.9826066666666669,0.2988531333333335,0.01739333333333315,0.00515,0.9508,0.0455333333333333,0.0,0.6729979111111112,0.9234333333333334,0.25043542222222226,10.591912421149797,10.627574301299255,2.055583390089288,2.024301536157082,0.9847820068584778,1.3713863407652884
908_high_inventory_dt5e9_to_10ms,908 high inventory,0.00515,False,30000,0.9467,0.053300000000000014,0.0482333333333333,0.0,0.3384113634292592,0.4073288888888889,0.9653866666666668,0.558057777777778,0.03461333333333316,0.00515,0.9467,0.0482333333333333,0.0,0.4073288888888889,0.9653866666666668,0.558057777777778,10.244917043740843,9.502654600301671,1.668560764202989,44.35834690799357,26.584795627255414,1.8282702236308779
