case_name,timestep,time,elapsed_time,x_center_m,x_over_L,blockage_ratio
paper1_df0p0225_ug2_seed401,12231000,0.12231,0.0016199999999999964,0.028124999999999997,0.625,0.0
paper1_df0p0225_ug2_seed401,12231000,0.12231,0.0016199999999999964,0.030375,0.675,0.0
paper1_df0p0225_ug2_seed401,12231000,0.12231,0.0016199999999999964,0.032625,0.7250000000000001,0.0
paper1_df0p0225_ug2_seed401,12231000,0.12231,0.0016199999999999964,0.034874999999999996,0.7749999999999999,0.0
paper1_df0p0225_ug2_seed401,12231000,0.12231,0.0016199999999999964,0.037125,0.825,0.0
paper1_df0p0225_ug2_seed401,12231000,0.12231,0.0016199999999999964,0.03937499999999999,0.8749999999999999,0.0
paper1_df0p0225_ug2_seed401,12231000,0.12231,0.0016199999999999964,0.041624999999999995,0.9249999999999999,0.0
paper1_df0p0225_ug2_seed401,12231000,0.12231,0.0016199999999999964,0.043875,0.975,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.001125,0.024999999999999998,4.1754477889428625e-05
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.0033749999999999995,0.075,5.687421038296982e-06
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.005625,0.125,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.007875,0.17500000000000002,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.010124999999999999,0.22499999999999998,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.012374999999999999,0.27499999999999997,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.014624999999999999,0.325,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.016875,0.37500000000000006,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.019124999999999996,0.42499999999999993,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.021374999999999998,0.475,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.023625,0.525,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.025874999999999995,0.575,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.028124999999999997,0.625,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.030375,0.675,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.032625,0.7250000000000001,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.034874999999999996,0.7749999999999999,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.037125,0.825,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.03937499999999999,0.8749999999999999,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.041624999999999995,0.9249999999999999,0.0
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.043875,0.975,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.001125,0.024999999999999998,4.3745659638491204e-05
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.0033749999999999995,0.075,1.6642169515471248e-05
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.005625,0.125,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.007875,0.17500000000000002,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.010124999999999999,0.22499999999999998,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.012374999999999999,0.27499999999999997,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.014624999999999999,0.325,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.016875,0.37500000000000006,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.019124999999999996,0.42499999999999993,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.021374999999999998,0.475,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.023625,0.525,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.025874999999999995,0.575,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.028124999999999997,0.625,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.030375,0.675,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.032625,0.7250000000000001,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.034874999999999996,0.7749999999999999,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.037125,0.825,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.03937499999999999,0.8749999999999999,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.041624999999999995,0.9249999999999999,0.0
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.043875,0.975,0.0
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.001125,0.024999999999999998,4.323277949100539e-05
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.0033749999999999995,0.075,2.950349663616552e-05
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.005625,0.125,8.768913733959833e-07
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.007875,0.17500000000000002,0.0
