case_name,source_case,debris_total_number,shape_x,shape_y,shape_z,y_start_index,z_start_index,porosity,through_connected_pore_nodes_x,output_dir
N10000_peak_blockage_reduced_y32_z32,N10000_peak_blockage,10000,33,32,32,0,21,0.41361860795454547,13813,papers/paper2_voxel_topology_clogging/flow_domains_reduced/N10000_peak_blockage_reduced_y32_z32
N3000_peak_blockage_reduced_y32_z32,N3000_peak_blockage,3000,33,32,32,0,21,0.41361860795454547,13813,papers/paper2_voxel_topology_clogging/flow_domains_reduced/N3000_peak_blockage_reduced_y32_z32
N6000_peak_blockage_reduced_y32_z32,N6000_peak_blockage,6000,33,32,32,0,21,0.41361860795454547,13813,papers/paper2_voxel_topology_clogging/flow_domains_reduced/N6000_peak_blockage_reduced_y32_z32
