case_index,case_name,case_dir,df_over_dp,gas_velocity,debris_total_number,debris_injection_rate,insertion_interval_steps,seed_offset,priority,generated,metrics_path,completed,final_Nout,final_BTC,final_retention,breakthrough_elapsed_from_first_output,observed_duration_from_first_output,particle_count_last_frame_type2,max_blockage_ratio,x_mean_m,x_q90_m,x_q99_m,vx_mean_m_s,voxel_porosity_bed_skeleton,voxel_connected_void_components,voxel_largest_connected_void_fraction,voxel_outlet_connected_fraction_x,voxel_euler_number,voxel_topological_charge,dump_path,dump_timestep,dump_type1_count,dump_type2_count,subvoxel_max_blockage_ratio,subvoxel_mean_blockage_ratio,subvoxel_blockage_centroid_over_L,voxel_analysis_completed,connectivity_loss,Ib_no_pressure,Ib_state,pressure_used
0,paper1_df0p0225_ug2_seed401_baseline3000,cases/clogging_scan/paper1_velocity_scan_frozen/paper1_df0p0225_ug2_seed401,0.0225,2.0,3000,500000.0,200,401,baseline_3000,True,data/processed/paper1_velocity_scan_frozen/paper1_df0p0225_ug2_seed401.json,True,55,0.0183333333333333,0.9816666666666668,0.03726,0.0396899999999999,2830,5.932561127131031e-06,0.0160879305088339,0.0289378699999999,0.0449888,0.4422545742345409,0.7403444973544974,6434,0.9995283905797896,0.9995283905797896,-31964,-0.0016912169312169,data/raw/paper1_frozen_ct_representatives/paper1_df0p0225_ug2_seed401_all_16038000.dump,16038000,10000,2830,1.0631993458219603e-05,1.2055361993544651e-06,0.3518178278949104,True,0.0,5.315996729109802e-06,safe,False
1,paper1_load6000_df0p0225_ug2_seed401,cases/clogging_scan/paper1_loading_scan_frozen/paper1_load6000_df0p0225_ug2_seed401,0.0225,2.0,6000,1000000.0,100,401,loading_scan,True,data/processed/paper1_loading_scan_frozen/paper1_load6000_df0p0225_ug2_seed401.json,True,85,0.0141666666666666,0.9858333333333332,0.0388799999999999,0.0396899999999999,5709,1.1524315551181274e-05,0.0161890673533018,0.02929642,0.0449888,0.4517183389174699,0.7403444973544974,6434,0.9995283905797896,0.9995283905797896,-31964,-0.0016912169312169,data/raw/paper1_loading_scan_frozen/paper1_load6000_df0p0225_ug2_seed401_all_16038000.dump,16038000,10000,5709,2.083296015461943e-05,2.4319538051758116e-06,0.3542605643272926,True,0.0,1.0416480077309715e-05,safe,False
2,paper1_load10000_df0p0225_ug2_seed401,cases/clogging_scan/paper1_loading_scan_frozen/paper1_load10000_df0p0225_ug2_seed401,0.0225,2.0,10000,1700000.0,60,401,loading_scan,True,data/processed/paper1_loading_scan_frozen/paper1_load10000_df0p0225_ug2_seed401.json,True,156,0.0156,0.9844,0.0388799999999999,0.0396899999999999,9439,1.9520650602178335e-05,0.0162134814863862,0.02977108,0.0449888,0.4442078391245598,0.7403444973544974,6434,0.9995283905797896,0.9995283905797896,-31964,-0.0016912169312169,data/raw/paper1_loading_scan_frozen/paper1_load10000_df0p0225_ug2_seed401_all_16038000.dump,16038000,10000,9439,3.54878700564896e-05,4.019183155749541e-06,0.3545466984900615,True,0.0,1.77439350282448e-05,safe,False
