case_name,seed_offset,df_over_dp,gas_velocity_m_s,debris_total_number,case_dir,evidence_status,claim_boundary,final_BTC,final_retention,first_breakthrough_elapsed_s,observed_duration_s,particle_count_last_frame_type2,max_blockage_ratio,mean_position_m,processed_path,input,preflight_input,run_script,processed_target,preflight_status,preflight_log,preflight_restart_exists,preflight_all_dump_count,preflight_type2_dump_count,preflight_boundary,preflight_inserted_particles,preflight_loop_time_s,preflight_steps,preflight_final_atoms,preflight_dangerous_builds,production_final_restart_exists,production_exit_code,dump_path
paper1_df0p0225_ug2_seed401,401,0.0225,2.0,3000,cases/clogging_scan/paper1_velocity_scan/paper1_df0p0225_ug2_seed401,formal_processed,Formal frozen-bed reference row already post-processed.,0.018333333333333333,0.9816666666666667,0.03726,0.03968999999999999,2830,5.932561127131031e-06,0.01608793050883392,data/processed/paper1_velocity_scan_frozen/paper1_df0p0225_ug2_seed401.json,,,,,,,,,,,,,,,,,,
paper2_frozen_repeat_df0p0225_ug2_seed501,501,0.0225,2.0,3000,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed501,formal_processed,Formal frozen-bed repeat row with processed DEM transport metrics.,0.017666666666666667,0.9823333333333333,0.03726,0.03968999999999999,2845,5.699045423135374e-06,0.016240948435852373,data/processed/paper1_velocity_scan_frozen/paper2_frozen_repeat_df0p0225_ug2_seed501.json,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed501/in.debris_injection,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed501/in.preflight_10k,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed501/run.sh,data/processed/paper1_velocity_scan_frozen/paper2_frozen_repeat_df0p0225_ug2_seed501.json,passed,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed501/paper2_frozen_repeat_df0p0225_ug2_seed501_preflight.log,True,10.0,10.0,Short 10k-step executable check only; not formal manuscript evidence.,50.0,21.7366,10000.0,10050.0,0.0,True,0,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed501/paper2_frozen_repeat_df0p0225_ug2_seed501_all_16038000.dump
paper2_frozen_repeat_df0p0225_ug2_seed601,601,0.0225,2.0,3000,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed601,formal_processed,Formal frozen-bed repeat row with processed DEM transport metrics.,0.013333333333333334,0.9866666666666667,0.03968999999999999,0.03968999999999999,2823,5.8378925984481356e-06,0.01619336641870351,data/processed/paper1_velocity_scan_frozen/paper2_frozen_repeat_df0p0225_ug2_seed601.json,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed601/in.debris_injection,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed601/in.preflight_10k,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed601/run.sh,data/processed/paper1_velocity_scan_frozen/paper2_frozen_repeat_df0p0225_ug2_seed601.json,passed,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed601/paper2_frozen_repeat_df0p0225_ug2_seed601_preflight.log,True,10.0,10.0,Short 10k-step executable check only; not formal manuscript evidence.,50.0,21.6959,10000.0,10050.0,0.0,True,0,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed601/paper2_frozen_repeat_df0p0225_ug2_seed601_all_16038000.dump
