case_label,debris_total_number,resistance_mapping,amplification_factor,baseline_conductance,loaded_conductance,relative_conductance,relative_resistance,local_conductance_loss,mean_excess_resistance,max_excess_resistance,mean_amplified_resistance,max_amplified_resistance,min_conductance,mean_conductance,hydraulic_resistance_field,not_cfd,not_lbm,evidence_boundary
N=3000,3000,R_eff=1+factor*(R-1); g=1/R_eff,1.0,12.685318513158535,12.685125542163103,0.9999847878478391,1.000015212383574,1.5212152160937187e-05,1.4682385881314985e-05,2.574920654296875e-05,1.000014682386212,1.000025749206543,0.9999742514564616,0.999985317866925,papers/paper2_voxel_topology_clogging/flow_domains/N3000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
N=3000,3000,R_eff=1+factor*(R-1); g=1/R_eff,3.0,12.685318513158535,12.68473961953911,0.9999543650702326,1.0000456370124093,4.563492976739081e-05,1.4682385881314985e-05,2.574920654296875e-05,1.0000440471586356,1.000077247619629,0.9999227583471049,0.9999559551195085,papers/paper2_voxel_topology_clogging/flow_domains/N3000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
N=3000,3000,R_eff=1+factor*(R-1); g=1/R_eff,10.0,12.685318513158535,12.683389077535768,0.9998479001043005,1.000152123033597,0.0001520998956995312,1.4682385881314985e-05,2.574920654296875e-05,1.0001468238621183,1.0002574920654297,0.9997425742196662,0.999853201447193,papers/paper2_voxel_topology_clogging/flow_domains/N3000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
N=3000,3000,R_eff=1+factor*(R-1); g=1/R_eff,30.0,12.685318513158535,12.679531969131162,0.9995438392799226,1.0004563688976424,0.00045616072007736985,1.4682385881314985e-05,2.574920654296875e-05,1.000440471586355,1.000772476196289,0.999228120062589,0.999559756110053,papers/paper2_voxel_topology_clogging/flow_domains/N3000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
N=3000,3000,R_eff=1+factor*(R-1); g=1/R_eff,100.0,12.685318513158535,12.66605057618997,0.9984810837072339,1.0015212269091034,0.001518916292766126,1.4682385881314985e-05,2.574920654296875e-05,1.0014682386211835,1.0025749206542969,0.9974316925336448,0.9985342879465046,papers/paper2_voxel_topology_clogging/flow_domains/N3000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
N=3000,3000,R_eff=1+factor*(R-1); g=1/R_eff,300.0,12.685318513158535,12.627690076452904,0.9954570760958148,1.0045636562472413,0.004542923904185203,1.4682385881314985e-05,2.574920654296875e-05,1.0044047158635505,1.0077247619628906,0.9923344525663496,0.9956179364934932,papers/paper2_voxel_topology_clogging/flow_domains/N3000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
N=6000,6000,R_eff=1+factor*(R-1); g=1/R_eff,1.0,12.685318513158535,12.684933178818596,0.9999696235975833,1.0000303773251704,3.037640241665418e-05,2.93608882202534e-05,5.0067901611328125e-05,1.0000293608883488,1.0000500679016113,0.999949934605058,0.9999706401123913,papers/paper2_voxel_topology_clogging/flow_domains/N6000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
N=6000,6000,R_eff=1+factor*(R-1); g=1/R_eff,3.0,12.685318513158535,12.684162582737539,0.9999088765158086,1.0000911317884376,9.112348419137994e-05,2.93608882202534e-05,5.0067901611328125e-05,1.0000880826650465,1.000150203704834,0.9998498188529307,0.9999119263409362,papers/paper2_voxel_topology_clogging/flow_domains/N6000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
N=6000,6000,R_eff=1+factor*(R-1); g=1/R_eff,10.0,12.685318513158535,12.68146623426905,0.9996963198925207,1.0003037723571013,0.0003036801074792761,2.93608882202534e-05,5.0067901611328125e-05,1.000293608883488,1.0005006790161133,0.9994995715379168,0.9997064911566209,papers/paper2_voxel_topology_clogging/flow_domains/N6000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
N=6000,6000,R_eff=1+factor*(R-1); g=1/R_eff,30.0,12.685318513158535,12.67376870478725,0.999089513727282,1.0009113160134382,0.0009104862727179475,2.93608882202534e-05,5.0067901611328125e-05,1.0008808266504639,1.0015020370483398,0.9985002156832684,0.9991200730333027,papers/paper2_voxel_topology_clogging/flow_domains/N6000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
N=6000,6000,R_eff=1+factor*(R-1); g=1/R_eff,100.0,12.685318513158535,12.646900898410259,0.99697148993867,1.0030377097960106,0.003028510061329981,2.93608882202534e-05,5.0067901611328125e-05,1.002936088834879,1.0050067901611328,0.9950181529019022,0.9970738814101512,papers/paper2_voxel_topology_clogging/flow_domains/N6000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
N=6000,6000,R_eff=1+factor*(R-1); g=1/R_eff,300.0,12.685318513158535,12.570760639263277,0.9909692552239483,1.009113042335517,0.009030744776051702,2.93608882202534e-05,5.0067901611328125e-05,1.0088082665046374,1.0150203704833984,0.985201902424633,0.9912807981465701,papers/paper2_voxel_topology_clogging/flow_domains/N6000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
N=10000,10000,R_eff=1+factor*(R-1); g=1/R_eff,1.0,12.685318513158535,12.684675650011904,0.9999493222699956,1.0000506802983669,5.0677730004444754e-05,4.891480421065353e-05,8.487701416015625e-05,1.0000489148057206,1.0000848770141602,0.999915130189336,0.9999510879815675,papers/paper2_voxel_topology_clogging/flow_domains/N10000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
N=10000,10000,R_eff=1+factor*(R-1); g=1/R_eff,3.0,12.685318513158535,12.683390120849559,0.9998479823500707,1.0001520407628088,0.00015201764992933686,4.891480421065353e-05,8.487701416015625e-05,1.0001467444171614,1.0002546310424805,0.999745433777982,0.9998532806652591,papers/paper2_voxel_topology_clogging/flow_domains/N10000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
N=10000,10000,R_eff=1+factor*(R-1); g=1/R_eff,10.0,12.685318513158535,12.678892823607946,0.9994934546149611,1.0005068021033054,0.0005065453850389146,4.891480421065353e-05,8.487701416015625e-05,1.000489148057205,1.0008487701416016,0.9991519496582071,0.9995111305130998,papers/paper2_voxel_topology_clogging/flow_domains/N10000_peak_blockage/hydraulic_resistance_multiplier_field.npy,True,True,3D hydraulic-resistance amplification sensitivity in a scalar voxel-network Darcy-Laplace model; not CFD/LBM and not a calibrated pressure-drop measurement
