job_id,case_name,available_frames,final_step,final_time_s,target_physical_time_s,target_time_reached,final_debris_count,debris_count_ok,final_source_fraction,final_downstream_fraction,final_outlet_fraction,final_x_mean_over_L,final_x_q99_over_L,final_x_max_over_L,final_max_abs_velocity_m_s
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,35,4000000,0.04,0.04,True,15000,True,0.5793333333333334,0.42033333333333334,0.0,0.39576254108148146,0.6254378666666668,0.9981044444444446,0.964311
907_downstream_source_dt5e9_to_10ms,paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit,40,2000000,0.01005,0.01,True,15000,True,0.8961333333333333,0.10093333333333333,0.0,0.6126589753051852,0.6837535333333333,0.9826066666666667,3.76114
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,40,1990000,0.01,0.01,True,30000,True,0.8945,0.10123333333333333,0.0,0.34609194326666665,0.42015626666666656,0.9945955555555556,4.2702
