case_name,case_dir,has_run_summary,blockMesh_log_found,snappyHexMesh_log_found,checkMesh_log_found,checkMesh_skew6_log_found,simpleFoam_log_found,checkMesh_ok,checkMesh_skew6_ok,max_skewness,simpleFoam_completed,final_simplefoam_time,p_inlet_time,p_outlet_time,pressure_time_aligned,p_inlet_area_average,p_outlet_area_average,delta_p_inlet_minus_outlet,pressure_drop_available,evidence_boundary
N10000_peak_blockage,papers/paper2_voxel_topology_clogging/flow_solver_results/openfoam/N10000_peak_blockage,True,True,True,True,True,True,True,True,2.7815273,True,50.0,50.0,50.0,True,454.939926,0.0,454.939926,True,parsed returned OpenFOAM output; strict pressure evidence requires default checkMesh pass; engineering screening may additionally report checkMesh -skewThreshold 6
N3000_peak_blockage,papers/paper2_voxel_topology_clogging/flow_solver_results/openfoam/N3000_peak_blockage,True,True,True,True,True,True,True,True,2.7815273,True,50.0,50.0,50.0,True,453.990484,0.0,453.990484,True,parsed returned OpenFOAM output; strict pressure evidence requires default checkMesh pass; engineering screening may additionally report checkMesh -skewThreshold 6
N6000_peak_blockage,papers/paper2_voxel_topology_clogging/flow_solver_results/openfoam/N6000_peak_blockage,True,True,True,True,True,True,True,True,2.7815273,True,50.0,50.0,50.0,True,454.39745,0.0,454.39745,True,parsed returned OpenFOAM output; strict pressure evidence requires default checkMesh pass; engineering screening may additionally report checkMesh -skewThreshold 6
