window,frame_count,start_step,end_step,start_time_s,end_time_s,xmax_slope_L_per_s,x99_slope_L_per_s,source_fraction_slope_per_s,downstream_fraction_slope_per_s,gap_slope_L_per_s,final_xmax_over_L,final_x99_over_L,final_source_fraction,final_downstream_fraction,final_outlet_fraction
all,40,20000,1990000,0.00015,0.01,21.756877645727833,2.2819173213840704,-10.381306648824854,10.209407188700885,19.474960324343744,0.9945955555555556,0.4201562666666665,0.8945,0.1012333333333333,0.0
early,5,20000,200000,0.00015,0.00105,562.8200542005418,0.8658392050587317,-9.90379403794063,7.604336043360414,561.9542149954834,0.9908955555555556,0.3997688888888889,0.9887,0.0081666666666666,0.0
late,5,1800000,1990000,0.0090499999999999,0.01,-1.9741592166877258,2.1057645806723917,-11.600255427840416,11.558748403574896,-4.079923797360062,0.9945955555555556,0.4201562666666665,0.8945,0.1012333333333333,0.0
