event,detected,elapsed_time,BTC,x_q90_over_L,x_q99_over_L,x_mean_over_L
x_q90_over_L>=0.5,True,0.0234899999999999,0.0,0.5087371111111112,,
x_q99_over_L>=0.5,True,0.01944,0.0,,0.5035289777777778,
x_q99_over_L>=0.9,True,0.0356399999999999,0.005,,0.916773888888889,
x_q99_over_L>=0.99,True,0.0388799999999999,0.016,,0.993619911111111,
BTC>0,True,0.0315899999999999,0.0003333333333333,0.6673233333333334,0.7975151999999995,0.5170116074074075
