job_id,case_name,step,time_s,dump_file,debris_count,expected_debris_atoms,debris_count_ok,outlet_count_x_ge_L,source_count,downstream_count,upstream_count,source_fraction,downstream_fraction,outlet_fraction,x_mean_over_L,x_q90_over_L,x_q99_over_L,x_max_over_L,dx_mean_m,dx_q99_m,dx_max_m,max_abs_velocity_m_s,time_ms,released_fraction,front_bulk_gap_over_L,job_label
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,20000,0.0002,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg50k_type2_20000.dump,15000,15000,True,0,14975,11,14,0.9983333333333332,0.0007333333333333,0.0,0.3328317441481482,0.3857797777777778,0.3986934666666667,0.4181422222222222,2.03728e-06,0.00010383,0.0022761999999999,35.9994,0.2,0.0016666666666668162,0.019448755555555475,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,30000,0.0003,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg50k_type2_30000.dump,15000,15000,True,0,14967,16,17,0.9978,0.0010666666666666,0.0,0.3328506491851852,0.3857915555555555,0.3987311111111111,0.4302577777777778,2.888006666666662e-06,0.000148908,0.0030197999999999,31.9141,0.3,0.0021999999999999797,0.0315266666666667,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,40000,0.0004,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg50k_type2_40000.dump,15000,15000,True,0,14955,26,19,0.997,0.0017333333333333,0.0,0.3328767426666666,0.3858093333333333,0.3987466888888889,0.4423622222222222,4.06221333333333e-06,0.0001802999999999,0.0037537999999999,31.9132,0.4,0.0030000000000000027,0.04361553333333329,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,50000,0.0005,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg50k_type2_50000.dump,15000,15000,True,0,14948,31,21,0.9965333333333334,0.0020666666666666,0.0,0.3329083325925926,0.3858402222222223,0.3987778222222222,0.4544533333333334,5.4837600000000064e-06,0.0002093079999999,0.0038733999999999,29.2174,0.5,0.003466666666666618,0.05567551111111119,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,100000,0.001,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg250k_type2_100000.dump,15000,15000,True,0,14926,51,23,0.9950666666666668,0.0034,0.0,0.3331431957037037,0.3860891111111111,0.3990290666666667,0.4470466666666666,1.6052599999999993e-05,0.000303201,0.0038675,15.8956,1.0,0.004933333333333234,0.04801759999999988,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,150000,0.0015,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg250k_type2_150000.dump,15000,15000,True,0,14886,89,25,0.9924,0.0059333333333333,0.0,0.3335043928888889,0.3865048888888889,0.3994134666666666,0.5074266666666667,3.230647333333334e-05,0.0003346019999999,0.0072421,12.9918,1.5,0.007600000000000051,0.10801320000000009,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,200000,0.002,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg250k_type2_200000.dump,15000,15000,True,0,14828,143,29,0.9885333333333334,0.0095333333333333,0.0,0.3339802706222222,0.3870182222222222,0.3998781111111111,0.5371,5.372097133333333e-05,0.0003726229999999,0.0085774,10.164,2.0,0.011466666666666625,0.13722188888888892,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,250000,0.0025,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg250k_type2_250000.dump,15000,15000,True,0,14759,212,29,0.9839333333333332,0.0141333333333333,0.0,0.3345508360148148,0.3876248888888889,0.4005223333333333,0.5368266666666667,7.9396414e-05,0.000414207,0.0085651,8.55929,2.5,0.016066666666666785,0.13630433333333336,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,300000,0.003,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg500k_type2_300000.dump,15000,15000,True,0,14690,278,32,0.9793333333333332,0.0185333333333333,0.0,0.3352009204296296,0.3882811111111112,0.4013223999999999,0.5367177777777778,0.0001086502126666,0.000450538,0.0085602,5.09216,3.0,0.020666666666666833,0.13539537777777794,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,350000,0.0035,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg500k_type2_350000.dump,15000,15000,True,0,14623,344,33,0.9748666666666668,0.0229333333333333,0.0,0.3359064880296296,0.3890237777777778,0.4022244888888889,0.5367755555555556,0.0001404007546666,0.000498105,0.0085628,5.09706,3.5,0.02513333333333323,0.13455106666666666,"906 upstream, 15k"
