job_id,case_name,step,time_s,dump_file,debris_count,expected_debris_atoms,debris_count_ok,outlet_count_x_ge_L,source_count,downstream_count,upstream_count,source_fraction,downstream_fraction,outlet_fraction,x_mean_over_L,x_q90_over_L,x_q99_over_L,x_max_over_L,dx_mean_m,dx_q99_m,dx_max_m,max_abs_velocity_m_s,front_bulk_gap_over_L,source_block,case_group,case_label,released_fraction,penetration_over_L,max_blockage_ratio,pressure_proxy_ratio,voxel_conductance_loss,connectivity_loss,contrast,value,family
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,4000000.0,0.04,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_seg4M_type2_4000000.dump,15000.0,15000.0,True,0.0,8690.0,6305.0,5.0,0.5793333333333334,0.4203333333333333,0.0,0.3957625410814814,0.452974,0.6254378666666668,0.9981044444444446,0.002833923142,0.012454408,0.029871,0.964311,0.3726665777777778,localized_final,,,,,,,,,,,
907_downstream_source_dt5e9_to_10ms,paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit,2000000.0,0.01005,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit_dt5e9_type2_2000000.dump,15000.0,15000.0,True,0.0,13442.0,1514.0,44.0,0.8961333333333333,0.1009333333333333,0.0,0.6126589753051852,0.6668271111111111,0.6837535333333333,0.9826066666666669,0.0005769170033333,0.0012872029999999,0.0234756,3.76114,0.2988531333333335,localized_final,,,,,,,,,,,
908_high_inventory_dt5e9_to_10ms,paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,1990000.0,0.01,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_dt5e9_type2_1990000.dump,30000.0,30000.0,True,0.0,26835.0,3037.0,128.0,0.8945,0.1012333333333333,0.0,0.3460919432666666,0.4002199999999999,0.4201562666666665,0.9945955555555556,0.0005822086244999,0.0016016009999999,0.033356915,4.2702,0.5744392888888891,localized_final,,,,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,normalized_observables,drive scan,low drive no breakthrough,,0.0,0.4607696313613568,,,0.0,,,
,,,,,,,,,,,,,,0.2235772357723573,,,,,,,,,,normalized_observables,drive scan,intermediate drive weak breakthrough,,0.18844645499829984,0.0,,,0.0,,,
,,,,,,,,,,,,,,1.0,,,,,,,,,,normalized_observables,drive scan,high drive stronger breakthrough,,0.3717683792459854,0.6805585289849962,,,0.0,,,
,,,,,,,,,,,,,,0.2235772357723573,,,,,,,,,,normalized_observables,loading scan,N=3000,,1.0,0.0,0.0,0.0,0.0,,,
,,,,,,,,,,,,,,0.17276422764227561,,,,,,,,,,normalized_observables,loading scan,N=6000,,1.0,0.4104046242774567,0.43561359942895217,0.4351359135364613,0.0,,,
,,,,,,,,,,,,,,0.19024390243902436,,,,,,,,,,normalized_observables,loading scan,N=10000,,1.0,1.0,1.0,1.0,0.0,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,0.5273745523592717,normalized_observables,localized release,906 upstream,0.8932102834541898,0.2636061688875402,,,,0.0,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,normalized_observables,localized release,907 downstream,1.0,0.6006970325195516,,,,0.0,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,normalized_observables,localized release,908 high inventory,0.0,0.25139947907749277,,,,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,mechanism_contrasts,,,,,,,,,drag -> BTC,1.0,drive
,,,,,,,,,,,,,,,,,,,,,,,,mechanism_contrasts,,,,,,,,,inventory -> blockage,1.0,loading
,,,,,,,,,,,,,,,,,,,,,,,,mechanism_contrasts,,,,,,,,,release -> front gap,-1.0,localized
,,,,,,,,,,,,,,,,,,,,,,,,mechanism_contrasts,,,,,,,,,connectivity loss,0.0,topology
