case_name,campaign_id,status,final_step,final_atoms,inserted_debris_count,loop_time_s,mpi_procs,restart_size_bytes,all_dump_count,debris_dump_count,last_debris_dump
paper2_phase2_load6000_df0p0225_ug2_seed501,P2L-repeat-load6000,pass,12010001,10100,100,22.6761,1,4818074,10,10,cases/clogging_scan/paper2_phase2_loading_repeats/paper2_phase2_load6000_df0p0225_ug2_seed501/paper2_phase2_load6000_df0p0225_ug2_seed501_preflight_type2_12010000.dump
paper2_phase2_load6000_df0p0225_ug2_seed601,P2L-repeat-load6000,pass,12010001,10100,100,23.022,1,4818074,10,10,cases/clogging_scan/paper2_phase2_loading_repeats/paper2_phase2_load6000_df0p0225_ug2_seed601/paper2_phase2_load6000_df0p0225_ug2_seed601_preflight_type2_12010000.dump
paper2_phase2_load6000_df0p0225_ug2_seed701,P2L-repeat-load6000,pass,12010001,10100,100,22.5973,1,4818074,10,10,cases/clogging_scan/paper2_phase2_loading_repeats/paper2_phase2_load6000_df0p0225_ug2_seed701/paper2_phase2_load6000_df0p0225_ug2_seed701_preflight_type2_12010000.dump
paper2_phase2_load10000_df0p0225_ug2_seed501,P2L-repeat-load10000,pass,12010001,10173,173,23.4991,1,4843186,10,10,cases/clogging_scan/paper2_phase2_loading_repeats/paper2_phase2_load10000_df0p0225_ug2_seed501/paper2_phase2_load10000_df0p0225_ug2_seed501_preflight_type2_12010000.dump
paper2_phase2_load10000_df0p0225_ug2_seed601,P2L-repeat-load10000,pass,12010001,10171,171,24.1748,1,4842498,10,10,cases/clogging_scan/paper2_phase2_loading_repeats/paper2_phase2_load10000_df0p0225_ug2_seed601/paper2_phase2_load10000_df0p0225_ug2_seed601_preflight_type2_12010000.dump
paper2_phase2_load10000_df0p0225_ug2_seed701,P2L-repeat-load10000,pass,12010001,10168,168,23.1897,1,4841466,10,10,cases/clogging_scan/paper2_phase2_loading_repeats/paper2_phase2_load10000_df0p0225_ug2_seed701/paper2_phase2_load10000_df0p0225_ug2_seed701_preflight_type2_12010000.dump
paper2_phase2_load20000_df0p0225_ug2_seed501,P2L-highload-20000,pass,12010001,10340,340,25.5236,1,4900634,10,10,cases/clogging_scan/paper2_phase2_loading_repeats/paper2_phase2_load20000_df0p0225_ug2_seed501/paper2_phase2_load20000_df0p0225_ug2_seed501_preflight_type2_12010000.dump
paper2_phase2_load20000_df0p0225_ug2_seed601,P2L-highload-20000,pass,12010001,10340,340,24.8429,1,4900634,10,10,cases/clogging_scan/paper2_phase2_loading_repeats/paper2_phase2_load20000_df0p0225_ug2_seed601/paper2_phase2_load20000_df0p0225_ug2_seed601_preflight_type2_12010000.dump
