case_name,case_dir,log_file,initial_atoms,final_atoms,final_step,initial_ke,max_ke,final_ke,ke_drop_from_peak_fraction,dangerous_builds,loop_time_s,passed_preflight
paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit_preflight_10k.log,25000,25000,10000,0.0,0.00090405887,0.00065481375,0.2756956745526981,0,62.935,True
paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit_preflight_10k.log,40000,40000,10000,0.0,0.0014664032,0.00063089216,0.5697689694075955,0,175.141,True
