case_name,timestep,time,elapsed_time,BTC,particle_count,x_mean_over_L,x_q90_over_L,x_q99_over_L,blockage_centroid_over_L,peak_blockage_ratio,peak_blockage_x_m,peak_blockage_x_over_L,profile_mean_pressure_increase_ratio,peak_local_pressure_increase_ratio
paper1_df0p0225_ug2_seed401,12069000,0.12069,0.0,0.0,345,0.023066057262479876,0.0306112,0.03503192888888889,0.024999999999999998,1.0408450051916662e-05,0.001125,0.024999999999999998,2.1982089363942945e-06,4.396417872321727e-05
paper1_df0p0225_ug2_seed401,12150000,0.1215,0.0008099999999999913,0.0,750,0.02631932942222222,0.03439728888888889,0.042279946666666665,0.024999999999999998,2.2627065330253596e-05,0.001125,0.024999999999999998,4.778853850855054e-06,9.557707701710107e-05
paper1_df0p0225_ug2_seed401,12231000,0.12231,0.0016199999999999964,0.0,1155,0.030252131505531507,0.04169871111111111,0.05221574666666667,0.025879973526263624,3.42724616202241e-05,0.001125,0.024999999999999998,7.368237869139621e-06,0.00014477141948556735
paper1_df0p0225_ug2_seed401,12312000,0.12312000000000001,0.0024300000000000016,0.0,1560,0.03511690398860399,0.051215933333333345,0.06501318666666668,0.030994090842528636,4.1754477889428625e-05,0.001125,0.024999999999999998,1.0020118609286252e-05,0.00017637958413259876
paper1_df0p0225_ug2_seed401,12393000,0.12393,0.003239999999999993,0.0,1965,0.04057334068419565,0.06222791111111114,0.08217119111111106,0.038779407000242565,4.3745659638491204e-05,0.001125,0.024999999999999998,1.275437038052374e-05,0.0001847916237921378
paper1_df0p0225_ug2_seed401,12474000,0.12474,0.004049999999999998,0.0,2370,0.046479094355368025,0.0731342,0.09995331333333332,0.046230766481225496,4.323277949100539e-05,0.001125,0.024999999999999998,1.5547697848138033e-05,0.00018262487869204894
paper1_df0p0225_ug2_seed401,12555000,0.12555,0.004859999999999989,0.0,2775,0.05304683091091092,0.08581986666666666,0.11959219555555552,0.05335385900706199,4.1905324991630334e-05,0.001125,0.024999999999999998,1.841219772290991e-05,0.00017701685707721898
paper1_df0p0225_ug2_seed401,12636000,0.12636,0.0056699999999999945,0.0,3000,0.06251046506666667,0.10069162222222222,0.13699335777777769,0.06270522071022519,4.940947027020625e-05,0.0033749999999999995,0.075,2.0221496753908497e-05,0.0002087196587403703
paper1_df0p0225_ug2_seed401,12717000,0.12717,0.00648,0.0,3000,0.07615449173333333,0.11981348888888889,0.15517153111111104,0.07713843762973653,5.134836380598957e-05,0.0033749999999999995,0.075,2.070046116611106e-05,0.00021691109620238262
paper1_df0p0225_ug2_seed401,12798000,0.12798,0.007290000000000005,0.0,3000,0.0909241523111111,0.13722528888888888,0.17871413555555551,0.09197742391306289,5.2253180789355115e-05,0.0033749999999999995,0.075,2.1080078864557183e-05,0.00022073379285455236
paper1_df0p0225_ug2_seed401,12879000,0.12879000000000002,0.00810000000000001,0.0,3000,0.1065560445925926,0.15520148888888888,0.2009876088888888,0.10767888129942138,4.3881105810357094e-05,0.005625,0.125,2.1311178646662265e-05,0.00018536383892429903
paper1_df0p0225_ug2_seed401,12960000,0.1296,0.008909999999999987,0.0,3000,0.12276099185185185,0.17447855555555555,0.22209741555555548,0.12201462020781953,4.947128831575712e-05,0.005625,0.125,2.133689473700374e-05,0.00020898082645553427
paper1_df0p0225_ug2_seed401,13041000,0.13041,0.009719999999999993,0.0,3000,0.1393967643703704,0.19349575555555557,0.24254786666666656,0.13803769280854078,5.0457791110827734e-05,0.005625,0.125,2.124974597640493e-05,0.00021314859528147917
paper1_df0p0225_ug2_seed401,13122000,0.13122,0.010529999999999998,0.0,3000,0.1562120025925926,0.2124641777777778,0.27027322222222216,0.15471820110230364,4.150619167407632e-05,0.005625,0.125,2.093334034475988e-05,0.00017533066814322457
paper1_df0p0225_ug2_seed401,13203000,0.13203,0.011340000000000003,0.0,3000,0.17338656859259263,0.23309822222222226,0.2927122444444441,0.17175871764948267,3.6589926834876836e-05,0.007875,0.17500000000000002,2.071158595358484e-05,0.00015456155095926739
paper1_df0p0225_ug2_seed401,13284000,0.13284,0.012150000000000008,0.0,3000,0.1907295291851852,0.25407888888888885,0.31087795555555514,0.19049216892695334,3.460327764692156e-05,0.007875,0.17500000000000002,2.0621264978032786e-05,0.00014616894514486885
paper1_df0p0225_ug2_seed401,13365000,0.13365,0.012959999999999985,0.0,3000,0.20796012496296296,0.2727051111111111,0.3355759555555553,0.20967008002578805,3.4646983893609496e-05,0.010124999999999999,0.22499999999999998,2.0693383819701956e-05,0.00014635358147089314
paper1_df0p0225_ug2_seed401,13446000,0.13446,0.01376999999999999,0.0,3000,0.2247899977037037,0.2926911111111111,0.35863922222222216,0.22611484565343531,3.4842545420760635e-05,0.010124999999999999,0.22499999999999998,2.0863592753609895e-05,0.00014717972841895246
paper1_df0p0225_ug2_seed401,13527000,0.13527,0.014579999999999996,0.0,3000,0.24157057037037036,0.31324777777777774,0.38437357777777786,0.24235576575994497,3.29195237371078e-05,0.010124999999999999,0.22499999999999998,2.098232415418365e-05,0.00013905598344528378
