case_name,seed_offset,case_dir,status,pid,exit_code,pid_alive,run_steps,insertion_interval_steps,latest_observed_step,progress_fraction,injection_progress_fraction,post_injection_observation_fraction,scheduled_injection_complete,uninserted_particles_estimate,elapsed_wall_s,eta_wall_s,log_stale_s,stdout_stale_s,dump_stale_s,log_stale_warning,output_stale_warning,all_dump_count,type2_dump_count,checkpoint_count,final_restart_exists,log_exists,stdout_log_exists,evidence_boundary,latest_step,latest_atoms,latest_kinetic_energy,latest_insertion_step,inserted_particles,loop_time_s,completed_run_steps,final_atoms,dangerous_builds,latest_dump_path,latest_dump_mtime,latest_dump_step,latest_dump_atoms,latest_dump_inserted_particles_estimate,inserted_particles_best_estimate
paper2_frozen_repeat_df0p0225_ug2_seed501,501,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed501,completed,61649,0,False,4050000,200,16050001,1.0,1.0,1.0,True,0,207809.45214152336,,196770.83075857162,196770.8242931366,196802.49992752075,False,False,50,50,2,True,True,True,Production evidence only after status is completed and post-processing JSON exists.,16050001,12843,0.00012365656,12599802,3000,11038.4,4050000,12843,492,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed501/paper2_frozen_repeat_df0p0225_ug2_seed501_all_16038000.dump,1781048594.8164034,16038000,12845,2845,3000
paper2_frozen_repeat_df0p0225_ug2_seed601,601,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed601,completed,61650,0,False,4050000,200,16050001,1.0,1.0,1.0,True,0,207809.45603871346,,196710.78183746338,196710.7764928341,196742.0815911293,False,False,50,50,2,True,True,True,Production evidence only after status is completed and post-processing JSON exists.,16050001,12823,0.00012365638,12599802,3000,11098.5,4050000,12823,509,cases/clogging_scan/paper1_velocity_scan_frozen_repeat/paper2_frozen_repeat_df0p0225_ug2_seed601/paper2_frozen_repeat_df0p0225_ug2_seed601_all_16038000.dump,1781048655.240327,16038000,12823,2823,3000
