debris_total_number,gas_velocity_m_s,baseline_porosity,baseline_pressure_gradient_pa_m,profile_mean_pressure_gradient_pa_m,peak_local_pressure_gradient_pa_m,baseline_pressure_drop_pa,profile_mean_pressure_drop_pa,peak_local_equivalent_pressure_drop_pa,profile_pressure_increase_ratio,peak_local_pressure_increase_ratio,subvoxel_mean_blockage_ratio,subvoxel_max_blockage_ratio,pressure_proxy_type,pressure_proxy_not_cfd
3000,2.0,0.4113976240391335,38962.03952692225,38962.18649326252,38963.01584692412,1753.2917787115011,1753.2983921968132,1753.3357131115854,3.772039196411413e-06,2.5058236522676786e-05,8.930397866757644e-07,5.932561127131031e-06,Ergun with epsilon_t = epsilon0 * (1 - B),True
6000,2.0,0.4113976240391335,38962.03952692225,38962.33600635926,38963.93610566208,1753.2917787115011,1753.3051202861668,1753.3771247547934,7.609443463756201e-06,4.867760422336204e-05,1.80154209971084e-06,1.1524315551181274e-05,Ergun with epsilon_t = epsilon0 * (1 - B),True
10000,2.0,0.4113976240391335,38962.03952692225,38962.529717388075,38965.25213892947,1753.2917787115011,1753.3138372824633,1753.436346251826,1.2581232188492602e-05,8.245492397801376e-05,2.9785874722576543e-06,1.9520650602178335e-05,Ergun with epsilon_t = epsilon0 * (1 - B),True
