case_label,debris_total_number,x_index,x_over_L,mean_pressure
baseline,0,0,0.002777777777777778,1.0
baseline,0,1,0.008333333333333333,0.9979716676239405
baseline,0,2,0.013888888888888888,0.9954137676116953
baseline,0,3,0.019444444444444445,0.9895396605233041
baseline,0,4,0.025,0.9847180172753879
baseline,0,5,0.030555555555555555,0.9807820000269054
baseline,0,6,0.03611111111111111,0.9753115910267093
baseline,0,7,0.041666666666666664,0.9686033610211684
baseline,0,8,0.04722222222222222,0.9642917937246865
baseline,0,9,0.05277777777777778,0.9583580668652719
baseline,0,10,0.058333333333333334,0.952130629187657
baseline,0,11,0.06388888888888888,0.9477151547485135
baseline,0,12,0.06944444444444445,0.9424288916939464
baseline,0,13,0.075,0.9368831457732306
baseline,0,14,0.08055555555555556,0.930939989061298
baseline,0,15,0.08611111111111111,0.924351042437211
baseline,0,16,0.09166666666666666,0.9191317066857979
baseline,0,17,0.09722222222222222,0.912568015583539
baseline,0,18,0.10277777777777777,0.9068196011391438
baseline,0,19,0.10833333333333334,0.9017250639338112
baseline,0,20,0.11388888888888889,0.896411329125803
baseline,0,21,0.11944444444444445,0.8914281851288974
baseline,0,22,0.125,0.8862776307037445
baseline,0,23,0.13055555555555556,0.8815550761595098
baseline,0,24,0.1361111111111111,0.8764577024025467
baseline,0,25,0.14166666666666666,0.870841683929121
baseline,0,26,0.14722222222222223,0.8654365339817784
baseline,0,27,0.1527777777777778,0.8596233528002633
baseline,0,28,0.15833333333333333,0.8539331761836175
baseline,0,29,0.1638888888888889,0.8474627253314132
baseline,0,30,0.16944444444444445,0.8411935821625157
baseline,0,31,0.175,0.8343696358443073
baseline,0,32,0.18055555555555555,0.8281764387104003
baseline,0,33,0.18611111111111112,0.8224568534039014
baseline,0,34,0.19166666666666668,0.8166776043475193
baseline,0,35,0.19722222222222222,0.8118234785497375
baseline,0,36,0.20277777777777778,0.8067521868150094
baseline,0,37,0.20833333333333334,0.8011744315079484
baseline,0,38,0.21388888888888888,0.795436421759516
baseline,0,39,0.21944444444444444,0.7895337029614286
baseline,0,40,0.225,0.7840304317858795
baseline,0,41,0.23055555555555557,0.7785734310169758
baseline,0,42,0.2361111111111111,0.7732782391668752
baseline,0,43,0.24166666666666667,0.7680387034726784
baseline,0,44,0.24722222222222223,0.7623030776343983
baseline,0,45,0.25277777777777777,0.7571502904563797
baseline,0,46,0.25833333333333336,0.7518594698555153
baseline,0,47,0.2638888888888889,0.746501972331878
baseline,0,48,0.26944444444444443,0.7407638172987258
baseline,0,49,0.275,0.7338085491189563
baseline,0,50,0.28055555555555556,0.7280985064732735
baseline,0,51,0.2861111111111111,0.7216437590154451
baseline,0,52,0.2916666666666667,0.7160459915511118
baseline,0,53,0.2972222222222222,0.7094895981259298
baseline,0,54,0.30277777777777776,0.7033668620887765
baseline,0,55,0.30833333333333335,0.6975071542249549
baseline,0,56,0.3138888888888889,0.6922167055771986
baseline,0,57,0.3194444444444444,0.6865252033206342
baseline,0,58,0.325,0.6800944198500627
baseline,0,59,0.33055555555555555,0.6730887619003211
baseline,0,60,0.33611111111111114,0.6684845085556217
baseline,0,61,0.3416666666666667,0.6626566623178489
baseline,0,62,0.3472222222222222,0.6565085148558195
baseline,0,63,0.3527777777777778,0.6507700969157807
baseline,0,64,0.35833333333333334,0.6447128431445149
baseline,0,65,0.3638888888888889,0.6381371020088622
baseline,0,66,0.36944444444444446,0.6321622751506333
baseline,0,67,0.375,0.6264975588605403
baseline,0,68,0.38055555555555554,0.6202430966168062
baseline,0,69,0.3861111111111111,0.6139553440615758
baseline,0,70,0.39166666666666666,0.6082202132366432
baseline,0,71,0.3972222222222222,0.6023459784392728
baseline,0,72,0.4027777777777778,0.5968822575579115
baseline,0,73,0.4083333333333333,0.5907396558340088
baseline,0,74,0.41388888888888886,0.5852547856661925
baseline,0,75,0.41944444444444445,0.5796907597945641
baseline,0,76,0.425,0.5737203192211485
baseline,0,77,0.4305555555555556,0.5679629570609276
baseline,0,78,0.4361111111111111,0.5619988995462954
baseline,0,79,0.44166666666666665,0.5560354717287171
baseline,0,80,0.44722222222222224,0.5504255900922289
baseline,0,81,0.4527777777777778,0.5444999472856261
baseline,0,82,0.4583333333333333,0.5388910849615377
baseline,0,83,0.4638888888888889,0.533755336150428
baseline,0,84,0.46944444444444444,0.5281759246237971
baseline,0,85,0.475,0.5223192554568706
baseline,0,86,0.48055555555555557,0.5165711790585372
baseline,0,87,0.4861111111111111,0.5099836944029249
baseline,0,88,0.49166666666666664,0.5045917289100383
baseline,0,89,0.49722222222222223,0.49819096613282854
baseline,0,90,0.5027777777777778,0.4915408716015931
baseline,0,91,0.5083333333333333,0.48516237258523637
baseline,0,92,0.5138888888888888,0.4789937972401805
baseline,0,93,0.5194444444444445,0.47311539581574247
baseline,0,94,0.525,0.4672274365639242
baseline,0,95,0.5305555555555556,0.4615101100114745
