step,time_s,x_over_L,cdf,survival
20000,0.00015000000000000001,0.0,0.0,1.0
20000,0.00015000000000000001,0.002,0.0,1.0
20000,0.00015000000000000001,0.004,0.0,1.0
20000,0.00015000000000000001,0.006,0.0,1.0
20000,0.00015000000000000001,0.008,0.0,1.0
20000,0.00015000000000000001,0.01,0.0,1.0
20000,0.00015000000000000001,0.012,0.0,1.0
20000,0.00015000000000000001,0.014,0.0,1.0
20000,0.00015000000000000001,0.016,0.0,1.0
20000,0.00015000000000000001,0.018000000000000002,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.02,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.022,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.024,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.026000000000000002,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.028,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.03,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.032,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.034,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.036000000000000004,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.038,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.04,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.042,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.044,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.046,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.048,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.05,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.052000000000000005,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.054,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.056,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.058,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.06,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.062,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.064,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.066,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.068,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.07,3.3333333333333335e-05,0.9999666666666667
20000,0.00015000000000000001,0.07200000000000001,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.074,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.076,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.078,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.08,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.082,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.084,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.08600000000000001,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.088,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.09,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.092,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.094,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.096,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.098,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.1,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.10200000000000001,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.10400000000000001,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.106,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.108,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.11,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.112,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.114,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.116,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.11800000000000001,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.12,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.122,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.124,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.126,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.128,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.13,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.132,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.134,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.136,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.138,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.14,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.14200000000000002,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.14400000000000002,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.146,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.148,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.15,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.152,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.154,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.156,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.158,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.16,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.162,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.164,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.166,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.168,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.17,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.17200000000000001,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.17400000000000002,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.176,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.178,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.18,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.182,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.184,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.186,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.188,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.19,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.192,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.194,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.196,6.666666666666667e-05,0.9999333333333333
20000,0.00015000000000000001,0.198,6.666666666666667e-05,0.9999333333333333
