case_label,debris_total_number,crop_role,x_peak_blockage_m,x_requested_lower_m,x_requested_upper_m,x_applied_lower_m,x_applied_upper_m,crop_length_m,voxel_size_m,shape_x,shape_y,shape_z,porosity,pore_voxels,solid_voxels,through_connected_void_fraction_x,max_blockage_ratio_in_profile,mean_blockage_ratio_in_crop,max_blockage_ratio_in_crop,mean_resistance_multiplier_in_pores,max_resistance_multiplier_in_pores,voxel_npz,pore_mask_npy,blockage_field_npy,hydraulic_resistance_multiplier_field_npy,metadata_json,evidence_boundary
N=3000,3000,peak_blockage_window,0.0123749999999999,0.0083749999999999,0.0163749999999999,0.00825,0.0165,0.00825,0.00025,33,60,53,0.4071183533447684,42723,62217,0.9907309879924162,5.932561127131031e-06,3.353599599819589e-06,5.932561127130885e-06,1.0000146744639224,1.0000257913983122,papers/paper2_voxel_topology_clogging/flow_domains/N3000_peak_blockage/voxel_crop.npz,papers/paper2_voxel_topology_clogging/flow_domains/N3000_peak_blockage/pore_mask.npy,papers/paper2_voxel_topology_clogging/flow_domains/N3000_peak_blockage/blockage_field.npy,papers/paper2_voxel_topology_clogging/flow_domains/N3000_peak_blockage/hydraulic_resistance_multiplier_field.npy,papers/paper2_voxel_topology_clogging/flow_domains/N3000_peak_blockage/metadata.json,cropped pore-domain and debris-resistance input for future pressure-flow solvers; not a solver result
N=6000,6000,peak_blockage_window,0.0123749999999999,0.0083749999999999,0.0163749999999999,0.00825,0.0165,0.00825,0.00025,33,60,53,0.4071183533447684,42723,62217,0.9907309879924162,1.1524315551181274e-05,6.709449388968883e-06,1.1524315551180998e-05,1.0000293608332702,1.0000501018394972,papers/paper2_voxel_topology_clogging/flow_domains/N6000_peak_blockage/voxel_crop.npz,papers/paper2_voxel_topology_clogging/flow_domains/N6000_peak_blockage/pore_mask.npy,papers/paper2_voxel_topology_clogging/flow_domains/N6000_peak_blockage/blockage_field.npy,papers/paper2_voxel_topology_clogging/flow_domains/N6000_peak_blockage/hydraulic_resistance_multiplier_field.npy,papers/paper2_voxel_topology_clogging/flow_domains/N6000_peak_blockage/metadata.json,cropped pore-domain and debris-resistance input for future pressure-flow solvers; not a solver result
N=10000,10000,peak_blockage_window,0.0123749999999999,0.0083749999999999,0.0163749999999999,0.00825,0.0165,0.00825,0.00025,33,60,53,0.4071183533447684,42723,62217,0.9907309879924162,1.9520650602178335e-05,1.1179411806597985e-05,1.9520650602177878e-05,1.0000489172323332,1.0000848674596756,papers/paper2_voxel_topology_clogging/flow_domains/N10000_peak_blockage/voxel_crop.npz,papers/paper2_voxel_topology_clogging/flow_domains/N10000_peak_blockage/pore_mask.npy,papers/paper2_voxel_topology_clogging/flow_domains/N10000_peak_blockage/blockage_field.npy,papers/paper2_voxel_topology_clogging/flow_domains/N10000_peak_blockage/hydraulic_resistance_multiplier_field.npy,papers/paper2_voxel_topology_clogging/flow_domains/N10000_peak_blockage/metadata.json,cropped pore-domain and debris-resistance input for future pressure-flow solvers; not a solver result
