job_id,step,time_s,source_fraction,downstream_fraction,outlet_fraction,x_mean_over_L,x_q99_over_L,x_max_over_L,max_abs_velocity_m_s
907_downstream_source_dt5e9_to_10ms,100000,0.00055,0.9950666666666668,0.0030666666666666,0.0,0.5998385974533333,0.6658067111111111,0.9622333333333334,75.8757
907_downstream_source_dt5e9_to_10ms,120000,0.00065,0.9942666666666666,0.0036,0.0,0.5998764130370371,0.6658512,0.9716911111111112,64.5551
907_downstream_source_dt5e9_to_10ms,140000,0.00075,0.9932,0.0042666666666666,0.0,0.5999188853333334,0.6659224222222222,0.984237777777778,36.8792
907_downstream_source_dt5e9_to_10ms,160000,0.00085,0.9929333333333332,0.0046,0.0,0.5999560143851853,0.666,0.9905866666666668,32.3216
907_downstream_source_dt5e9_to_10ms,180000,0.00095,0.9925333333333334,0.0049333333333333,0.0,0.5999974130962963,0.6660844666666667,0.9983333333333334,32.271
907_downstream_source_dt5e9_to_10ms,200000,0.00105,0.9916666666666668,0.0056,0.0,0.6000456047259259,0.6661511777777778,0.99362,27.7798
907_downstream_source_dt5e9_to_10ms,220000,0.00115,0.9909333333333332,0.0061333333333333,0.0,0.6000984674222222,0.6662222222222223,0.9802733333333332,27.7798
907_downstream_source_dt5e9_to_10ms,240000,0.00125,0.9902666666666666,0.0067333333333333,0.0,0.6001572644148149,0.6663067555555556,0.9624977777777778,23.7661
907_downstream_source_dt5e9_to_10ms,260000,0.00135,0.9892,0.0077333333333333,0.0,0.6002211841511113,0.6663912000000001,0.9748755555555556,23.7652
907_downstream_source_dt5e9_to_10ms,280000,0.00145,0.9882666666666666,0.0084666666666666,0.0,0.600294265957037,0.6664911555555556,0.9894533333333334,23.7642
907_downstream_source_dt5e9_to_10ms,300000,0.00155,0.9870666666666666,0.0095333333333333,0.0,0.6003733239259259,0.6665955555555556,0.9917066666666668,23.7632
907_downstream_source_dt5e9_to_10ms,320000,0.00165,0.9862666666666666,0.0103333333333333,0.0,0.6004579755555557,0.6666933555555555,0.9939622222222222,16.3049
907_downstream_source_dt5e9_to_10ms,340000,0.00175,0.9851333333333332,0.0113333333333333,0.0,0.6005439356888888,0.6667934,0.99622,16.3049
907_downstream_source_dt5e9_to_10ms,360000,0.00185,0.9845333333333334,0.012,0.0,0.600633621288889,0.6669090000000001,0.9984822222222222,16.3049
907_downstream_source_dt5e9_to_10ms,380000,0.00195,0.9833333333333332,0.0131333333333333,0.0,0.600726833437037,0.6670334222222223,0.9979688888888888,16.3049
907_downstream_source_dt5e9_to_10ms,400000,0.00205,0.9824666666666668,0.0138666666666666,0.0,0.6008231137481482,0.6671623111111111,0.996851111111111,16.3049
907_downstream_source_dt5e9_to_10ms,420000,0.00215,0.9816,0.0148666666666666,0.0,0.6009220959555556,0.6673067111111112,0.9957422222222222,16.3049
907_downstream_source_dt5e9_to_10ms,440000,0.00225,0.9804666666666668,0.0156666666666666,0.0,0.6010265947511112,0.6674555555555556,0.99464,13.4405
907_downstream_source_dt5e9_to_10ms,460000,0.00235,0.9792666666666666,0.0168,0.0,0.6011346237718519,0.6676022222222222,0.9935466666666668,13.4415
907_downstream_source_dt5e9_to_10ms,480000,0.00245,0.9781333333333332,0.018,0.0,0.6012454654444445,0.6677423333333333,0.9897555555555556,13.4424
907_downstream_source_dt5e9_to_10ms,500000,0.0025499999999999,0.9768666666666668,0.0192666666666666,0.0,0.601359344162963,0.6678867777777778,0.985688888888889,13.4434
907_downstream_source_dt5e9_to_10ms,520000,0.00265,0.9756666666666668,0.0204,0.0,0.6014764567333334,0.6679734666666667,0.9816355555555556,13.4444
907_downstream_source_dt5e9_to_10ms,540000,0.00275,0.975,0.021,0.0,0.6015968423185186,0.6681311555555556,0.9775933333333334,13.4454
907_downstream_source_dt5e9_to_10ms,560000,0.00285,0.9740666666666666,0.0219333333333333,0.0,0.601719762237037,0.6683023111111112,0.9735644444444445,10.374
907_downstream_source_dt5e9_to_10ms,580000,0.00295,0.9732666666666666,0.0228666666666666,0.0,0.6018449390755556,0.6684867777777779,0.9695488888888888,9.75622
907_downstream_source_dt5e9_to_10ms,600000,0.0030499999999999,0.9719333333333332,0.0242,0.0,0.6019719267718519,0.668617888888889,0.9647733333333336,8.94976
907_downstream_source_dt5e9_to_10ms,620000,0.00315,0.9707333333333332,0.0253333333333333,0.0,0.6021014979940741,0.6688000666666667,0.9599688888888888,8.93951
907_downstream_source_dt5e9_to_10ms,640000,0.00325,0.9698,0.0263333333333333,0.0,0.602233741757037,0.6689823111111112,0.9551777777777778,8.92928
907_downstream_source_dt5e9_to_10ms,660000,0.00335,0.9688,0.0272666666666666,0.0,0.6023681761748148,0.6691934222222223,0.9504022222222224,8.91906
