step,time_s,n,x_p50_over_L,x_p90_over_L,x_p99_over_L,x_p999_over_L,x_max_over_L,fraction_x_gt_0p40,fraction_x_gt_0p60,fraction_x_gt_0p80,fraction_x_gt_0p95,fraction_x_ge_1p00
1280000,0.00645,30000,0.34017111111111115,0.39436533333333335,0.4110180444444444,0.5676471311111113,0.9935533333333333,0.06236666666666667,0.0009333333333333333,0.00036666666666666667,0.0001,0.0
1320000,0.00665,30000,0.34047666666666665,0.39466911111111114,0.4115780888888888,0.5748448266666677,0.987891111111111,0.06456666666666666,0.0009333333333333333,0.0003333333333333333,0.0001,0.0
1340000,0.00675,30000,0.34064555555555553,0.3948288888888889,0.41181117777777776,0.5784440511111124,0.9927577777777779,0.06546666666666667,0.0009333333333333333,0.00036666666666666667,0.0001,0.0
1360000,0.00685,30000,0.3408,0.39496466666666674,0.41209795555555556,0.5820446933333348,0.9976688888888889,0.06666666666666667,0.0009333333333333333,0.00036666666666666667,0.00013333333333333334,0.0
1420000,0.00715,30000,0.34123888888888887,0.3954584444444445,0.4129711333333334,0.5915345955555575,0.9933266666666667,0.07006666666666667,0.001,0.00036666666666666667,0.00013333333333333334,0.0
1440000,0.0072499999999999995,30000,0.34144,0.39560111111111107,0.4133311333333333,0.5929352177777805,0.9938666666666667,0.07106666666666667,0.001,0.0004,0.00013333333333333334,0.0
1480000,0.00745,30000,0.34172,0.3959408888888889,0.41390022222222217,0.5957479733333367,0.9949622222222223,0.07283333333333333,0.001,0.0004,0.00013333333333333334,0.0
1540000,0.00775,30000,0.3421355555555556,0.3963955555555556,0.4146695555555554,0.5999921311111139,0.9966488888888889,0.0765,0.001,0.0004,0.00016666666666666666,0.0
1560000,0.007850000000000001,30000,0.3422733333333333,0.3965068888888889,0.4149269333333333,0.6014131422222245,0.9972222222222222,0.0777,0.0010333333333333334,0.0004,0.0002,0.0
1620000,0.00815,30000,0.3427422222222222,0.39695555555555556,0.41568668888888893,0.6063564866666677,0.9988466666666667,0.0808,0.0010666666666666667,0.0004,0.00016666666666666666,0.0
1680000,0.00845,30000,0.3431766666666667,0.3974615555555556,0.41646957777777766,0.6100468288888903,0.9979955555555556,0.08386666666666667,0.0011,0.0004,0.00016666666666666666,0.0
1720000,0.00865,30000,0.34350222222222226,0.39783355555555555,0.41710899999999995,0.6132209222222224,0.9974644444444445,0.08583333333333333,0.0011333333333333334,0.0004333333333333333,0.00016666666666666666,0.0
1800000,0.00905,30000,0.3440888888888889,0.3984488888888889,0.4181247999999999,0.61885099777778,0.9964844444444445,0.09043333333333334,0.0011666666666666668,0.0004,0.00013333333333333334,0.0
1840000,0.00925,30000,0.3443466666666667,0.398838,0.4186735111111111,0.6239630888888917,0.9960355555555557,0.09216666666666666,0.0012,0.00046666666666666666,0.0001,0.0
1860000,0.00935,30000,0.34449,0.39899422222222225,0.41894939999999997,0.6272282377777795,0.99582,0.09316666666666666,0.0012,0.00046666666666666666,6.666666666666667e-05,0.0
1900000,0.00955,30000,0.34479000000000004,0.3993446666666667,0.41939804444444445,0.6310449466666673,0.9954133333333335,0.09553333333333333,0.0012666666666666666,0.00046666666666666666,6.666666666666667e-05,0.0
1960000,0.00985,30000,0.3452766666666667,0.3999048888888889,0.42003333333333337,0.6398770600000008,0.9948533333333334,0.09933333333333333,0.0012666666666666666,0.00046666666666666666,6.666666666666667e-05,0.0
1990000,0.01,30000,0.34549222222222226,0.40021999999999996,0.42015626666666656,0.6437581022222232,0.9945955555555556,0.10123333333333333,0.0012666666666666666,0.00046666666666666666,6.666666666666667e-05,0.0
