step,time_s,n,x_p50_over_L,x_p90_over_L,x_p99_over_L,x_p999_over_L,x_max_over_L,fraction_x_gt_0p40,fraction_x_gt_0p60,fraction_x_gt_0p80,fraction_x_gt_0p95,fraction_x_ge_1p00
20000,0.00015000000000000001,30000,0.33311999999999997,0.38612,0.39899555555555555,0.40057557111111114,0.47258888888888895,0.0014333333333333333,0.0,0.0,0.0,0.0
40000,0.00025,30000,0.3331077777777778,0.38616911111111113,0.3990667111111111,0.4023714444444445,0.5581888888888888,0.0019666666666666665,0.0,0.0,0.0,0.0
80000,0.00045000000000000004,30000,0.33316555555555555,0.38636000000000004,0.3991956,0.40503821555555564,0.6731822222222222,0.0034666666666666665,6.666666666666667e-05,0.0,0.0,0.0
100000,0.00055,30000,0.3331911111111111,0.38643644444444447,0.39929564444444443,0.4063469088888889,0.7263133333333334,0.004433333333333333,0.0001,0.0,0.0,0.0
200000,0.00105,30000,0.3333777777777778,0.386738,0.39976888888888895,0.41342239555555554,0.9908955555555555,0.008166666666666666,0.00013333333333333334,6.666666666666667e-05,3.3333333333333335e-05,0.0
240000,0.00125,30000,0.3335288888888889,0.38688933333333336,0.3999667333333333,0.41437339111111116,0.9964155555555556,0.009733333333333333,0.00016666666666666666,6.666666666666667e-05,3.3333333333333335e-05,0.0
260000,0.0013499999999999999,30000,0.3335866666666667,0.3869788888888889,0.40006895555555555,0.4152753422222227,0.9976644444444445,0.0106,0.00016666666666666666,6.666666666666667e-05,3.3333333333333335e-05,0.0
300000,0.00155,30000,0.3337,0.387158,0.40030893333333334,0.41829637555555577,0.9982555555555557,0.0128,0.00016666666666666666,0.0001,3.3333333333333335e-05,0.0
360000,0.0018499999999999999,30000,0.3339266666666667,0.38748,0.4006733777777778,0.4238355644444444,0.9964355555555556,0.015666666666666666,0.00023333333333333333,0.0001,3.3333333333333335e-05,0.0
380000,0.00195,30000,0.3340277777777778,0.38757511111111115,0.40081117777777775,0.4262956022222223,0.9958444444444444,0.016366666666666668,0.0002666666666666667,0.0001,3.3333333333333335e-05,0.0
480000,0.0024500000000000004,30000,0.3345588888888889,0.3881788888888889,0.40154006666666664,0.4390448511111112,0.9985266666666667,0.021466666666666665,0.0004,0.00016666666666666666,6.666666666666667e-05,0.0
