role,state_label,case_name,final_BTC,drag_to_weight_ratio,total_blockage,peak_blockage,mean_blockage,peak_to_mean,gini,entropy_norm,participation_length_fraction,centroid_over_L,spread_over_L,upstream_fraction_x_lt_0p2,downstream_fraction_x_gt_0p8,nonzero_bin_count
high_drive_stronger_breakthrough,higher BTC,paper1_df0p02_ug3_seed401,0.082,112.85555256995887,0.0003644229186044692,2.7547872272570823e-05,8.098287080099316e-07,34.01691246568278,0.6639041352260802,0.8529494862450803,0.1911187771895778,0.48832146358155876,0.2282675671611601,0.016058603412277144,0.1471536197726025,367.0
intermediate_drive_weak_breakthrough,weak BTC,paper1_df0p0225_ug2_seed401,0.0183333333333333,59.4465462096903,0.0005424912897095094,1.0631993458219603e-05,1.2055361993544654e-06,8.819306681883772,0.7017183753805504,0.8436668265700462,0.2519811130519551,0.35220917141870894,0.18928005635870443,0.07225221000362814,0.05285276232536177,361.0
low_drive_no_breakthrough,low drive,paper1_df0p025_ug1_seed401,0.0,24.075851214924565,0.0007758669860903296,2.2084826555567843e-05,1.72414885797851e-06,12.80911822280899,0.8098623778805446,0.7726458838637248,0.16727779510874935,0.20864280179152223,0.09587852333612938,0.6486301340490878,0.0,249.0
