role,case_name,df_over_dp,gas_velocity_m_s,drag_to_weight_ratio,final_BTC,mean_debris_position_x_over_L,blockage_centroid_x_over_L,peak_blockage_x_m,peak_blockage_x_over_L,peak_blockage_ratio,outlet_connected_void_fraction_x,mechanism_label
low_drive_no_breakthrough,paper1_df0p025_ug1_seed401,0.025,1.0,24.075851214924565,0.0,0.2083781349179141,0.2084590332533424,0.00835,0.18555555555555556,2.2084826555567843e-05,0.9995283905797896,internal filtering without outlet breakthrough
intermediate_drive_weak_breakthrough,paper1_df0p0225_ug2_seed401,0.0225,2.0,59.4465462096903,0.0183333333333333,0.357509566862976,0.357226148409894,0.04495,0.9988888888888888,1.0631993458219603e-05,0.9995283905797896,downstream migration with outlet-side enrichment
high_drive_stronger_breakthrough,paper1_df0p02_ug3_seed401,0.02,3.0,112.85555256995887,0.082,0.5025855836563308,0.4998183139534883,0.04495,0.9988888888888888,2.7547872272570823e-05,0.9995283905797896,downstream migration with outlet-side enrichment
