metric,slope,intercept,r2,t_min_s
source_count_all,-141316.87925726944,15027.268924992715,0.9853111084876575,
source_count_late_5_10ms,-167457.1428571431,15196.095238095246,0.999882483154617,0.005
downstream_count_all,138641.20087061622,-41.63140689755129,0.9808967770065358,
downstream_count_late_5_10ms,169685.71428571435,-245.14285714285677,0.9999528256219243,0.005
x_mean_all_m_s,0.05736163758966219,0.014955147985302276,0.9789321273860826,
x_q99_all_m_s,0.07575193832636393,0.017905400029393007,0.9616439772316203,
x_max_late_5_10ms_m_s,2.6453657142857128,0.012544023809523836,0.9916871043570749,0.005
