elapsed_time,BTC,particle_count,total_blockage,peak_blockage,mean_blockage,peak_to_mean,gini,entropy_norm,participation_length_fraction,centroid_over_L,spread_over_L,upstream_fraction_x_lt_0p2,downstream_fraction_x_gt_0p8,nonzero_bin_count
0.0,0.0,345,1.0408450051916662e-05,1.0408450051916662e-05,5.204225025958331e-07,20.0,0.95,-0.0,0.05,0.0249999999999999,0.0,1.0,0.0,1.0
0.0008099999999999,0.0,750,2.2627065330253596e-05,2.2627065330253596e-05,1.1313532665126798e-06,20.0,0.95,-0.0,0.05,0.0249999999999999,0.0,1.0,0.0,1.0
0.0016199999999999,0.0,1155,3.488644457322207e-05,3.42724616202241e-05,1.7443222286611036e-06,19.64801058949455,0.9482400529474727,0.02955656174512791,0.051790901313587635,0.025879973526263523,0.006574520735860247,1.0,0.0,2.0
0.00243,0.0,1560,4.744189892772561e-05,4.1754477889428625e-05,2.3720949463862803e-06,17.602363662988548,0.9380118183149427,0.1224039466698424,0.06337298936119415,0.03099409084252855,0.016241164277783385,1.0,0.0,2.0
0.0032399999999999,0.0,1965,6.0387829153962445e-05,4.37456596384912e-05,3.019391457698122e-06,14.488237199902974,0.9224411859995149,0.19652559032084238,0.08323326394814394,0.038779407000242495,0.022340507888895373,1.0,0.0,2.0
0.0040499999999999,0.0,2370,7.36131675005669e-05,4.323277949100539e-05,3.6806583750283448e-06,11.745936483625012,0.907538467037549,0.2442796662087033,0.09887423722963908,0.046230766481225434,0.0258911886113742,1.0,0.0,3.0
0.0048599999999999,0.0,2775,8.717510197386229e-05,4.1905324991630334e-05,4.358755098693114e-06,9.61405815256627,0.893292281985876,0.28437470075925386,0.10972455655832061,0.053353859007061945,0.029200206653524203,1.0,0.0,3.0
0.0056699999999999,0.0,3000,9.574150605402433e-05,4.940947027020625e-05,4.787075302701217e-06,10.3214315935924,0.889643575539844,0.32338156949282715,0.12086909772960508,0.06270522071022515,0.0326795128222218,1.0000000000000002,0.0,4.0
0.00648,0.0,3000,9.80097277024764e-05,5.134836380598957e-05,4.90048638512382e-06,10.478217827900803,0.8776240763520526,0.3573560182094374,0.1307874338145907,0.07713843762973652,0.03575863120456834,1.0,0.0,4.0
0.00729,0.0,3000,9.980652169368261e-05,5.2253180789355115e-05,4.99032608468413e-06,10.470895068305452,0.883920040677056,0.35769336799632256,0.1251819214527041,0.09197742391306289,0.035510959549237844,0.9986937291349136,0.0,5.0
0.0081,0.0,3000,0.00010090100359582438,4.3881105810357094e-05,5.0450501797912186e-06,8.69785319205151,0.8751739917466068,0.3664615634880058,0.13077164450610398,0.1076788812994214,0.036948456178261806,0.9896631869426133,0.0,5.0
0.0089099999999999,0.0,3000,0.00010102330128925586,4.947128831575712e-05,5.051165064462793e-06,9.79403517493613,0.8727332720631311,0.3873365195250031,0.13905127690018343,0.12201462020781949,0.03948557616313756,0.970060330682843,0.0,6.0
0.0097199999999999,0.0,3000,0.00010061097116652011,5.0457791110827734e-05,5.030548558326006e-06,10.030276127106575,0.8670692624568869,0.4085157991139734,0.1432860268718008,0.13803769280854075,0.042282887042408984,0.9215717576515138,0.0,7.0
0.0105299999999999,0.0,3000,9.911379926104962e-05,4.150619167407632e-05,4.955689963052481e-06,8.375461738633541,0.8543296563017977,0.4350759563579558,0.15862292740660336,0.1547182011023036,0.04542889117898943,0.8400831597701232,0.0,7.0
0.01134,0.0,3000,9.806449940828361e-05,3.658992683487683e-05,4.90322497041418e-06,7.462420561091661,0.8419267789264456,0.45812171221220527,0.17227980548467423,0.17175871764948267,0.04873007329754566,0.7333006996603985,0.0,6.0
0.01215,0.0,3000,9.763737841719179e-05,3.460327764692156e-05,4.881868920859589e-06,7.088121006089752,0.8309271442212776,0.48012621158009944,0.18642285765546784,0.1904921689269533,0.051555358793046416,0.5837084850944236,0.0,7.0
0.0129599999999999,0.0,3000,9.79789633288862e-05,3.4646983893609496e-05,4.89894816644431e-06,7.072331185483131,0.8270707682493047,0.49083349530920983,0.19074344695667553,0.20967008002578802,0.05309662871002884,0.4294172252732989,0.0,8.0
0.0137699999999999,0.0,3000,9.878500164217625e-05,3.4842545420760635e-05,4.939250082108813e-06,7.054217713528814,0.819996027317077,0.5057024810841984,0.19667116736220955,0.2261148456534353,0.055363735912476245,0.31380999354292166,0.0,8.0
0.0145799999999999,0.0,3000,9.934723875017953e-05,3.29195237371078e-05,4.9673619375089766e-06,6.627164307986026,0.8159265209174655,0.5180278437575383,0.20006182088714203,0.2423557657599449,0.057401810435237496,0.21950252800064898,0.0,9.0
0.01539,0.0,3000,9.95323477667041e-05,3.4193426319312395e-05,4.976617388335205e-06,6.870816792036106,0.8095716406444146,0.5335330253753257,0.20738388151569978,0.2590087493930242,0.06013973735046888,0.15074943713230923,0.0,9.0
