case_name,case_dir,debris_yaml,release_region,df_over_dp,debris_total_number,actual_debris_count,seed_offset,priority,scientific_question,generated,input_file,data_file
paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit/debris_explicit.yaml,damage_slab_x024_030,0.1,15000,15000,907,downstream_source_position_check,Does a downstream internal source reach the outlet faster under the same physical Stokes drag?,True,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit/in.explicit_localized_release,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x024_030_df0p1_n15000_seed907_explicit/localized_release.data
paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/debris_explicit.yaml,damage_slab_x012_018,0.1,30000,30000,908,higher_source_inventory_check,Does increasing local debris inventory amplify source-zone release or local blockage without changing drag?,True,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/in.explicit_localized_release,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n30000_seed908_explicit/localized_release.data
