debris_total_number,subvoxel_mean_blockage_ratio,subvoxel_max_blockage_ratio,ergun_profile_pressure_increase_ratio,ergun_peak_local_pressure_increase_ratio,ergun_baseline_pressure_drop_pa,ergun_profile_mean_pressure_drop_pa,ergun_peak_local_equivalent_pressure_drop_pa,openfoam_delta_p_pa,openfoam_default_checkmesh_ok,openfoam_skew6_checkmesh_ok,openfoam_max_skewness,hydraulic_regime,evidence_boundary
3000,8.930397866757644e-07,5.932561127131031e-06,3.772039196411413e-06,2.5058236522676783e-05,1753.2917787115011,1753.2983921968132,1753.3357131115854,1246.86132,False,True,5.1258012,pre-clogging perturbation,sub-voxel Ergun proxy plus returned OpenFOAM screening metadata; not experimental pressure validation
6000,1.80154209971084e-06,1.1524315551181274e-05,7.609443463756201e-06,4.867760422336204e-05,1753.2917787115011,1753.3051202861668,1753.3771247547934,,False,False,,pre-clogging perturbation,sub-voxel Ergun proxy plus returned OpenFOAM screening metadata; not experimental pressure validation
10000,2.9785874722576543e-06,1.9520650602178335e-05,1.2581232188492602e-05,8.245492397801376e-05,1753.2917787115011,1753.3138372824633,1753.436346251826,,False,False,,pre-clogging perturbation,sub-voxel Ergun proxy plus returned OpenFOAM screening metadata; not experimental pressure validation
