particle_id,initial_z_m,retained_at_final_time,outlet_interval_start_s,outlet_interval_end_s,outlet_time_midpoint_s
2156,0.016432,True,nan,nan,nan
2157,0.0219636,True,nan,nan,nan
2158,0.0189853,True,nan,nan,nan
2159,0.0237556,True,nan,nan,nan
2160,0.0275393,True,nan,nan,nan
2161,0.0268807,True,nan,nan,nan
2162,0.0244154,True,nan,nan,nan
2163,0.0151814,True,nan,nan,nan
2164,0.0281471,True,nan,nan,nan
2165,0.0214799,True,nan,nan,nan
2166,0.0201558,True,nan,nan,nan
2167,0.0236621,True,nan,nan,nan
2168,0.0254792,True,nan,nan,nan
2169,0.0238178,True,nan,nan,nan
2170,0.0285458,True,nan,nan,nan
2171,0.0220516,True,nan,nan,nan
2172,0.0249674,True,nan,nan,nan
2173,0.0273252,True,nan,nan,nan
2174,0.0196145,True,nan,nan,nan
2175,0.0263994,True,nan,nan,nan
2176,0.0189469,True,nan,nan,nan
2177,0.02952,True,nan,nan,nan
2178,0.023695,True,nan,nan,nan
2179,0.0182919,True,nan,nan,nan
2180,0.0221966,True,nan,nan,nan
2181,0.0159664,True,nan,nan,nan
2182,0.0156814,True,nan,nan,nan
2183,0.0210622,True,nan,nan,nan
2184,0.0243679,True,nan,nan,nan
2185,0.0189524,True,nan,nan,nan
2186,0.0232306,True,nan,nan,nan
2187,0.0287606,True,nan,nan,nan
2188,0.0247531,True,nan,nan,nan
2189,0.0272365,True,nan,nan,nan
2190,0.0156025,True,nan,nan,nan
2191,0.0248772,True,nan,nan,nan
2192,0.0298817,True,nan,nan,nan
2193,0.0167768,True,nan,nan,nan
2194,0.0197266,True,nan,nan,nan
2195,0.0243571,True,nan,nan,nan
2196,0.0245205,True,nan,nan,nan
2197,0.0286507,True,nan,nan,nan
2198,0.0210225,True,nan,nan,nan
2199,0.018731,True,nan,nan,nan
2200,0.0207305,True,nan,nan,nan
2201,0.0236479,True,nan,nan,nan
2202,0.0283112,True,nan,nan,nan
2203,0.0196247,True,nan,nan,nan
2204,0.0295588,True,nan,nan,nan
2205,0.0218428,True,nan,nan,nan
2206,0.0290395,True,nan,nan,nan
2207,0.0279534,True,nan,nan,nan
2208,0.0296282,True,nan,nan,nan
2209,0.0181557,True,nan,nan,nan
2210,0.0205149,True,nan,nan,nan
2211,0.0259648,True,nan,nan,nan
2212,0.0182441,True,nan,nan,nan
2213,0.026318,False,0.19999999999999998,0.3,0.25
2214,0.0155062,True,nan,nan,nan
2215,0.0223644,False,0.09999999999999999,0.19999999999999998,0.15
2216,0.0263988,True,nan,nan,nan
2217,0.0201283,True,nan,nan,nan
2218,0.0295056,True,nan,nan,nan
2219,0.0274249,True,nan,nan,nan
2220,0.0263078,True,nan,nan,nan
2221,0.0167092,True,nan,nan,nan
2222,0.0199078,True,nan,nan,nan
2223,0.0286717,True,nan,nan,nan
2224,0.0296514,True,nan,nan,nan
2225,0.0152974,True,nan,nan,nan
2226,0.0188788,True,nan,nan,nan
2227,0.0225398,True,nan,nan,nan
2228,0.0192925,True,nan,nan,nan
2229,0.0228353,True,nan,nan,nan
2230,0.0191156,True,nan,nan,nan
2231,0.0156049,True,nan,nan,nan
2232,0.0187064,True,nan,nan,nan
2233,0.0256549,True,nan,nan,nan
2234,0.0259227,True,nan,nan,nan
2235,0.016188,True,nan,nan,nan
2236,0.0184368,True,nan,nan,nan
2237,0.0289091,True,nan,nan,nan
2238,0.0239767,True,nan,nan,nan
2239,0.0274545,True,nan,nan,nan
2240,0.0165584,True,nan,nan,nan
2241,0.0208118,True,nan,nan,nan
2242,0.0182634,True,nan,nan,nan
2243,0.017037,True,nan,nan,nan
2244,0.0241325,True,nan,nan,nan
2245,0.0288935,True,nan,nan,nan
2246,0.0226056,True,nan,nan,nan
2247,0.0281768,True,nan,nan,nan
2248,0.0250625,False,0.3,0.39999999999999997,0.35
2249,0.0272057,True,nan,nan,nan
2250,0.0252431,True,nan,nan,nan
2251,0.0244466,True,nan,nan,nan
2252,0.0228294,True,nan,nan,nan
2253,0.0182928,True,nan,nan,nan
2254,0.0249493,False,0.09999999999999999,0.19999999999999998,0.15
2255,0.0161728,True,nan,nan,nan
2256,0.0241893,True,nan,nan,nan
2257,0.0290413,True,nan,nan,nan
2258,0.0294647,True,nan,nan,nan
2259,0.0268433,True,nan,nan,nan
2260,0.0279531,True,nan,nan,nan
2261,0.0265971,True,nan,nan,nan
2262,0.0272109,True,nan,nan,nan
2263,0.0184525,True,nan,nan,nan
2264,0.0176045,True,nan,nan,nan
2265,0.0152022,True,nan,nan,nan
2266,0.0264147,True,nan,nan,nan
2267,0.0277086,True,nan,nan,nan
2268,0.0156736,True,nan,nan,nan
2269,0.0227137,True,nan,nan,nan
2270,0.0151954,True,nan,nan,nan
2271,0.0197169,True,nan,nan,nan
2272,0.0197261,True,nan,nan,nan
2273,0.0181661,True,nan,nan,nan
2274,0.0206933,True,nan,nan,nan
2275,0.0206224,True,nan,nan,nan
2276,0.0249704,True,nan,nan,nan
2277,0.02308,True,nan,nan,nan
2278,0.0284623,True,nan,nan,nan
2279,0.0262608,True,nan,nan,nan
2280,0.0291597,True,nan,nan,nan
2281,0.0176777,True,nan,nan,nan
2282,0.0282785,True,nan,nan,nan
2283,0.0158447,True,nan,nan,nan
2284,0.0286494,True,nan,nan,nan
2285,0.0197615,True,nan,nan,nan
2286,0.0251443,True,nan,nan,nan
2287,0.026956,True,nan,nan,nan
2288,0.0268969,False,0.09999999999999999,0.19999999999999998,0.15
2289,0.0209892,False,0.09999999999999999,0.19999999999999998,0.15
2290,0.0259329,True,nan,nan,nan
2291,0.0178294,True,nan,nan,nan
2292,0.0270143,True,nan,nan,nan
2293,0.0296453,False,0.39999999999999997,0.5,0.44999999999999996
2294,0.0174514,True,nan,nan,nan
2295,0.0165863,True,nan,nan,nan
2296,0.0248327,True,nan,nan,nan
2297,0.0207943,False,0.09999999999999999,0.19999999999999998,0.15
2298,0.0215939,True,nan,nan,nan
2299,0.0284925,True,nan,nan,nan
2300,0.0251819,True,nan,nan,nan
2301,0.0229267,True,nan,nan,nan
2302,0.0255176,True,nan,nan,nan
2303,0.0246389,False,0.09999999999999999,0.19999999999999998,0.15
2304,0.0226445,True,nan,nan,nan
2305,0.0203516,True,nan,nan,nan
2306,0.0154125,True,nan,nan,nan
2307,0.017345,True,nan,nan,nan
2308,0.0185968,True,nan,nan,nan
2309,0.0234004,True,nan,nan,nan
2310,0.029346,True,nan,nan,nan
2311,0.0174276,True,nan,nan,nan
2312,0.0207998,True,nan,nan,nan
2313,0.0188886,True,nan,nan,nan
2314,0.0181886,True,nan,nan,nan
2315,0.0268882,True,nan,nan,nan
2316,0.0281211,True,nan,nan,nan
2317,0.0180193,True,nan,nan,nan
2318,0.0273074,True,nan,nan,nan
2319,0.0192501,True,nan,nan,nan
2320,0.0185538,True,nan,nan,nan
2321,0.0208587,True,nan,nan,nan
2322,0.0290341,True,nan,nan,nan
2323,0.0163693,True,nan,nan,nan
2324,0.0178726,True,nan,nan,nan
2325,0.0210523,True,nan,nan,nan
2326,0.0191487,True,nan,nan,nan
2327,0.0233355,True,nan,nan,nan
2328,0.019453,True,nan,nan,nan
2329,0.018652,False,0.09999999999999999,0.19999999999999998,0.15
2330,0.0204715,True,nan,nan,nan
2331,0.0226524,True,nan,nan,nan
2332,0.0199135,True,nan,nan,nan
2333,0.0269488,True,nan,nan,nan
2334,0.0225858,True,nan,nan,nan
2335,0.0221087,True,nan,nan,nan
2336,0.0278472,True,nan,nan,nan
2337,0.0219403,True,nan,nan,nan
2338,0.0166447,True,nan,nan,nan
2339,0.0216893,True,nan,nan,nan
2340,0.0275642,True,nan,nan,nan
2341,0.0267532,True,nan,nan,nan
2342,0.0208836,True,nan,nan,nan
2343,0.0238065,True,nan,nan,nan
2344,0.0242836,True,nan,nan,nan
2345,0.0193517,False,0.09999999999999999,0.19999999999999998,0.15
2346,0.0296302,True,nan,nan,nan
2347,0.0198903,True,nan,nan,nan
2348,0.0235664,True,nan,nan,nan
2349,0.0284162,True,nan,nan,nan
2350,0.0184628,True,nan,nan,nan
2351,0.0264133,True,nan,nan,nan
2352,0.0196646,False,0.09999999999999999,0.19999999999999998,0.15
2353,0.0218175,True,nan,nan,nan
2354,0.0207406,True,nan,nan,nan
2355,0.0286193,True,nan,nan,nan
2356,0.0237579,True,nan,nan,nan
2357,0.0253457,True,nan,nan,nan
2358,0.0190395,True,nan,nan,nan
2359,0.0297642,True,nan,nan,nan
2360,0.0232108,True,nan,nan,nan
2361,0.0227327,True,nan,nan,nan
2362,0.0218811,True,nan,nan,nan
2363,0.0219711,True,nan,nan,nan
2364,0.0155944,True,nan,nan,nan
2365,0.0263853,True,nan,nan,nan
2366,0.0176278,True,nan,nan,nan
2367,0.0221687,True,nan,nan,nan
2368,0.0169726,True,nan,nan,nan
2369,0.0238833,True,nan,nan,nan
2370,0.0259945,True,nan,nan,nan
2371,0.0223838,True,nan,nan,nan
2372,0.0173149,True,nan,nan,nan
2373,0.0236204,True,nan,nan,nan
2374,0.0260685,True,nan,nan,nan
2375,0.0232993,True,nan,nan,nan
2376,0.0239755,True,nan,nan,nan
2377,0.0190093,True,nan,nan,nan
2378,0.0296783,True,nan,nan,nan
2379,0.0231752,True,nan,nan,nan
2380,0.0272223,True,nan,nan,nan
2381,0.0222557,True,nan,nan,nan
2382,0.0279628,True,nan,nan,nan
2383,0.0200662,True,nan,nan,nan
2384,0.0212103,True,nan,nan,nan
2385,0.0240998,True,nan,nan,nan
2386,0.0246276,True,nan,nan,nan
2387,0.0200071,True,nan,nan,nan
2388,0.0231874,True,nan,nan,nan
2389,0.027768,True,nan,nan,nan
2390,0.0281217,True,nan,nan,nan
2391,0.0222071,True,nan,nan,nan
2392,0.018807,True,nan,nan,nan
2393,0.0211481,True,nan,nan,nan
2394,0.0175865,True,nan,nan,nan
2395,0.0258374,True,nan,nan,nan
2396,0.0229698,True,nan,nan,nan
2397,0.0215361,False,2.3,2.4,2.3499999999999996
2398,0.0245663,True,nan,nan,nan
2399,0.0186471,True,nan,nan,nan
2400,0.0204447,True,nan,nan,nan
2401,0.0194821,True,nan,nan,nan
2402,0.0294954,True,nan,nan,nan
2403,0.0272593,True,nan,nan,nan
2404,0.0154678,True,nan,nan,nan
2405,0.0202829,True,nan,nan,nan
2406,0.015458,True,nan,nan,nan
2407,0.0263449,True,nan,nan,nan
2408,0.0181394,True,nan,nan,nan
2409,0.0185128,True,nan,nan,nan
2410,0.0174136,True,nan,nan,nan
2411,0.0183299,True,nan,nan,nan
2412,0.0295997,True,nan,nan,nan
2413,0.0169546,True,nan,nan,nan
2414,0.0208914,True,nan,nan,nan
2415,0.017669,True,nan,nan,nan
2416,0.025493,True,nan,nan,nan
2417,0.0223175,True,nan,nan,nan
2418,0.0203246,True,nan,nan,nan
2419,0.0165118,True,nan,nan,nan
2420,0.0278223,True,nan,nan,nan
2421,0.0253773,True,nan,nan,nan
2422,0.0168729,True,nan,nan,nan
2423,0.0177991,True,nan,nan,nan
2424,0.0180183,True,nan,nan,nan
2425,0.0281777,True,nan,nan,nan
2426,0.0212357,True,nan,nan,nan
2427,0.0250514,True,nan,nan,nan
2428,0.028769,True,nan,nan,nan
2429,0.0169597,True,nan,nan,nan
2430,0.0298996,True,nan,nan,nan
2431,0.0276452,True,nan,nan,nan
2432,0.0162471,True,nan,nan,nan
2433,0.0265167,True,nan,nan,nan
2434,0.0244818,True,nan,nan,nan
2435,0.0199306,True,nan,nan,nan
2436,0.0199652,True,nan,nan,nan
2437,0.0186169,True,nan,nan,nan
2438,0.0153192,True,nan,nan,nan
2439,0.0229999,True,nan,nan,nan
2440,0.0151812,False,0.0,0.09999999999999999,0.049999999999999996
2441,0.0182278,False,0.09999999999999999,0.19999999999999998,0.15
2442,0.0200181,True,nan,nan,nan
2443,0.0281332,True,nan,nan,nan
2444,0.0218993,True,nan,nan,nan
2445,0.0210582,True,nan,nan,nan
2446,0.0202482,True,nan,nan,nan
2447,0.0203299,True,nan,nan,nan
2448,0.0178566,True,nan,nan,nan
2449,0.0182458,True,nan,nan,nan
2450,0.0154457,True,nan,nan,nan
