timestep,time_s,retained_count,retained_fraction,cumulative_outlet_count,cumulative_breakthrough_fraction,new_outlet_count,z_mean_m,z_p10_m,z_p50_m,z_p90_m,downward_velocity_mean_m_s
0,0.0,4104,1.0,0,0.0,0,0.02260458199317739,0.01671487,0.02264425,0.02840358,0.020000000000000004
100000,0.09999999999999999,4087,0.9958576998050682,17,0.004142300194931774,17,0.016226887336187913,0.01041544,0.0160384,0.02236438,0.0666594950855307
200000,0.19999999999999998,3982,0.9702729044834308,122,0.0297270955165692,105,0.013081577519839276,0.008418937999999999,0.01117535,0.02280835,0.02559904189375163
300000,0.3,3953,0.9632066276803118,151,0.03679337231968811,29,0.011738623513281053,0.008071184,0.0109646,0.018352740000000003,0.015085437875979001
400000,0.39999999999999997,3944,0.9610136452241715,160,0.03898635477582846,9,0.010948033945233266,0.0077961440000000005,0.0108444,0.012059170000000001,0.0031943174260978704
500000,0.5,3942,0.9605263157894737,162,0.039473684210526314,2,0.010552938782090309,0.00769536,0.0108025,0.01193598,0.004458283732618341
600000,0.6,3937,0.959307992202729,167,0.04069200779727095,5,0.01028701513055626,0.00752681,0.010759,0.011885940000000001,0.0022861391754948187
700000,0.7,3933,0.9583333333333334,171,0.041666666666666664,4,0.010140716147724384,0.007467784000000002,0.0107275,0.01186126,0.0009464988870371727
800000,0.7999999999999999,3927,0.9568713450292398,177,0.04312865497076023,6,0.01005448761599185,0.00744279,0.0107141,0.011845,0.0014473454624103386
900000,0.8999999999999999,3923,0.955896686159844,181,0.04410331384015594,4,0.010016139095845016,0.007453428000000001,0.0107132,0.01183636,0.0003836872639276829
1000000,1.0,3923,0.955896686159844,181,0.04410331384015594,0,0.009982008039000763,0.007441838,0.0107067,0.01182962,0.0004102795901569692
1100000,1.0999999999999999,3923,0.955896686159844,181,0.04410331384015594,0,0.009972642099413714,0.007433356,0.0107058,0.01182744,0.00023778341321429515
1200000,1.2,3923,0.955896686159844,181,0.04410331384015594,0,0.009956402430537853,0.007391458,0.0107028,0.011827520000000001,9.443174516717307e-05
1300000,1.3,3923,0.955896686159844,181,0.04410331384015594,0,0.009951452458322713,0.007359584000000001,0.0106997,0.01182378,0.0001310866371413026
1400000,1.4,3923,0.955896686159844,181,0.04410331384015594,0,0.00994566019857252,0.0073585000000000005,0.0106965,0.011821100000000001,0.00018195991925395362
1500000,1.5,3920,0.9551656920077972,184,0.04483430799220273,3,0.009942242268622448,0.0073592679999999995,0.01069765,0.01182164,1.433933964917347e-05
1600000,1.5999999999999999,3920,0.9551656920077972,184,0.04483430799220273,0,0.009937382760969386,0.007357894,0.0106926,0.011818599999999999,0.00011579253055440327
1700000,1.7,3920,0.9551656920077972,184,0.04483430799220273,0,0.009935985730357142,0.007354528,0.01069135,0.01181815,-4.5057984185423485e-06
1800000,1.7999999999999998,3920,0.9551656920077972,184,0.04483430799220273,0,0.009934437327295919,0.007354529,0.01069105,0.01181486,4.853340475680357e-05
1900000,1.9,3920,0.9551656920077972,184,0.04483430799220273,0,0.0099284614375,0.0073491830000000005,0.010688699999999999,0.01181234,1.3489171907627552e-05
2000000,2.0,3920,0.9551656920077972,184,0.04483430799220273,0,0.009927170570663264,0.0073491830000000005,0.010685150000000001,0.01180968,0.00010683640166108928
2100000,2.1,3920,0.9551656920077972,184,0.04483430799220273,0,0.009909892045918368,0.007324105,0.01068015,0.011805749999999999,0.00020541461139219393
2200000,2.1999999999999997,3919,0.9549220272904484,185,0.045077972709551654,1,0.009904949012758357,0.007320186,0.0106798,0.0118052,2.1715974751186527e-05
2300000,2.3,3919,0.9549220272904484,185,0.045077972709551654,0,0.009899029855320233,0.007302528,0.0106776,0.0118002,7.276125571084335e-05
2400000,2.4,3918,0.9546783625730995,186,0.04532163742690058,1,0.00989871255997958,0.007302514,0.0106777,0.01180022,2.7130688162812656e-06
2500000,2.5,3918,0.9546783625730995,186,0.04532163742690058,0,0.009897587164369576,0.007302514,0.010677550000000001,0.01179701,1.8614486148087164e-05
