comparison,metric,particle_count,paired_mean_difference,paired_median_difference,paired_standard_error,bootstrap_sample_count,bootstrap_seed,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_probability_mean_above_zero,bootstrap_probability_mean_below_zero
local_cfd_initial_velocity_minus_zero,final_dx_dp,100,-0.04767546287553233,0.013607579793273317,0.48993049357407037,10000,20260723,-0.9880395272920444,0.928101230798349,0.4568,0.5432
local_cfd_initial_velocity_minus_zero,final_dz_dp,100,0.04371268973205746,4.221969995832353e-14,0.11557277766378393,10000,20260723,-0.17982064501699424,0.26929306063968994,0.6562,0.3438
local_cfd_initial_velocity_minus_zero,reached_5dp,100,0.02,0.0,0.014070529413628968,10000,20260723,0.0,0.05,0.8714,0.0
local_cfd_initial_velocity_minus_zero,ever_contacted,100,-0.01,0.0,0.009999999999999998,10000,20260723,-0.03,0.0,0.0,0.6404
local_cfd_initial_velocity_minus_zero,sampled_contact_fraction,100,-0.006337887370876372,0.003165611462845691,0.01094965983873467,10000,20260723,-0.028190853048983677,0.01440519826724425,0.2888,0.7112
local_cfd_initial_velocity_minus_zero,maximum_contact_force_N,100,4.960831092326008e-06,5.645100094265901e-08,2.2757261171422e-05,10000,20260723,-4.097246558428607e-05,4.9230086612557026e-05,0.5938,0.4062
local_cfd_initial_velocity_minus_zero,bottom_wall_contact_sample_fraction,100,0.003978673775408195,0.0,0.0022314349943949275,10000,20260723,0.0003364711762745745,0.008867210929690098,0.9867,0.0133
local_cfd_initial_velocity_minus_zero,time_averaged_total_fluid_force_x_N,100,-8.603559116968152e-10,-2.581064833694993e-10,1.6317987100699168e-09,10000,20260723,-4.027151655738711e-09,2.3517386396416175e-09,0.2959,0.7041
local_cfd_initial_velocity_minus_zero,time_averaged_mechanical_contact_force_x_N,100,2.124158212744948e-11,-4.341172104473339e-10,1.6247242067230124e-09,10000,20260723,-3.164218657461762e-09,3.156341954848753e-09,0.5072,0.4928
local_cfd_initial_velocity_minus_zero,time_averaged_total_fluid_force_z_N,100,-1.838138587023166e-10,2.6996086942375994e-12,2.386288597655e-10,10000,20260723,-6.647583462679872e-10,2.7586896637935613e-10,0.2103,0.7897
local_cfd_initial_velocity_minus_zero,time_averaged_gravity_force_z_N,100,0.0,0.0,0.0,10000,20260723,0.0,0.0,0.0,0.0
local_cfd_initial_velocity_minus_zero,time_averaged_mechanical_contact_force_z_N,100,1.8318381575256835e-10,3.745915344585052e-12,2.392829530825742e-10,10000,20260723,-2.770942676055993e-10,6.628200208612509e-10,0.7872,0.2128
zero_gravity_minus_normal_gravity,final_dx_dp,100,-0.8772549706058835,0.5309760223285477,1.0621596806636968,10000,20260724,-2.961664811471205,1.178550073226085,0.1999,0.8001
zero_gravity_minus_normal_gravity,final_dz_dp,100,2.1492317271375665,2.1250872884391008,0.16928285389663747,10000,20260724,1.8174804741839055,2.474039510026527,1.0,0.0
zero_gravity_minus_normal_gravity,reached_5dp,100,0.09,0.0,0.035090071691478944,10000,20260724,0.02,0.16,0.9939,0.0021
zero_gravity_minus_normal_gravity,ever_contacted,100,-0.02,0.0,0.014070529413628966,10000,20260724,-0.05,0.0,0.0,0.8668
zero_gravity_minus_normal_gravity,sampled_contact_fraction,100,-0.03746751082972343,-0.022992335888037313,0.023758576580320854,10000,20260724,-0.08284488503832059,0.009134038653782062,0.0567,0.9433
zero_gravity_minus_normal_gravity,maximum_contact_force_N,100,-1.8679146099552705e-05,2.446376031319394e-06,2.079045747534918e-05,10000,20260724,-6.097350140315075e-05,2.0024665237810506e-05,0.178,0.822
zero_gravity_minus_normal_gravity,bottom_wall_contact_sample_fraction,100,-0.10298567144285237,0.0,0.0227425382665851,10000,20260724,-0.1497103465511496,-0.060932855714761744,0.0,1.0
zero_gravity_minus_normal_gravity,time_averaged_total_fluid_force_x_N,100,-9.940335569822325e-09,-1.770545648724355e-10,3.7088425287216954e-09,10000,20260724,-1.7231233293302852e-08,-2.848233512221497e-09,0.0026,0.9974
zero_gravity_minus_normal_gravity,time_averaged_mechanical_contact_force_x_N,100,9.988554835279599e-09,1.799333985815581e-10,3.702360183074202e-09,10000,20260724,2.9093531559229005e-09,1.7255440154038542e-08,0.9976,0.0024
zero_gravity_minus_normal_gravity,time_averaged_total_fluid_force_z_N,100,-4.15577019594624e-09,-3.470706782604183e-09,3.820367878841778e-10,10000,20260724,-4.887568042737443e-09,-3.4182428911634116e-09,0.0,1.0
zero_gravity_minus_normal_gravity,time_averaged_gravity_force_z_N,100,1.227624453280016e-08,1.2276244532800158e-08,1.6626955913301435e-25,10000,20260724,1.227624453280016e-08,1.227624453280016e-08,1.0,0.0
zero_gravity_minus_normal_gravity,time_averaged_mechanical_contact_force_z_N,100,-8.08950509323727e-09,-8.642955946923844e-09,3.828975318519618e-10,10000,20260724,-8.828628032514125e-09,-7.355849569085137e-09,0.0,1.0
