comparison,metric,particle_id,reference_value,modified_value,paired_difference
local_cfd_initial_velocity_minus_zero,final_dx_dp,10001,22.145930369496515,24.341353325049894,2.1954229555533793
local_cfd_initial_velocity_minus_zero,final_dx_dp,10002,2.38226216983215,2.382232035491587,-3.0134340562870676e-05
local_cfd_initial_velocity_minus_zero,final_dx_dp,10003,26.26232786913758,23.435426656382713,-2.8269012127548656
local_cfd_initial_velocity_minus_zero,final_dx_dp,10004,16.88142279011504,16.864930139556876,-0.01649265055816329
local_cfd_initial_velocity_minus_zero,final_dx_dp,10005,25.976567738372534,25.997714835619366,0.021147097246831947
local_cfd_initial_velocity_minus_zero,final_dx_dp,10006,22.30918981025433,22.437731154915138,0.1285413446608068
local_cfd_initial_velocity_minus_zero,final_dx_dp,10007,11.093571867043906,11.277796983875806,0.18422511683190024
local_cfd_initial_velocity_minus_zero,final_dx_dp,10008,1.9164850836065586,4.890750713565576,2.9742656299590173
local_cfd_initial_velocity_minus_zero,final_dx_dp,10009,30.713557539006434,23.94685140901813,-6.766706129988304
local_cfd_initial_velocity_minus_zero,final_dx_dp,10010,27.458599546094465,27.448236175698185,-0.010363370396280658
local_cfd_initial_velocity_minus_zero,final_dx_dp,10011,19.30782160222077,19.090267320379514,-0.21755428184125591
local_cfd_initial_velocity_minus_zero,final_dx_dp,10012,20.560696081842888,23.398334153753026,2.8376380719101384
local_cfd_initial_velocity_minus_zero,final_dx_dp,10013,1.6524983552382777,1.9966099658510899,0.34411161061281215
local_cfd_initial_velocity_minus_zero,final_dx_dp,10014,28.131901945143245,22.72212391328827,-5.409778031854973
local_cfd_initial_velocity_minus_zero,final_dx_dp,10015,29.13121643798759,25.419739467046917,-3.711476970940673
local_cfd_initial_velocity_minus_zero,final_dx_dp,10016,22.723841034171794,20.06358950784033,-2.6602515263314643
local_cfd_initial_velocity_minus_zero,final_dx_dp,10017,21.88921623202836,21.90097010977913,0.011753877750770414
local_cfd_initial_velocity_minus_zero,final_dx_dp,10018,15.531559994631037,24.068393762869313,8.536833768238276
local_cfd_initial_velocity_minus_zero,final_dx_dp,10019,25.665143907292926,19.729888637059076,-5.935255270233849
local_cfd_initial_velocity_minus_zero,final_dx_dp,10020,19.464654843388477,19.507317313143727,0.04266246975524979
local_cfd_initial_velocity_minus_zero,final_dx_dp,10021,15.675664520945448,15.675711626577185,4.710563173659921e-05
local_cfd_initial_velocity_minus_zero,final_dx_dp,10022,18.114384969193214,18.1148630013043,0.00047803211108643495
local_cfd_initial_velocity_minus_zero,final_dx_dp,10023,11.723049704868867,11.749650529302967,0.026600824434099835
local_cfd_initial_velocity_minus_zero,final_dx_dp,10024,23.795555471779387,18.66230489853148,-5.133250573247906
local_cfd_initial_velocity_minus_zero,final_dx_dp,10025,22.74605129329226,22.746152476117366,0.00010118282510518384
local_cfd_initial_velocity_minus_zero,final_dx_dp,10026,25.873963334459372,23.25611507634471,-2.6178482581146625
local_cfd_initial_velocity_minus_zero,final_dx_dp,10027,2.0740692280489026,2.077037967863162,0.002968739814259269
local_cfd_initial_velocity_minus_zero,final_dx_dp,10028,13.790501195591686,13.791007023216967,0.0005058276252807303
local_cfd_initial_velocity_minus_zero,final_dx_dp,10029,3.2979090542062486,3.454957491389511,0.15704843718326256
local_cfd_initial_velocity_minus_zero,final_dx_dp,10030,9.439269271907529,9.454428244038839,0.015158972131310122
local_cfd_initial_velocity_minus_zero,final_dx_dp,10031,20.73469181319714,21.797102781157115,1.0624109679599734
local_cfd_initial_velocity_minus_zero,final_dx_dp,10032,21.291720347093605,21.59622383306323,0.30450348596962584
local_cfd_initial_velocity_minus_zero,final_dx_dp,10033,10.519633819557775,10.51956950172616,-6.431783161531257e-05
local_cfd_initial_velocity_minus_zero,final_dx_dp,10034,29.895284642377305,30.171699826374223,0.27641518399691734
local_cfd_initial_velocity_minus_zero,final_dx_dp,10035,1.726069001922429,1.8031114121601706,0.07704241023774161
local_cfd_initial_velocity_minus_zero,final_dx_dp,10036,29.811922037208692,34.198360426333146,4.386438389124454
local_cfd_initial_velocity_minus_zero,final_dx_dp,10037,19.802254960600937,9.477218538831352,-10.325036421769585
local_cfd_initial_velocity_minus_zero,final_dx_dp,10038,20.667353205670825,18.40323071553969,-2.264122490131136
local_cfd_initial_velocity_minus_zero,final_dx_dp,10039,22.15845317737021,22.170509364825445,0.012056187455236511
local_cfd_initial_velocity_minus_zero,final_dx_dp,10040,24.88779207059481,24.944126728613682,0.05633465801887283
local_cfd_initial_velocity_minus_zero,final_dx_dp,10041,31.126865324815938,19.902887376475153,-11.223977948340785
local_cfd_initial_velocity_minus_zero,final_dx_dp,10042,23.773116017225625,23.029765459335206,-0.7433505578904196
local_cfd_initial_velocity_minus_zero,final_dx_dp,10043,19.735067532417574,22.64148712235224,2.9064195899346643
local_cfd_initial_velocity_minus_zero,final_dx_dp,10044,22.3153445118671,23.571822584228123,1.2564780723610234
local_cfd_initial_velocity_minus_zero,final_dx_dp,10045,35.34059150274537,35.686990615628595,0.3463991128832262
local_cfd_initial_velocity_minus_zero,final_dx_dp,10046,3.501734259022992,3.530433400060542,0.028699141037550113
local_cfd_initial_velocity_minus_zero,final_dx_dp,10047,38.79285441532658,26.603618076486825,-12.189236338839756
local_cfd_initial_velocity_minus_zero,final_dx_dp,10048,6.39880206461637,6.522772614799608,0.12397055018323844
local_cfd_initial_velocity_minus_zero,final_dx_dp,10049,0.4213301438304707,0.4213305466180032,4.027875324941199e-07
local_cfd_initial_velocity_minus_zero,final_dx_dp,10050,3.118068265910181,3.153874753144544,0.03580648723436308
local_cfd_initial_velocity_minus_zero,final_dx_dp,10051,20.595254033634724,24.266615486353484,3.6713614527187595
local_cfd_initial_velocity_minus_zero,final_dx_dp,10052,3.7729835854907243,3.339525147062934,-0.4334584384277904
local_cfd_initial_velocity_minus_zero,final_dx_dp,10053,1.0250570851782792,25.644406977340196,24.619349892161917
local_cfd_initial_velocity_minus_zero,final_dx_dp,10054,29.87088414432875,25.293907728412414,-4.576976415916334
local_cfd_initial_velocity_minus_zero,final_dx_dp,10055,3.5226539588292938,3.522639580325654,-1.4378503639722595e-05
local_cfd_initial_velocity_minus_zero,final_dx_dp,10056,2.9690502923933693,3.7545915434389148,0.7855412510455455
local_cfd_initial_velocity_minus_zero,final_dx_dp,10057,24.210552535778394,23.041309056383316,-1.1692434793950781
local_cfd_initial_velocity_minus_zero,final_dx_dp,10058,3.7118290588502867,3.3340128579026476,-0.3778162009476391
local_cfd_initial_velocity_minus_zero,final_dx_dp,10059,21.20419789389075,21.125929948817685,-0.07826794507306545
local_cfd_initial_velocity_minus_zero,final_dx_dp,10060,28.937728708321558,26.061090189039668,-2.87663851928189
local_cfd_initial_velocity_minus_zero,final_dx_dp,10061,25.60176388734158,26.58273336329076,0.9809694759491805
local_cfd_initial_velocity_minus_zero,final_dx_dp,10062,26.23393787512762,27.949603235781787,1.7156653606541674
local_cfd_initial_velocity_minus_zero,final_dx_dp,10063,7.57815892799695,7.578180502781596,2.157478464592799e-05
local_cfd_initial_velocity_minus_zero,final_dx_dp,10064,34.04349981602474,13.182776749174746,-20.860723066849996
local_cfd_initial_velocity_minus_zero,final_dx_dp,10065,22.20875110861149,22.02320583210196,-0.18554527650952934
local_cfd_initial_velocity_minus_zero,final_dx_dp,10066,21.906860610970377,25.78525722544217,3.878396614471793
local_cfd_initial_velocity_minus_zero,final_dx_dp,10067,23.631278708430617,21.555414126772064,-2.0758645816585535
local_cfd_initial_velocity_minus_zero,final_dx_dp,10068,11.723256710828828,15.866322783359351,4.143066072530523
local_cfd_initial_velocity_minus_zero,final_dx_dp,10069,3.78212796755233,4.582431718616888,0.8003037510645585
local_cfd_initial_velocity_minus_zero,final_dx_dp,10070,13.654227135872597,13.654282537893371,5.540202077369827e-05
local_cfd_initial_velocity_minus_zero,final_dx_dp,10071,15.85654678894003,25.16018062201213,9.303633833072102
local_cfd_initial_velocity_minus_zero,final_dx_dp,10072,12.933274552705189,12.842229998072652,-0.09104455463253736
local_cfd_initial_velocity_minus_zero,final_dx_dp,10073,10.704941043799163,10.78734239970973,0.08240135591056763
local_cfd_initial_velocity_minus_zero,final_dx_dp,10074,3.6769276508288162,3.6770446977626827,0.00011704693386649367
local_cfd_initial_velocity_minus_zero,final_dx_dp,10075,2.1100627250881554,2.1100634518866572,7.267985018266643e-07
local_cfd_initial_velocity_minus_zero,final_dx_dp,10076,31.316051422405913,34.46385482187775,3.14780339947184
local_cfd_initial_velocity_minus_zero,final_dx_dp,10077,0.7199303468032152,1.0922932884087606,0.3723629416055454
local_cfd_initial_velocity_minus_zero,final_dx_dp,10078,28.362282522281618,30.206573049479665,1.8442905271980479
local_cfd_initial_velocity_minus_zero,final_dx_dp,10079,20.63891360502877,25.509299380092337,4.870385775063568
local_cfd_initial_velocity_minus_zero,final_dx_dp,10080,23.303214015823468,23.80554841078255,0.5023343949590817
local_cfd_initial_velocity_minus_zero,final_dx_dp,10081,4.982320582676481,4.605874343963733,-0.37644623871274785
local_cfd_initial_velocity_minus_zero,final_dx_dp,10082,5.327339154863123,5.47420833166145,0.14686917679832767
local_cfd_initial_velocity_minus_zero,final_dx_dp,10083,21.630965378582076,21.595987917361153,-0.03497746122092238
