ix,iy,iz,resolved_x_center_m,unresolved_x_center_m,y_center_m,z_center_m,resolved_fluid_volume_m3,resolved_epsilon,unresolved_epsilon_raw,unresolved_epsilon_drag_used,resolved_ux_m_per_s,resolved_uy_m_per_s,resolved_uz_m_per_s,resolved_mean_umag_m_per_s,resolved_ux_std_within_bin_m_per_s,unresolved_ux_m_per_s,unresolved_uy_m_per_s,unresolved_uz_m_per_s,resolved_qx_m_per_s,unresolved_qx_m_per_s,resolved_p_m2_per_s2,unresolved_p_m2_per_s2
0,0,0,0.0034999999999999996,0.026250000000000002,0.00125,0.0013,6.834370787297593e-09,0.420576663833698,0.43668,0.43668,0.29393657139071977,7.0394936252017e-05,0.016814269400920557,0.3673794250400356,0.2585029459122016,0.358859,0.0118712,0.00128698,0.12362286257422453,0.15670654,118.44963014751227,143.544
0,0,1,0.0034999999999999996,0.026250000000000002,0.00125,0.0039,6.160296801173291e-09,0.37909518776451023,0.402236,0.402236,0.2935896870776754,-0.0032047001548881687,0.013315731443451835,0.37297780749723064,0.24461982100169122,0.250762,0.012121,0.018489,0.11129843754843516,0.1008655,116.13599486817888,143.39
0,0,2,0.0034999999999999996,0.026250000000000002,0.00125,0.0065,6.0524442696745855e-09,0.3724581089030514,0.386681,0.4,0.27618422754421407,-0.024837624643891967,0.06457413004904394,0.36519072467948405,0.24299363762187634,0.23032,-0.00217946,0.0153581,0.10286705509996802,0.089060366,108.41441309608534,140.347
0,0,3,0.0034999999999999996,0.026250000000000002,0.00125,0.0091,5.696594016204448e-09,0.35055963176642757,0.353349,0.4,0.20492441343749998,-0.014294601665515294,0.05717277008727139,0.2725933859426919,0.1915279418928225,0.219398,0.0033391,0.00947386,0.07183822691460115,0.077524066,98.54823356588996,140.353
0,0,4,0.0034999999999999996,0.026250000000000002,0.00125,0.011699999999999999,7.396150067039829e-09,0.4551476964332203,0.483346,0.483346,0.3777048096254275,0.005216984968630235,0.04733794383035731,0.4625817992734247,0.42278505282073436,0.545462,-0.00191832,0.0235031,0.17191147403276133,0.26364687,86.76751042125139,138.301
0,1,0,0.0034999999999999996,0.026250000000000002,0.00375,0.0013,6.036444123136518e-09,0.37147348450070883,0.366682,0.4,0.24608864906307235,0.01579657221425422,-0.006546583647964579,0.31231147485320015,0.2335330552397532,0.215648,0.00407178,0.00392292,0.09141540796353158,0.079074234,119.3358793991095,142.171
0,1,1,0.0034999999999999996,0.026250000000000002,0.00375,0.0039,5.784888789111984e-09,0.3559931562530452,0.346682,0.4,0.2414594594286801,0.00016794589008995508,0.019610581368751597,0.3136279124832543,0.22800419748575995,0.0905999,0.00415204,0.00284684,0.08595791506916994,0.031409357,116.20719966166156,141.369
0,1,2,0.0034999999999999996,0.026250000000000002,0.00375,0.0065,5.473184747108116e-09,0.3368113690528071,0.402236,0.402236,0.2125995042420051,0.007235596974271448,0.038865620218487676,0.28101074265033865,0.1898901114390844,0.188961,-0.00361807,0.00732934,0.07160593008369781,0.07600692,109.80655792163199,140.765
0,1,3,0.0034999999999999996,0.026250000000000002,0.00375,0.0091,5.759704015810438e-09,0.3544433240498731,0.378904,0.4,0.22655159103331557,-0.001600124038691714,0.07300394657281482,0.3040625607411464,0.21216257724210721,0.139169,0.00212253,0.00674309,0.0802996989946358,0.05273169,100.729645478815,139.653
0,1,4,0.0034999999999999996,0.026250000000000002,0.00375,0.011699999999999999,6.900742015855576e-09,0.4246610471295739,0.431125,0.431125,0.3539702283167321,-0.033441474070439785,0.05825369633552437,0.42715093225379275,0.35720426271119954,0.31506,-0.000186453,0.00768442,0.1503173678096778,0.13583024,86.95630106287693,138.463
0,2,0,0.0034999999999999996,0.026250000000000002,0.00625,0.0013,6.4260750310019575e-09,0.39545077113858207,0.438902,0.438902,0.29639020414841144,0.014930138334948256,-0.02674965888252707,0.37873432842867627,0.2451588464866828,0.306061,0.0110489,0.00947711,0.11720773478841107,0.13433078,114.64584814880695,142.747
0,2,1,0.0034999999999999996,0.026250000000000002,0.00625,0.0039,5.451852733214072e-09,0.33549862973625066,0.442235,0.442235,0.23044626668065393,0.0041831976909964515,0.02579696405747786,0.3052504055976469,0.21515020416885908,0.203084,4.29594e-05,0.00747268,0.077314406699194,0.089810856,112.83482637811717,141.414
0,2,2,0.0034999999999999996,0.026250000000000002,0.00625,0.0065,5.3134815985861745e-09,0.3269834829899185,0.357793,0.4,0.2222473234738197,-0.008043647601517627,0.04739811448129186,0.2904392541075953,0.21688990109433118,0.162324,-0.00238609,0.00635216,0.07267120391465663,0.05807839,108.17000840378746,141.163
0,2,3,0.0034999999999999996,0.026250000000000002,0.00625,0.0091,5.4660759053429094e-09,0.336373901867256,0.357793,0.4,0.19975867330282723,-0.0009569543094373405,0.06577152367239257,0.2693480468248807,0.17884281985807318,0.15152,-0.00107249,0.00917719,0.06719360437069846,0.054212794,97.83522932544689,139.655
0,2,4,0.0034999999999999996,0.026250000000000002,0.00625,0.011699999999999999,5.9807433650507076e-09,0.3680457455415821,0.361126,0.4,0.30458866193492173,-0.011788359205793892,0.04403735088357696,0.3765537140602948,0.3001410234160945,0.204047,-0.00658003,0.00552451,0.11210256116535118,0.073686674,86.1263031903978,138.325
0,3,0,0.0034999999999999996,0.026250000000000002,0.00875,0.0013,6.45066568684332e-09,0.3969640422672811,0.397792,0.4,0.26095476129322914,-0.0027786491047985815,0.00013808550574833327,0.340035715210312,0.22466171249629868,0.261283,0.00285962,-0.0039085,0.10358965689185366,0.10393629,113.37905584084936,140.679
0,3,1,0.0034999999999999996,0.026250000000000002,0.00875,0.0039,5.50725847161906e-09,0.3389082136380959,0.301128,0.4,0.22238081284420538,0.011651757809831773,-0.03767654173144347,0.29640144179900796,0.19925723943995574,0.117636,-0.000560736,-0.00177817,0.07536668402841738,0.035423495,115.32615821773236,141.361
0,3,2,0.0034999999999999996,0.026250000000000002,0.00875,0.0065,5.5531837040442514e-09,0.3417343817873385,0.351126,0.4,0.23227987550107843,0.02207271805658815,0.029235251653947098,0.30506225394500375,0.22129494724974103,0.181512,0.0026495,0.00544116,0.07937801965600098,0.06373358,108.34082556128409,141.4
0,3,3,0.0034999999999999996,0.026250000000000002,0.00875,0.0091,5.916147477754543e-09,0.3640706140156641,0.372237,0.4,0.19614869949300887,-0.012417566734152228,0.07020252340104038,0.27156250326350784,0.1914706636500038,0.1432,4.71763e-05,0.00432239,0.07141197746279372,0.053304337,95.87770732975054,139.973
0,3,4,0.0034999999999999996,0.026250000000000002,0.00875,0.011699999999999999,6.882963356998993e-09,0.42356697581532254,0.473346,0.473346,0.359586987241028,0.008765129264027744,0.07040977377796893,0.4347478850016603,0.41813281032300814,0.388596,-0.0045987,-6.03834e-05,0.1523091727282252,0.18394037,85.42072995930164,139.986
0,4,0,0.0034999999999999996,0.026250000000000002,0.01125,0.0013,6.0008889368220786e-09,0.36928547303520476,0.347793,0.4,0.2654086479627163,0.0075120863957245715,0.004717490834777269,0.32745388242845175,0.2368525836343686,0.212686,-0.0116404,0.0029888,0.09801155811054582,0.073970705,113.62602190923883,142.268
0,4,1,0.0034999999999999996,0.026250000000000002,0.01125,0.0039,5.697185502354782e-09,0.3505960309141404,0.353349,0.4,0.25241486596991924,0.028896756484511517,-7.207295567555806e-05,0.32509789492066615,0.216463933582739,0.115757,-0.00241788,0.00443577,0.08849565015277841,0.040902622,112.20880221229025,141.632
