timestep,time_s,retained_count,retained_fraction,cumulative_outlet_count,cumulative_breakthrough_fraction,new_outlet_count,z_mean_m,z_p10_m,z_p50_m,z_p90_m,downward_velocity_mean_m_s
4300000,4.3,4104,1.0,0,0.0,0,0.011588207680311892,0.01044203,0.0118574,0.0123373,0.00024345894719069198
4400000,4.3999999999999995,4104,1.0,0,0.0,0,0.0115767101084308,0.0104421,0.011855850000000001,0.012331819999999999,0.00011892360669339669
4500000,4.5,4104,1.0,0,0.0,0,0.011577453934210526,0.0104421,0.01185595,0.01233056,0.0004889602405683625
4600000,4.6,4104,1.0,0,0.0,0,0.011565704564083823,0.01044203,0.01185735,0.01233055,0.00019286641840272908
4700000,4.7,4104,1.0,0,0.0,0,0.011560703916910331,0.0104421,0.0118572,0.01233058,0.00023126204494059452
4800000,4.8,4104,1.0,0,0.0,0,0.01157558385794347,0.01044365,0.011857550000000001,0.01233224,-0.0016645917457138134
4900000,4.8999999999999995,4104,1.0,0,0.0,0,0.01164357747831384,0.01044203,0.011859350000000001,0.01234433,0.0014479786660213207
5000000,5.0,4104,1.0,0,0.0,0,0.011596219818713449,0.01044203,0.01185875,0.01234162,-0.000923137078333577
5100000,5.1,4104,1.0,0,0.0,0,0.011589269364522417,0.0104421,0.0118593,0.01233561,0.00020643946679944436
5200000,5.2,4104,1.0,0,0.0,0,0.011582864069931772,0.0104421,0.0118579,0.01233497,-0.0001270811739024124
5300000,5.3,4104,1.0,0,0.0,0,0.011586129711988306,0.0104421,0.0118575,0.01234008,-0.000260964600502841
5400000,5.3999999999999995,4104,1.0,0,0.0,0,0.011591181987329436,0.0104421,0.0118569,0.01234031,0.0003277223680007797
5500000,5.5,4104,1.0,0,0.0,0,0.011569795010721248,0.01044203,0.01185615,0.01233772,0.0005449064574750244
5600000,5.6,4104,1.0,0,0.0,0,0.011559449464424951,0.010441259999999999,0.011856,0.0123359,0.00018073970849898639
5700000,5.7,4104,1.0,0,0.0,0,0.011583880012183237,0.01044133,0.011856,0.01234012,-0.001672096949442154
