particle_id,initial_z_m,retained_at_final_time,outlet_interval_start_s,outlet_interval_end_s,outlet_time_midpoint_s
2001,0.0179909,True,nan,nan,nan
2002,0.0213737,True,nan,nan,nan
2003,0.0188286,True,nan,nan,nan
2004,0.0278386,True,nan,nan,nan
2005,0.0153907,True,nan,nan,nan
2006,0.0258914,True,nan,nan,nan
2007,0.0222197,True,nan,nan,nan
2008,0.020652,True,nan,nan,nan
2009,0.0284912,True,nan,nan,nan
2010,0.0166304,True,nan,nan,nan
2011,0.0233399,True,nan,nan,nan
2012,0.0248754,True,nan,nan,nan
2013,0.0220765,True,nan,nan,nan
2014,0.0284802,True,nan,nan,nan
2015,0.0169637,True,nan,nan,nan
2016,0.0205643,True,nan,nan,nan
2017,0.0196524,True,nan,nan,nan
2018,0.0282946,True,nan,nan,nan
2019,0.0208092,True,nan,nan,nan
2020,0.0154878,True,nan,nan,nan
2021,0.0290958,True,nan,nan,nan
2022,0.024805,True,nan,nan,nan
2023,0.027783,True,nan,nan,nan
2024,0.0283228,True,nan,nan,nan
2025,0.0181287,True,nan,nan,nan
2026,0.0263349,True,nan,nan,nan
2027,0.0274388,True,nan,nan,nan
2028,0.0165865,True,nan,nan,nan
2029,0.0164567,True,nan,nan,nan
2030,0.0175709,True,nan,nan,nan
2031,0.027909,True,nan,nan,nan
2032,0.0160434,True,nan,nan,nan
2033,0.0283083,True,nan,nan,nan
2034,0.0263914,True,nan,nan,nan
2035,0.0201681,True,nan,nan,nan
2036,0.0163849,True,nan,nan,nan
2037,0.023124,True,nan,nan,nan
2038,0.0151934,True,nan,nan,nan
2039,0.0248316,True,nan,nan,nan
2040,0.0206816,True,nan,nan,nan
2041,0.0173489,True,nan,nan,nan
2042,0.0271525,True,nan,nan,nan
2043,0.0228887,True,nan,nan,nan
2044,0.0174706,True,nan,nan,nan
2045,0.0233151,True,nan,nan,nan
2046,0.0222615,True,nan,nan,nan
2047,0.0272365,True,nan,nan,nan
2048,0.0200523,True,nan,nan,nan
2049,0.0156197,True,nan,nan,nan
2050,0.0157739,True,nan,nan,nan
2051,0.028739,True,nan,nan,nan
2052,0.0156813,True,nan,nan,nan
2053,0.0284862,True,nan,nan,nan
2054,0.0166121,True,nan,nan,nan
2055,0.027741,True,nan,nan,nan
2056,0.0165502,True,nan,nan,nan
2057,0.020926,True,nan,nan,nan
2058,0.0286676,True,nan,nan,nan
2059,0.0281713,True,nan,nan,nan
2060,0.0224574,True,nan,nan,nan
2061,0.0233524,True,nan,nan,nan
2062,0.015297,True,nan,nan,nan
2063,0.0220746,True,nan,nan,nan
2064,0.016857,True,nan,nan,nan
2065,0.0242882,True,nan,nan,nan
2066,0.0257254,True,nan,nan,nan
2067,0.017368,True,nan,nan,nan
2068,0.0254612,True,nan,nan,nan
2069,0.022142,True,nan,nan,nan
2070,0.022605,True,nan,nan,nan
2071,0.0167399,True,nan,nan,nan
2072,0.0243861,True,nan,nan,nan
2073,0.0207267,True,nan,nan,nan
2074,0.0250766,True,nan,nan,nan
2075,0.0197789,True,nan,nan,nan
2076,0.0242159,True,nan,nan,nan
2077,0.0248532,True,nan,nan,nan
2078,0.0237992,True,nan,nan,nan
2079,0.0248432,True,nan,nan,nan
2080,0.0282546,True,nan,nan,nan
2081,0.0276092,True,nan,nan,nan
2082,0.0251789,True,nan,nan,nan
2083,0.020954,True,nan,nan,nan
2084,0.0208103,True,nan,nan,nan
2085,0.0297372,True,nan,nan,nan
2086,0.0154939,True,nan,nan,nan
2087,0.0186087,True,nan,nan,nan
2088,0.0248046,True,nan,nan,nan
2089,0.0151835,True,nan,nan,nan
2090,0.0198326,True,nan,nan,nan
2091,0.0156638,True,nan,nan,nan
2092,0.0249349,True,nan,nan,nan
2093,0.021119,True,nan,nan,nan
2094,0.0172996,True,nan,nan,nan
2095,0.0256381,True,nan,nan,nan
2096,0.0252334,True,nan,nan,nan
2097,0.020914,True,nan,nan,nan
2098,0.0271019,True,nan,nan,nan
2099,0.0264772,True,nan,nan,nan
2100,0.0215592,True,nan,nan,nan
2101,0.019064,True,nan,nan,nan
2102,0.0179507,True,nan,nan,nan
