gas_velocity_m_s,df_over_dp,release_count,total_particle_count,observed_passage_count,observed_passage_fraction,censor_time_s,distance_m,fractional_fit_available,fractional_alpha,fractional_alpha_at_search_boundary,release_fractional_fit_count,release_fractional_alpha_min,release_fractional_alpha_max,classical_cdf_rmse,fractional_cdf_rmse,fractional_residual_bic_improvement,cross_validation_fold_count,cross_validation_classical_rmse_mean,cross_validation_fractional_rmse_mean,cross_validation_fractional_rmse_improvement,cross_validation_fractional_win_count,fractional_velocity_m_s_alpha,fractional_dispersion_m2_s_alpha
0.1,0.05,3,300,244,0.8133333333333334,0.30000000000000004,0.005,True,0.8431288896146425,False,3,0.7891634789907592,0.8880428525268843,0.14052481798287086,0.07749654602925633,126.23268367071347,3,0.15114034980249647,0.08693956566043004,0.06420078414206642,3,0.053196570988010394,4.010135579212781e-06
0.1,0.1,3,300,240,0.8,0.30000000000000004,0.005,True,0.8327823363075744,False,3,0.8067212984154928,0.858417212085796,0.13099236319334143,0.06700337779816504,142.78663792913312,3,0.13385273270432999,0.07472509953414867,0.059127633170181305,3,0.0386494710128664,2.9046156954742503e-06
0.2,0.05,3,300,241,0.8033333333333333,0.30000000000000004,0.005,True,0.8314883925356424,False,3,0.7848883556985513,0.8621321510328912,0.15191590011090383,0.10965511443253398,67.01665126404902,3,0.1656211303219819,0.11737846577175283,0.048242664550229054,2,0.08222718461038979,6.167080419644989e-06
0.2,0.1,3,300,265,0.8833333333333333,0.30000000000000004,0.005,True,0.8168751517991575,False,3,0.77207842955173,0.8907084528668813,0.12905681140311245,0.06214292657440848,156.07897507881307,3,0.13429335799104544,0.08525257826433734,0.049040779726708124,3,0.05380932563107338,4.045612721811949e-06
