x_min,x_max,x_center,debris_count
0.0,0.00225,0.001125,3444
0.00225,0.0045,0.0033749999999999995,2443
0.0045,0.006749999999999999,0.005625,68
0.006749999999999999,0.009,0.007875,3
0.009,0.01125,0.010124999999999999,0
0.01125,0.013499999999999998,0.012374999999999999,0
0.013499999999999998,0.01575,0.014624999999999999,0
0.01575,0.018,0.016875,0
0.018,0.020249999999999997,0.019124999999999996,0
0.020249999999999997,0.0225,0.021374999999999998,0
0.0225,0.024749999999999998,0.023625,0
0.024749999999999998,0.026999999999999996,0.025874999999999995,0
0.026999999999999996,0.029249999999999998,0.028124999999999997,0
0.029249999999999998,0.0315,0.030375,0
0.0315,0.033749999999999995,0.032625,0
0.033749999999999995,0.036,0.034874999999999996,0
0.036,0.03825,0.037125,0
0.03825,0.040499999999999994,0.03937499999999999,0
0.040499999999999994,0.042749999999999996,0.041624999999999995,0
0.042749999999999996,0.045,0.043875,0
