BTC,time,debris_total_number,case_label,elapsed_time
0.0,0.12069,3000,N=3000,0.0
0.0,0.1215,3000,N=3000,0.0008099999999999913
0.0,0.12231,3000,N=3000,0.0016199999999999964
0.0,0.12312000000000001,3000,N=3000,0.0024300000000000016
0.0,0.12393,3000,N=3000,0.003239999999999993
0.0,0.12474,3000,N=3000,0.004049999999999998
0.0,0.12555,3000,N=3000,0.004859999999999989
0.0,0.12636,3000,N=3000,0.0056699999999999945
0.0,0.12717,3000,N=3000,0.00648
0.0,0.12798,3000,N=3000,0.007290000000000005
0.0,0.12879000000000002,3000,N=3000,0.00810000000000001
0.0,0.1296,3000,N=3000,0.008909999999999987
0.0,0.13041,3000,N=3000,0.009719999999999993
0.0,0.13122,3000,N=3000,0.010529999999999998
0.0,0.13203,3000,N=3000,0.011340000000000003
0.0,0.13284,3000,N=3000,0.012150000000000008
0.0,0.13365,3000,N=3000,0.012959999999999985
0.0,0.13446,3000,N=3000,0.01376999999999999
0.0,0.13527,3000,N=3000,0.014579999999999996
0.0,0.13608,3000,N=3000,0.015390000000000001
0.0,0.13689,3000,N=3000,0.016200000000000006
0.0,0.1377,3000,N=3000,0.017009999999999983
0.0,0.13851,3000,N=3000,0.01781999999999999
0.0,0.13932,3000,N=3000,0.018629999999999994
0.0,0.14013,3000,N=3000,0.01944
0.0,0.14094,3000,N=3000,0.020250000000000004
0.0,0.14175000000000001,3000,N=3000,0.02106000000000001
0.0,0.14256,3000,N=3000,0.021869999999999987
0.0,0.14337,3000,N=3000,0.022679999999999992
0.0,0.14418,3000,N=3000,0.023489999999999997
0.0,0.14499,3000,N=3000,0.024300000000000002
0.0,0.1458,3000,N=3000,0.025110000000000007
0.0,0.14661,3000,N=3000,0.025919999999999985
0.0,0.14742,3000,N=3000,0.02672999999999999
0.0,0.14823,3000,N=3000,0.027539999999999995
0.0,0.14904,3000,N=3000,0.02835
0.0,0.14985,3000,N=3000,0.029160000000000005
0.0,0.15066000000000002,3000,N=3000,0.02997000000000001
0.0,0.15147,3000,N=3000,0.030779999999999988
0.0003333333333333333,0.15228,3000,N=3000,0.03158999999999999
0.0006666666666666666,0.15309,3000,N=3000,0.0324
0.001,0.1539,3000,N=3000,0.03321
0.0023333333333333335,0.15471000000000001,3000,N=3000,0.03402000000000001
0.0036666666666666666,0.15552,3000,N=3000,0.034829999999999986
0.005,0.15633,3000,N=3000,0.03563999999999999
0.008,0.15714,3000,N=3000,0.036449999999999996
0.010333333333333333,0.15795,3000,N=3000,0.03726
0.012333333333333333,0.15876,3000,N=3000,0.03807000000000001
0.016,0.15957,3000,N=3000,0.038879999999999984
0.018333333333333333,0.16038,3000,N=3000,0.03968999999999999
0.0,0.12069,6000,N=6000,0.0
0.0,0.1215,6000,N=6000,0.0008099999999999913
0.0,0.12231,6000,N=6000,0.0016199999999999964
0.0,0.12312000000000001,6000,N=6000,0.0024300000000000016
0.0,0.12393,6000,N=6000,0.003239999999999993
0.0,0.12474,6000,N=6000,0.004049999999999998
0.0,0.12555,6000,N=6000,0.004859999999999989
0.0,0.12636,6000,N=6000,0.0056699999999999945
0.0,0.12717,6000,N=6000,0.00648
0.0,0.12798,6000,N=6000,0.007290000000000005
0.0,0.12879000000000002,6000,N=6000,0.00810000000000001
0.0,0.1296,6000,N=6000,0.008909999999999987
0.0,0.13041,6000,N=6000,0.009719999999999993
0.0,0.13122,6000,N=6000,0.010529999999999998
0.0,0.13203,6000,N=6000,0.011340000000000003
0.0,0.13284,6000,N=6000,0.012150000000000008
0.0,0.13365,6000,N=6000,0.012959999999999985
0.0,0.13446,6000,N=6000,0.01376999999999999
0.0,0.13527,6000,N=6000,0.014579999999999996
0.0,0.13608,6000,N=6000,0.015390000000000001
0.0,0.13689,6000,N=6000,0.016200000000000006
0.0,0.1377,6000,N=6000,0.017009999999999983
0.0,0.13851,6000,N=6000,0.01781999999999999
0.0,0.13932,6000,N=6000,0.018629999999999994
0.0,0.14013,6000,N=6000,0.01944
0.0,0.14094,6000,N=6000,0.020250000000000004
0.0,0.14175000000000001,6000,N=6000,0.02106000000000001
0.0,0.14256,6000,N=6000,0.021869999999999987
0.0,0.14337,6000,N=6000,0.022679999999999992
0.0,0.14418,6000,N=6000,0.023489999999999997
0.0,0.14499,6000,N=6000,0.024300000000000002
0.0,0.1458,6000,N=6000,0.025110000000000007
0.0,0.14661,6000,N=6000,0.025919999999999985
0.0,0.14742,6000,N=6000,0.02672999999999999
0.0,0.14823,6000,N=6000,0.027539999999999995
0.0,0.14904,6000,N=6000,0.02835
0.0,0.14985,6000,N=6000,0.029160000000000005
0.0,0.15066000000000002,6000,N=6000,0.02997000000000001
0.0,0.15147,6000,N=6000,0.030779999999999988
0.0003333333333333333,0.15228,6000,N=6000,0.03158999999999999
0.0006666666666666666,0.15309,6000,N=6000,0.0324
0.0008333333333333334,0.1539,6000,N=6000,0.03321
0.0011666666666666668,0.15471000000000001,6000,N=6000,0.03402000000000001
0.0021666666666666666,0.15552,6000,N=6000,0.034829999999999986
0.0026666666666666666,0.15633,6000,N=6000,0.03563999999999999
0.0045,0.15714,6000,N=6000,0.036449999999999996
0.007166666666666667,0.15795,6000,N=6000,0.03726
0.009166666666666667,0.15876,6000,N=6000,0.03807000000000001
0.011833333333333333,0.15957,6000,N=6000,0.038879999999999984
0.014166666666666666,0.16038,6000,N=6000,0.03968999999999999
0.0,0.12069,10000,N=10000,0.0
0.0,0.1215,10000,N=10000,0.0008099999999999913
0.0,0.12231,10000,N=10000,0.0016199999999999964
0.0,0.12312000000000001,10000,N=10000,0.0024300000000000016
0.0,0.12393,10000,N=10000,0.003239999999999993
0.0,0.12474,10000,N=10000,0.004049999999999998
0.0,0.12555,10000,N=10000,0.004859999999999989
0.0,0.12636,10000,N=10000,0.0056699999999999945
0.0,0.12717,10000,N=10000,0.00648
0.0,0.12798,10000,N=10000,0.007290000000000005
0.0,0.12879000000000002,10000,N=10000,0.00810000000000001
0.0,0.1296,10000,N=10000,0.008909999999999987
0.0,0.13041,10000,N=10000,0.009719999999999993
0.0,0.13122,10000,N=10000,0.010529999999999998
0.0,0.13203,10000,N=10000,0.011340000000000003
0.0,0.13284,10000,N=10000,0.012150000000000008
0.0,0.13365,10000,N=10000,0.012959999999999985
0.0,0.13446,10000,N=10000,0.01376999999999999
0.0,0.13527,10000,N=10000,0.014579999999999996
0.0,0.13608,10000,N=10000,0.015390000000000001
0.0,0.13689,10000,N=10000,0.016200000000000006
0.0,0.1377,10000,N=10000,0.017009999999999983
0.0,0.13851,10000,N=10000,0.01781999999999999
0.0,0.13932,10000,N=10000,0.018629999999999994
0.0,0.14013,10000,N=10000,0.01944
0.0,0.14094,10000,N=10000,0.020250000000000004
0.0,0.14175000000000001,10000,N=10000,0.02106000000000001
0.0,0.14256,10000,N=10000,0.021869999999999987
0.0,0.14337,10000,N=10000,0.022679999999999992
0.0,0.14418,10000,N=10000,0.023489999999999997
0.0,0.14499,10000,N=10000,0.024300000000000002
0.0,0.1458,10000,N=10000,0.025110000000000007
0.0,0.14661,10000,N=10000,0.025919999999999985
0.0,0.14742,10000,N=10000,0.02672999999999999
0.0,0.14823,10000,N=10000,0.027539999999999995
0.0,0.14904,10000,N=10000,0.02835
0.0,0.14985,10000,N=10000,0.029160000000000005
0.0,0.15066000000000002,10000,N=10000,0.02997000000000001
0.0,0.15147,10000,N=10000,0.030779999999999988
0.0002,0.15228,10000,N=10000,0.03158999999999999
0.0004,0.15309,10000,N=10000,0.0324
0.0006,0.1539,10000,N=10000,0.03321
0.001,0.15471000000000001,10000,N=10000,0.03402000000000001
0.0019,0.15552,10000,N=10000,0.034829999999999986
0.0029,0.15633,10000,N=10000,0.03563999999999999
0.0042,0.15714,10000,N=10000,0.036449999999999996
0.0059,0.15795,10000,N=10000,0.03726
0.0087,0.15876,10000,N=10000,0.03807000000000001
0.0114,0.15957,10000,N=10000,0.038879999999999984
0.0156,0.16038,10000,N=10000,0.03968999999999999
