particle_id,probe_index,time_s,magnitude_ratio,reversed,ever_contacted,sampled_contact_fraction,voidfraction_clipped
10001,10000,0.0131,0.9954514685493344,FALSE,TRUE,0.505831389536821,FALSE
10001,10000,0.0414,0.3673393224741656,TRUE,TRUE,0.505831389536821,FALSE
10001,10000,0.0018,84.87586776673575,FALSE,TRUE,0.505831389536821,FALSE
10001,10000,0.0112,61.759369293261905,FALSE,TRUE,0.505831389536821,FALSE
10001,10000,0.0389,34.43788242778816,FALSE,TRUE,0.505831389536821,FALSE
10001,10000,1e-4,9.72793510715784,FALSE,TRUE,0.505831389536821,FALSE
10001,10000,0.0193,12.339144945164488,FALSE,TRUE,0.505831389536821,FALSE
10001,10000,0.043,0.9922508911996499,TRUE,TRUE,0.505831389536821,FALSE
10001,10000,0.0785,0.45979622383659985,FALSE,TRUE,0.505831389536821,TRUE
10001,10000,0.0929,0.46505867177171506,FALSE,TRUE,0.505831389536821,TRUE
10001,10000,0.006,42.29731626675464,FALSE,TRUE,0.505831389536821,TRUE
10001,10000,0.06950000000001,36.65068609191326,FALSE,TRUE,0.505831389536821,TRUE
10001,10000,0.0928,17.959948737501485,FALSE,TRUE,0.505831389536821,TRUE
10001,10000,0.0431,1.0583400990410545,TRUE,TRUE,0.505831389536821,TRUE
10001,10000,0.0724,0.6602036474335321,FALSE,TRUE,0.505831389536821,TRUE
10001,10000,0.097,1.5581395926345178,TRUE,TRUE,0.505831389536821,TRUE
10002,10001,1e-4,1.7600438229383597,FALSE,TRUE,0.3288903698767078,FALSE
10002,10001,0.0834,0.38298420324979426,TRUE,TRUE,0.3288903698767078,FALSE
10002,10001,0.0125,12.88004811890918,TRUE,TRUE,0.3288903698767078,FALSE
10002,10001,0.047,17.297459441622692,TRUE,TRUE,0.3288903698767078,FALSE
10002,10001,0.092,12.151038674824685,TRUE,TRUE,0.3288903698767078,FALSE
10002,10001,9e-4,2.097127670354529,FALSE,TRUE,0.3288903698767078,FALSE
10002,10001,0.0918,8.283347060457919,TRUE,TRUE,0.3288903698767078,FALSE
10002,10001,0.06980000000001,2.00212956080322,FALSE,TRUE,0.3288903698767078,TRUE
10002,10001,0.05190000000001,15.866886844544627,FALSE,TRUE,0.3288903698767078,TRUE
10002,10001,0.06060000000001,20.158569468589175,FALSE,TRUE,0.3288903698767078,TRUE
10002,10001,0.0734,94.33934505797545,FALSE,TRUE,0.3288903698767078,TRUE
10002,10001,0.05350000000001,1.8308776347343456,FALSE,TRUE,0.3288903698767078,TRUE
10002,10001,0.06300000000001,4.460001000614019,TRUE,TRUE,0.3288903698767078,TRUE
10002,10001,0.0726,28.44828300651259,FALSE,TRUE,0.3288903698767078,TRUE
10003,10002,0.0021,20.64433119914157,FALSE,TRUE,0.8897034321892703,FALSE
10003,10002,0.0037,3.6792161757200885,FALSE,TRUE,0.8897034321892703,FALSE
10003,10002,0.0053,17.60435034343899,TRUE,TRUE,0.8897034321892703,FALSE
10003,10002,1e-4,5.224872181599961,FALSE,TRUE,0.8897034321892703,FALSE
10003,10002,0.007,0.18056319981287514,FALSE,TRUE,0.8897034321892703,FALSE
10003,10002,0.0272,0.37246015384577746,FALSE,TRUE,0.8897034321892703,TRUE
10003,10002,0.0389,41.701955702815305,FALSE,TRUE,0.8897034321892703,TRUE
10003,10002,0.06250000000001,27.74734412434766,TRUE,TRUE,0.8897034321892703,TRUE
10003,10002,0.0108,2.0427057922801914,TRUE,TRUE,0.8897034321892703,TRUE
10003,10002,0.035,0.8285230340160143,FALSE,TRUE,0.8897034321892703,TRUE
10004,10003,1e-4,2.1535769817722548,FALSE,TRUE,0.38745847176079734,FALSE
10004,10003,0.0223,0.5081602721218947,FALSE,TRUE,0.38745847176079734,FALSE
10004,10003,0.0495,1.3074486873285505,TRUE,TRUE,0.38745847176079734,FALSE
10004,10003,0.0065,75.03669862040496,FALSE,TRUE,0.38745847176079734,FALSE
10004,10003,0.0479,34.91996067000255,TRUE,TRUE,0.38745847176079734,FALSE
10004,10003,0.0488,40.343807670848996,FALSE,TRUE,0.38745847176079734,FALSE
10004,10003,0.0046,1.1453110340091308,FALSE,TRUE,0.38745847176079734,FALSE
10004,10003,0.0258,18.93834980638751,TRUE,TRUE,0.38745847176079734,FALSE
10004,10003,0.0504,8.045550274018265,FALSE,TRUE,0.38745847176079734,FALSE
10005,10004,1e-4,2.162197776545539,FALSE,TRUE,0.2962345884705098,FALSE
10005,10004,0.0213,0.10321298986834873,FALSE,TRUE,0.2962345884705098,FALSE
10005,10004,0.0024,44.19508575957922,FALSE,TRUE,0.2962345884705098,FALSE
10005,10004,0.0887,58.19196569719972,FALSE,TRUE,0.2962345884705098,FALSE
10005,10004,0.1303,133.5170995595301,TRUE,TRUE,0.2962345884705098,FALSE
10005,10004,4e-4,2.894843352027227,FALSE,TRUE,0.2962345884705098,FALSE
10005,10004,0.1168,28.273712322956865,FALSE,TRUE,0.2962345884705098,FALSE
10006,10005,1e-4,0.7678172268954285,FALSE,TRUE,0.4500205676676265,FALSE
10006,10005,0.0089,0.4669426575329936,FALSE,TRUE,0.4500205676676265,FALSE
10006,10005,0.0246,1.2974046388906393,TRUE,TRUE,0.4500205676676265,FALSE
10006,10005,0.0165,20.20877529322525,FALSE,TRUE,0.4500205676676265,FALSE
10006,10005,0.0183,27.652785238572033,FALSE,TRUE,0.4500205676676265,FALSE
10006,10005,0.0229,29.047433296455477,TRUE,TRUE,0.4500205676676265,FALSE
10006,10005,8e-4,2.155591041671374,FALSE,TRUE,0.4500205676676265,FALSE
10006,10005,0.0119,5.835638848638464,TRUE,TRUE,0.4500205676676265,FALSE
10006,10005,0.0259,4.29500090702188,TRUE,TRUE,0.4500205676676265,FALSE
10007,10006,1e-4,1.3754304624834808,FALSE,TRUE,0.7187604131956015,FALSE
10007,10006,0.0464,0.7944738178721201,TRUE,TRUE,0.7187604131956015,FALSE
10007,10006,0.014,21.666070013313803,TRUE,TRUE,0.7187604131956015,FALSE
10007,10006,0.0256,28.709594391307135,TRUE,TRUE,0.7187604131956015,FALSE
10007,10006,0.0508,35.150930901661084,TRUE,TRUE,0.7187604131956015,FALSE
10007,10006,0.0077,1.1423622108452791,TRUE,TRUE,0.7187604131956015,FALSE
10007,10006,0.0316,2.6444400983568555,TRUE,TRUE,0.7187604131956015,FALSE
10007,10006,0.0493,17.25184927305747,FALSE,TRUE,0.7187604131956015,FALSE
10008,10007,0.05400000000001,13.88098934859262,TRUE,TRUE,0.7504165278240587,FALSE
10008,10007,0.05580000000001,14.980275237920234,TRUE,TRUE,0.7504165278240587,FALSE
10008,10007,0.05780000000001,29.36235615201383,TRUE,TRUE,0.7504165278240587,FALSE
10008,10007,0.05770000000001,22.02114909029734,TRUE,TRUE,0.7504165278240587,FALSE
10008,10007,0.05790000000001,2.9256301187116622,TRUE,TRUE,0.7504165278240587,FALSE
10008,10007,0.05800000000001,3.6371752439898577,TRUE,TRUE,0.7504165278240587,FALSE
10008,10007,1e-4,5.742124715381366,FALSE,TRUE,0.7504165278240587,TRUE
10008,10007,0.0017,65.16538411337449,FALSE,TRUE,0.7504165278240587,TRUE
10008,10007,0.0357,63.78645001205431,TRUE,TRUE,0.7504165278240587,TRUE
10008,10007,0.05390000000001,15.45548852267351,TRUE,TRUE,0.7504165278240587,TRUE
10008,10007,2e-4,6.993192481169308,FALSE,TRUE,0.7504165278240587,TRUE
10008,10007,0.0195,1.6257568317776292,TRUE,TRUE,0.7504165278240587,TRUE
10008,10007,0.05850000000001,15.665434522452037,TRUE,TRUE,0.7504165278240587,TRUE
10009,10008,0.0229,5.614092149149451,FALSE,TRUE,0.06431189603465512,FALSE
10009,10008,0.1615,2903.042869326479,TRUE,TRUE,0.06431189603465512,FALSE
10009,10008,0.3000000000002,10905.669952509248,FALSE,TRUE,0.06431189603465512,FALSE
10009,10008,1e-4,5.784330625330065,FALSE,TRUE,0.06431189603465512,FALSE
10009,10008,0.0115,5.519335724010857,TRUE,TRUE,0.06431189603465512,FALSE
10009,10008,0.0228,2.1123738405541292,FALSE,TRUE,0.06431189603465512,FALSE
10010,10009,0.0018,97.36901399271188,FALSE,TRUE,0.1709430189936688,FALSE
10010,10009,0.09889999999999,1.3053918503886257,FALSE,TRUE,0.1709430189936688,FALSE
10010,10009,0.1699,80.41550332302894,FALSE,TRUE,0.1709430189936688,FALSE
10010,10009,1e-4,24.74015675759323,FALSE,TRUE,0.1709430189936688,FALSE
10010,10009,0.0258,2.7542177187999988,TRUE,TRUE,0.1709430189936688,FALSE
10010,10009,0.0783,1.2055362876288476,FALSE,TRUE,0.1709430189936688,FALSE
10010,10009,0.17,80.44642014265544,FALSE,TRUE,0.1709430189936688,TRUE
10010,10009,0.2350000000001,15.726037065504176,FALSE,TRUE,0.1709430189936688,TRUE
10010,10009,0.3000000000002,17.11830774483795,FALSE,TRUE,0.1709430189936688,TRUE
10011,10010,1e-4,3.947449993637112,FALSE,TRUE,0.7620793068977008,FALSE
10011,10010,0.0415,0.7168566398534406,TRUE,TRUE,0.7620793068977008,FALSE
10011,10010,0.0097,18.058852938209753,FALSE,TRUE,0.7620793068977008,FALSE
10011,10010,0.0318,50.05880285029076,FALSE,TRUE,0.7620793068977008,FALSE
10011,10010,0.05620000000001,31.645107959280296,TRUE,TRUE,0.7620793068977008,FALSE
10011,10010,7e-4,5.298886441470798,FALSE,TRUE,0.7620793068977008,FALSE
10011,10010,0.05470000000001,20.19761840773726,TRUE,TRUE,0.7620793068977008,FALSE
10012,10011,0.0012,0.3332713666115522,FALSE,TRUE,0.830056647784072,FALSE
10012,10011,1e-4,1.0697992943925048,FALSE,TRUE,0.830056647784072,FALSE
10012,10011,0.0028,0.2072273658019958,FALSE,TRUE,0.830056647784072,FALSE
10012,10011,0.0054,1.4270551426454323,TRUE,TRUE,0.830056647784072,FALSE
10012,10011,0.0284,0.2763314090300013,FALSE,TRUE,0.830056647784072,TRUE
10012,10011,0.06620000000001,0.3524339967568446,TRUE,TRUE,0.830056647784072,TRUE
10012,10011,0.0076,13.551469946423932,FALSE,TRUE,0.830056647784072,TRUE
10012,10011,0.0441,7.8917001530333,FALSE,TRUE,0.830056647784072,TRUE
10012,10011,0.0791,21.798258368433068,TRUE,TRUE,0.830056647784072,TRUE
10012,10011,0.0055,1.383765515867647,FALSE,TRUE,0.830056647784072,TRUE
10012,10011,0.0405,1.4000449026413142,TRUE,TRUE,0.830056647784072,TRUE
10012,10011,0.0781,4.789003041191902,FALSE,TRUE,0.830056647784072,TRUE
10013,10012,1e-4,2.242163512886545,FALSE,TRUE,0.8027324225258248,FALSE
10013,10012,0.0447,13.784876217501413,TRUE,TRUE,0.8027324225258248,FALSE
10013,10012,0.0502,9.445549386425352,FALSE,TRUE,0.8027324225258248,FALSE
10013,10012,0.05690000000001,20.8975889945301,TRUE,TRUE,0.8027324225258248,FALSE
10013,10012,0.0018,4.55311060905012,FALSE,TRUE,0.8027324225258248,FALSE
10013,10012,0.07010000000001,0.69998513934697,TRUE,TRUE,0.8027324225258248,FALSE
10013,10012,0.0799,0.4002239737327548,FALSE,TRUE,0.8027324225258248,TRUE
10013,10012,0.122,0.6799688854264752,TRUE,TRUE,0.8027324225258248,TRUE
10013,10012,0.0721,16.99157731342061,FALSE,TRUE,0.8027324225258248,TRUE
10013,10012,0.085,8.04490350645391,FALSE,TRUE,0.8027324225258248,TRUE
10013,10012,0.119,30.077037588410313,TRUE,TRUE,0.8027324225258248,TRUE
10013,10012,0.07020000000001,0.8710313123532508,TRUE,TRUE,0.8027324225258248,TRUE
10013,10012,0.1181,18.041383105548288,TRUE,TRUE,0.8027324225258248,TRUE
10014,10013,0.0193,29.517137479976114,FALSE,TRUE,0.40253248917027656,FALSE
10014,10013,0.05400000000001,38.87553697402305,FALSE,TRUE,0.40253248917027656,FALSE
10014,10013,0.0893,115.03573041881074,FALSE,TRUE,0.40253248917027656,FALSE
10014,10013,1e-4,32.645807986429695,FALSE,TRUE,0.40253248917027656,FALSE
10014,10013,0.0384,4.9228498008485175,FALSE,TRUE,0.40253248917027656,FALSE
10014,10013,0.0923,82.08520620421116,FALSE,TRUE,0.40253248917027656,FALSE
10015,10014,1e-4,0.659464650412576,FALSE,TRUE,0.5638120626457848,FALSE
10015,10014,0.0288,0.5561437040645438,FALSE,TRUE,0.5638120626457848,FALSE
10015,10014,0.05570000000001,1.0743468686093438,TRUE,TRUE,0.5638120626457848,FALSE
