transition_time_s,n,empirical,low,high,fitted,state
9.999999999998908e-5,12,0.8185288113228659,0.8185288113228659,0.8185288113228659,0.8246391236472039,Low mobility
1.0446557058765113e-4,12,0.6791729146720927,0.6791729146720927,0.6791729146720927,0.8186163219286964,Low mobility
1.0913055438204691e-4,12,0.6780846309996462,0.6780846309996462,0.6780846309996462,0.812447407783649,Low mobility
1.1400385632068466e-4,12,0.6769477492516136,0.6769477492516136,0.6769477492516136,0.8061327751938637,Low mobility
1.1909477899734221e-4,12,0.6757600992466248,0.6757600992466248,0.6757600992466248,0.7996730856539428,Low mobility
1.2441304041968922e-4,12,0.6747970842476245,0.6747970842476245,0.6747970842476245,0.7930692762677523,Low mobility
1.2996879255988732e-4,12,0.6739272858611451,0.6739272858611451,0.6739272858611451,0.7863225668764438,Low mobility
1.3577264073358177e-4,12,0.6730186460137471,0.6730186460137471,0.6730186460137471,0.7794344661219372,Low mobility
1.4183566384427332e-4,12,0.672069430212576,0.672069430212576,0.672069430212576,0.7724067763545397,Low mobility
1.4816943553171881e-4,12,0.6710778265097752,0.6710778265097752,0.6710778265097752,0.7652415972993835,Low mobility
1.5478604626472886e-4,12,0.6700419420436752,0.6700419420436752,0.6700419420436752,0.7579413284037052,Low mobility
1.616981264205323e-4,12,0.668959799425535,0.668959799425535,0.668959799425535,0.750508669796152,Low mobility
1.6891887039476898e-4,12,0.6678293329649223,0.6678293329649223,0.6678293329649223,0.742946621798999,Low mobility
1.7646206178812925e-4,12,0.6666483847265419,0.6666483847265419,0.6666483847265419,0.7352584829457129,Low mobility
1.8434209971772284e-4,12,0.6654147004109722,0.6654147004109722,0.6654147004109722,0.7274478464686163,Low mobility
1.92574026303397e-4,12,0.663386261485768,0.663386261485768,0.663386261485768,0.719518595234786,Low mobility
2.0117355538147865e-4,12,0.6102587451238306,0.6102587451238306,0.6102587451238306,0.711012352522405,Low mobility
2.1015710250074895e-4,12,0.5931350158951867,0.5931350158951867,0.5931350158951867,0.7023195694538036,Low mobility
2.1954181625790617e-4,12,0.5893627001324487,0.5893627001324487,0.5893627001324487,0.6935203875592874,Low mobility
2.2934561103233936e-4,12,0.5854219289465343,0.5854219289465343,0.5854219289465343,0.6846102985433522,Low mobility
2.39587201182694e-4,12,0.5813051798416146,0.5813051798416146,0.5813051798416146,0.6755868157162377,Low mobility
2.5028613677051224e-4,12,0.577004594399501,0.577004594399501,0.577004594399501,0.6664615326644908,Low mobility
2.6146284087913305e-4,12,0.5725119632787838,0.5725119632787838,0.5725119632787838,0.6572543844356432,Low mobility
2.731386485990985e-4,12,0.5678187105441281,0.5678187105441281,0.5678187105441281,0.6479503812313578,Low mobility
2.853358477544782e-4,12,0.5633823752062168,0.5633823752062168,0.5633823752062168,0.6385548373289361,Low mobility
2.9807772144785973e-4,12,0.55508979403524,0.55508979403524,0.55508979403524,0.629085182988001,Low mobility
3.1138859250521e-4,12,0.5351072655031341,0.5351072655031341,0.5351072655031341,0.6190184305044265,Low mobility
3.252938699054584e-4,12,0.5331462783075358,0.5331462783075358,0.5331462783075358,0.6088584597168458,Low mobility
3.398200972834258e-4,12,0.5310977218445038,0.5310977218445038,0.5310977218445038,0.5986221935908118,Low mobility
3.5499500359868064e-4,12,0.5289576856465872,0.5289576856465872,0.5289576856465872,0.5883309921658602,Low mobility
3.7084755606705454e-4,12,0.52672208462165,0.52672208462165,0.52672208462165,0.5779833154719285,Low mobility
3.8740801545584987e-4,12,0.5238862416596617,0.5238862416596617,0.5238862416596617,0.5675683947519796,Low mobility
4.0470799384829346e-4,12,0.5023401785261873,0.5023401785261873,0.5023401785261873,0.5571252688195019,Low mobility
4.227805149875019e-4,12,0.4911444326148276,0.4911444326148276,0.4911444326148276,0.5466336955625931,Low mobility
4.416600773151516e-4,12,0.4834618399938425,0.4834618399938425,0.4834618399938425,0.5360953722083228,Low mobility
4.613827198251842e-4,12,0.4754361757764037,0.4754361757764037,0.4754361757764037,0.525533357668577,Low mobility
4.81986090858255e-4,12,0.46707099154271153,0.46707099154271153,0.46707099154271153,0.5149621803197316,Low mobility
5.035095199682452e-4,12,0.45896038822823393,0.45896038822823393,0.45896038822823393,0.5043875117302954,Low mobility
5.259940929980275e-4,12,0.45462469484659074,0.45462469484659074,0.45462469484659074,0.4938000407383298,Low mobility
5.494827305077897e-4,12,0.4510479492706193,0.4510479492706193,0.4510479492706193,0.4838913124370202,Low mobility
