case,gas_velocity_m_s,df_over_dp,release_seed,centered_msd_exponent,velocity_positive_integral_time_s,velocity_variance_ratio_20ms,velocity_variance_ratio_50ms,non_gaussian_parameter_20ms,non_gaussian_parameter_50ms
paper3_rr_posteq_ug010_df005_s20260713_zero_300ms_20260716,0.1,0.05,20260713,1.8705024800674976,0.06714915088529413,0.8834969480681227,0.7474126160775175,-0.101036145316882,-0.2983210532103894
paper3_rr_posteq_ug010_df005_s20260714_zero_300ms_20260716,0.1,0.05,20260714,1.9152243165186087,0.07982727105273357,0.8935717741981245,0.798814171806711,-0.24290118610922817,-0.2980973144737967
paper3_rr_posteq_ug010_df005_s20260715_zero_300ms_20260716,0.1,0.05,20260715,1.88770556949791,0.07210550053347378,0.9142242842735272,0.8467342407589427,-0.28641828669512104,-0.3658128476662714
paper3_rr_posteq_ug010_df010_s20260713_zero_300ms_20260716,0.1,0.1,20260713,1.7726274416832506,0.04763387895023807,0.9673740137236516,0.9115837320086642,-0.2626687984940993,-0.34096842916166903
paper3_rr_posteq_ug010_df010_s20260714_zero_300ms_20260716,0.1,0.1,20260714,1.7788378479674734,0.04910076980506238,0.9477667402739344,0.8426626064240172,-0.28619605893957256,-0.4383725289266056
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716,0.1,0.1,20260715,1.7594366778774908,0.04479363770210903,0.992760223388206,0.9757577290093272,-0.29352474387207006,-0.36940445422976487
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716,0.2,0.05,20260713,1.797935189668376,0.06879159045047327,0.8445131264420171,0.7132549437464529,0.1651128380118021,0.33059285454503673
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716,0.2,0.05,20260714,1.8157422259614704,0.0906912412087892,0.7993280106940612,0.6594148466604074,0.3692407813875662,0.44581806709186145
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716,0.2,0.05,20260715,1.7909362252741814,0.07734938096958957,0.7800311983101376,0.634409410587872,0.3803691189345517,0.7308425311009892
paper3_rr_posteq_ug020_df010_s20260713_zero_300ms_20260716,0.2,0.1,20260713,1.83336940050408,0.05838950466590829,0.92788468313815,0.8529809423705339,-0.2234722675249522,-0.3701125752289527
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716,0.2,0.1,20260714,1.8018280873727064,0.04734796213879655,0.936099383782934,0.8590792456600491,-0.30761058415867326,-0.43590933636768103
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716,0.2,0.1,20260715,1.779554962364131,0.04763510070435603,0.9417805992369532,0.8797736631733843,-0.25114929175613965,-0.40434993829138344
