gas_velocity_m_s,df_over_dp,metric,selected_mesh_route,count,mean,standard_deviation,standard_error,ci95_low,ci95_high,minimum,maximum,same_sign_count,cell,gas,ratio
0.1,0.05,mean_dx_dp,coarse_2p5dp,3,20.6477466013814,1.4357802480715478,0.8289481127212558,17.081070741401625,24.214422461361178,19.699444088914827,22.299610335000224,3,"0.10
0.05",U[s] = 0.10 m s^-1,d[f]/d[p] = 0.05
0.1,0.05,mean_dz_dp,coarse_2p5dp,3,-0.5948527709223863,0.01454787459144633,0.00839921931150845,-0.6309916948203972,-0.5587138470243754,-0.6115979121224132,-0.5853222539627256,3,"0.10
0.05",U[s] = 0.10 m s^-1,d[f]/d[p] = 0.05
0.1,0.05,pressure_gradient_tail_mean_Pa_m,coarse_2p5dp,3,1268.8719360000002,0.15516323979562835,0.08958353826434048,1268.486489144551,1269.2573828554496,1268.696273777778,1268.9903075555558,3,"0.10
0.05",U[s] = 0.10 m s^-1,d[f]/d[p] = 0.05
0.1,0.05,fpt_5dp_reached_fraction,coarse_2p5dp,3,0.8133333333333334,0.05686240703077325,0.03282952600598701,0.6720792836489162,0.9545873830177504,0.75,0.86,3,"0.10
0.05",U[s] = 0.10 m s^-1,d[f]/d[p] = 0.05
0.1,0.05,centered_msd_exponent,coarse_2p5dp,3,1.8911441220280056,0.02255833319455697,0.01302405974234673,1.8351061158258213,1.9471821282301895,1.8705024800674976,1.9152243165186087,3,"0.10
0.05",U[s] = 0.10 m s^-1,d[f]/d[p] = 0.05
0.1,0.05,mean_sampled_contact_fraction,coarse_2p5dp,3,0.5906503914045045,0.03015773833307646,0.01741157834475199,0.5157344163110719,0.6655663664979371,0.5648253009252466,0.623793796924159,3,"0.10
0.05",U[s] = 0.10 m s^-1,d[f]/d[p] = 0.05
0.1,0.1,mean_dx_dp,coarse_2p5dp,3,17.459622601617944,0.7549624241216701,0.4358777587946987,15.584191972924415,19.335053230311473,16.765578658798738,18.26347661646654,3,"0.10
0.10",U[s] = 0.10 m s^-1,d[f]/d[p] = 0.10
0.1,0.1,mean_dz_dp,coarse_2p5dp,3,-2.262305491448607,0.26232727768429726,0.15145472438681074,-2.9139625747574796,-1.6106484081397348,-2.50193658455294,-1.9820271609542712,3,"0.10
0.10",U[s] = 0.10 m s^-1,d[f]/d[p] = 0.10
0.1,0.1,pressure_gradient_tail_mean_Pa_m,coarse_2p5dp,3,1269.0905054814814,0.11648799145488718,0.06725437322383794,1268.8011332689457,1269.3798776940173,1269.0223057777778,1269.225009777778,3,"0.10
0.10",U[s] = 0.10 m s^-1,d[f]/d[p] = 0.10
0.1,0.1,fpt_5dp_reached_fraction,coarse_2p5dp,3,0.7999999999999999,0.02999999999999997,0.01732050807568875,0.7254758686483468,0.8745241313516531,0.77,0.83,3,"0.10
0.10",U[s] = 0.10 m s^-1,d[f]/d[p] = 0.10
0.1,0.1,centered_msd_exponent,coarse_2p5dp,3,1.7703006558427383,0.00990766367393518,0.00572019228918675,1.74568865487526,1.7949126568102167,1.7594366778774908,1.7788378479674734,3,"0.10
0.10",U[s] = 0.10 m s^-1,d[f]/d[p] = 0.10
0.1,0.1,mean_sampled_contact_fraction,coarse_2p5dp,3,0.4643207819615684,0.02382916534831727,0.01375777502841508,0.40512585368095977,0.523515710242177,0.4369110296567812,0.480113295568144,3,"0.10
0.10",U[s] = 0.10 m s^-1,d[f]/d[p] = 0.10
0.2,0.05,mean_dx_dp,coarse_2p5dp,3,24.316684618240576,1.9138266547051983,1.104948334276327,19.562475651589068,29.070893584892083,22.111312882231083,25.54178001923986,3,"0.20
0.05",U[s] = 0.20 m s^-1,d[f]/d[p] = 0.05
0.2,0.05,mean_dz_dp,coarse_2p5dp,3,-0.3628097995755169,0.08350895824350606,0.04821391952163344,-0.5702575520148092,-0.15536204713622462,-0.4356419790397981,-0.2716639068766408,3,"0.20
0.05",U[s] = 0.20 m s^-1,d[f]/d[p] = 0.05
0.2,0.05,pressure_gradient_tail_mean_Pa_m,coarse_2p5dp,3,2563.38146962963,0.09056168968168858,0.05228581591599026,2563.1565019210543,2563.6064373382055,2563.2858880000003,2563.465996444445,3,"0.20
0.05",U[s] = 0.20 m s^-1,d[f]/d[p] = 0.05
0.2,0.05,fpt_5dp_reached_fraction,coarse_2p5dp,3,0.8033333333333332,0.06658328118479392,0.03844187531556932,0.6379312935720118,0.9687353730946546,0.73,0.86,3,"0.20
0.05",U[s] = 0.20 m s^-1,d[f]/d[p] = 0.05
