condition,case,origin_start_s,lag_s,raw_msd_x_m2,centered_msd_x_m2,centered_displacement_p50_m,centered_displacement_p90_m,centered_displacement_p99_m,non_gaussian_parameter_x,mean_increment_x_m,normalized_velocity_correlation,velocity_autocorrelation,velocity_covariance_m2_s2,velocity_origin_variance_m2_s2,velocity_endpoint_variance_m2_s2,velocity_endpoint_to_origin_variance_ratio,time_origin_particle_pair_count,bed_resident_particle_count,local_centered_msd_exponent,reference_msd,msd_ratio
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00109999999999999,7.004210044738403e-9,4.160247090440762e-9,4.6665214040264816e-5,1.0412124188934e-4,1.7735411695147e-4,0.09844090370077609,5.3027003235573795e-5,0.8041834901706828,0.8041834901706828,0.00299884525374529,0.00372898536867825,0.00372912659441725,1.0000378724304435,149000,100,1.9323461918811624,4.388561264161886e-9,0.9479751654407572
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00119999999999999,8.303614299209036e-9,4.919922246312212e-9,5.0905863726625434e-5,1.1305863060832e-4,1.9223740454684e-4,0.09210801441234429,5.784357751809022e-5,0.7894574839223899,0.7894574839223899,0.00294346581349602,0.00372823221796911,0.00372870087660316,1.0001257053226975,148900,100,1.9269136828446096,5.1920567725591875e-9,0.9475863731526881
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00129999999999999,9.708370518971894e-9,5.738269601927272e-9,5.5131344708744944e-5,1.2188361180039e-4,2.0719100454591e-4,0.08569361085327709,6.265917276223897e-5,0.7745118871010171,0.7745118871010171,0.00288724901254495,0.00372747913818903,0.00372818183604273,1.0001885182525905,148800,100,1.921438848088316,6.0581657067013345e-9,0.9471958806903871
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00139999999999999,1.1217242452562365e-8,6.614120476394449e-9,5.9383676647799515e-5,1.3064412213281e-4,2.2185681550634e-4,0.0792760374015391,6.74736225518384e-5,0.7595385838108264,0.7595385838108264,0.0028309063427708,0.00372670705603393,0.00372757221871787,1.000232152050305,148700,100,1.9158621251364671,6.9857585466815404e-9,0.9468006133043875
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00149999999999999,1.2829088274336298e-8,7.546367644755383e-9,6.361695216931018e-5,1.3934017141119e-4,2.363545362103e-4,0.07292040967287683,7.228698979984838e-5,0.7447540411623357,0.7447540411623357,0.00277536256820311,0.00372597327937322,0.00372712518792535,1.0003091564178686,148600,100,1.9101640032336085,7.973707546263155e-9,0.9464063738194106
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00159999999999999,1.454273898299256e-8,8.533902448548114e-9,6.784771152750936e-5,1.4798298654274e-4,2.5093784969805e-4,0.06666918907449082,7.709918243701615e-5,0.7302618239696657,0.7302618239696657,0.00272093787505836,0.00372534098555041,0.00372661069874849,1.0003408314038928,148500,100,1.9043607239350615,9.020888645423815e-9,0.9460157179611409
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00169999999999998,1.6357011874072137e-8,9.575601021822744e-9,7.20657082026791e-5,1.565037223949e-4,2.6527837512927e-4,0.06054115116567082,8.191013480900981e-5,0.7160562771781023,0.7160562771781023,0.00266751024322728,0.00372444998556754,0.00372611052062879,1.0004458470559932,148400,100,1.8984828127894195,1.0126272742506211e-8,0.9456195053514648
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00179999999999998,1.8270726415419488e-8,1.0670358994940928e-8,7.626798972841655e-5,1.6498395915333e-4,2.7967634470336e-4,0.05455193305449191,8.671967808277809e-5,0.702286126670095,0.702286126670095,0.00261574530097075,0.00372366117522367,0.00372556866825961,1.000512262782831,148300,100,1.892560151507534,1.1288932469605716e-8,0.9452053171254029
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00189999999999998,2.0282699016951267e-8,1.1817066608908402e-8,8.046210025513528e-5,1.7335028631993e-4,2.9349803740993e-4,0.04871342598548001,9.152771330916389e-5,0.688697039241285,0.688697039241285,0.00256461122818724,0.00372279195503337,0.00372492797850777,1.0005737692302437,148200,100,1.886617918060936,1.2507854577911944e-8,0.9447716660998419
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00199999999999998,2.2391894148334903e-8,1.3014709158470914e-8,8.467090335923701e-5,1.8178857373887e-4,3.07746585018e-4,0.04302749259579075,9.63343970247166e-5,0.6754982747205016,0.6754982747205016,0.00251497207564963,0.00372202182547825,0.00372425089631974,1.0005988870957794,148100,100,1.8806823623919464,1.3782026964491596e-8,0.9443247493276844
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00209999999999998,2.4597237630402747e-8,1.4262256996087004e-8,8.885438542632855e-5,1.8993250923939e-4,3.2150077897171e-4,0.03749314768979484,1.0113977315234e-4,0.6627295180340258,0.6627295180340258,0.00246696086055342,0.00372134778791046,0.00372350232583837,1.0005789670975958,148000,100,1.874780064473223,1.5110493588256427e-8,0.9438644020981117
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00219999999999998,2.689774395399757e-8,1.5558746559391833e-8,9.303889864410444e-5,1.9817257020728e-4,3.3492494614136e-4,0.03210477750598128,1.0594396281525e-4,0.6502853130456887,0.6502853130456887,0.00242022156953859,0.00372076386563627,0.00372280470942463,1.000548501292226,147900,100,1.8689314111513844,1.6492327916616838e-8,0.9433929908533789
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00229999999999998,2.9292547251772557e-8,1.6903285933796538e-8,9.720935308740373e-5,2.0616238047647e-4,3.4884448946845e-4,0.02684855005290454,1.1074722975203e-4,0.6383517472232656,0.6383517472232656,0.00237540686972783,0.00372021321483915,0.00372210038868521,1.000507275722407,147800,100,1.863147269888343,1.7926647500056514e-8,0.9429139460539541
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00239999999999998,3.1780648156799e-8,1.829491785129722e-8,1.013919050736e-4,2.1437087393967e-4,3.6220585645553e-4,0.02171677020908902,1.1554957357719e-4,0.6266053620262005,0.6266053620262005,0.00233127891155703,0.0037196424452799,0.00372133751859467,1.0004557086708472,147700,100,1.857430547428508,1.9412642751537078e-8,0.9424228367798426
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,0.00249999999999998,3.436106998926959e-8,1.9732740743996725e-8,1.0555536476608e-4,2.2233685754724e-4,3.7570843593632e-4,0.01670432041001124,1.2035084027918e-4,0.6151575960254418,0.6151575960254418,0.00228825971212615,0.00371903218973386,0.00372055654311996,1.0004098790514102,147600,100,1.8517923125434883,2.0949450968264173e-8,0.941921617606561
