time_s,series,passage
0.00375,CFD-DEM passage,0
0.00375,Classical,1.04234564811702e-6
0.00375,Time-fractional,0
0.0075,CFD-DEM passage,0
0.0075,Classical,7.619382510398e-4
0.0075,Time-fractional,0
0.01125,CFD-DEM passage,0
0.01125,Classical,0.00732709694431893
0.01125,Time-fractional,0
0.015,CFD-DEM passage,0
0.015,Classical,0.02337151332478576
0.015,Time-fractional,0
0.01875,CFD-DEM passage,0
0.01875,Classical,0.04758816380635301
0.01875,Time-fractional,9.6666666666666e-4
0.0225,CFD-DEM passage,0.00666666666666666
0.0225,Classical,0.07714948464689085
0.0225,Time-fractional,0.00733333333333333
0.02625,CFD-DEM passage,0.03333333333333333
0.02625,Classical,0.10959663528143258
0.02625,Time-fractional,0.027
0.02942707884434664,CFD-DEM passage,0.04333333333333333
0.02942707884434664,Classical,0.13803715816336765
0.02942707884434664,Time-fractional,0.06063333333333333
0.03,CFD-DEM passage,0.04666666666666667
0.03,Classical,0.14319391599368558
0.03,Time-fractional,0.06916666666666667
0.03181510040657616,CFD-DEM passage,0.06666666666666667
0.03181510040657616,Classical,0.15951590188764725
0.03181510040657616,Time-fractional,0.097
0.03375000000000001,CFD-DEM passage,0.08333333333333333
0.03375000000000001,Classical,0.1768162543035766
0.03375000000000001,Time-fractional,0.13063333333333332
0.03479752878473328,CFD-DEM passage,0.09333333333333334
0.03479752878473328,Classical,0.1861107337072016
0.03479752878473328,Time-fractional,0.15016666666666667
0.03702793784173868,CFD-DEM passage,0.11666666666666668
0.03702793784173868,Classical,0.2056751697305982
0.03702793784173868,Time-fractional,0.19276666666666667
0.03750000000000001,CFD-DEM passage,0.12333333333333334
0.03750000000000001,Classical,0.2097707603998238
0.03750000000000001,Time-fractional,0.20213333333333333
0.03844290496826499,CFD-DEM passage,0.14333333333333334
0.03844290496826499,Classical,0.21789916025717357
0.03844290496826499,Time-fractional,0.22083333333333333
0.03888017565182845,CFD-DEM passage,0.16666666666666666
0.03888017565182845,Classical,0.22164411934230785
0.03888017565182845,Time-fractional,0.22956666666666667
0.03989250939187219,CFD-DEM passage,0.19333333333333333
0.03989250939187219,Classical,0.23025172249434908
0.03989250939187219,Time-fractional,0.2517
0.04104451024538511,CFD-DEM passage,0.21666666666666667
0.04104451024538511,Classical,0.23993659642407184
0.04104451024538511,Time-fractional,0.2760666666666667
0.04125000000000001,CFD-DEM passage,0.22333333333333333
0.04125000000000001,Classical,0.24165143342077183
0.04125000000000001,Time-fractional,0.2808333333333333
0.04180784294666096,CFD-DEM passage,0.24333333333333337
0.04180784294666096,Classical,0.24628688614095345
0.04180784294666096,Time-fractional,0.2911666666666667
0.04305509034297137,CFD-DEM passage,0.27
0.04305509034297137,Classical,0.25654434840112106
0.04305509034297137,Time-fractional,0.3165
0.04384686637123557,CFD-DEM passage,0.29333333333333333
0.04384686637123557,Classical,0.26297797580930266
0.04384686637123557,Time-fractional,0.33203333333333335
0.04500000000000001,CFD-DEM passage,0.31666666666666665
0.04500000000000001,Classical,0.27223741740101465
0.04500000000000001,Time-fractional,0.35496666666666665
0.04509456750746133,CFD-DEM passage,0.32
0.04509456750746133,Classical,0.2729909116057569
0.04509456750746133,Time-fractional,0.3567
0.04637484502736201,CFD-DEM passage,0.3433333333333333
0.04637484502736201,Classical,0.2831036137183862
0.04637484502736201,Time-fractional,0.37926666666666664
0.04717538581839037,CFD-DEM passage,0.37
0.04717538581839037,Classical,0.289342930112002
0.04717538581839037,Time-fractional,0.3932
