case,gas_velocity_m_s,df_over_dp,release_seed,step_count,observed_transition_count_total,right_censored_count_max,p50_distance_exponent,p50_distance_r2,p90_distance_exponent,p90_distance_r2,p99_distance_exponent,p99_distance_r2,median_p90_over_p50,median_p99_over_p50,winning_transition_model,winning_transition_model_share,minimum_transition_duration_span_decades,transition_tail_span_sufficient_share,minimum_delta_aic_exponential,minimum_delta_aic_lognormal
main300ms_ug020_df010_seed20260713_12662,0.2,0.1,20260713,4,8065,91,1.0670844041545031,0.9995143080333413,0.8083758303750408,0.9997560691450431,0.8517976563814349,0.9996986197383346,2.150033415618708,8.229543597167922,lognormal,1.0,1.8381895870739056,0.75,249.42061511960947,0.0
paper3_rr_posteq_ug010_df005_s20260713_zero_300ms_20260716,0.1,0.05,20260713,4,7052,94,1.050780440698075,0.999788182361779,0.9037941711223201,0.999836909142977,0.597870287441679,0.9973474785069947,1.8631997096822341,4.493789612855336,lognormal,1.0,3.011460756741012,1.0,199.06179292777756,0.0
paper3_rr_posteq_ug010_df005_s20260714_zero_300ms_20260716,0.1,0.05,20260714,4,7136,91,1.0400739577466291,0.9996018779678832,0.9045990788783227,0.9996128077251041,0.3689921475367861,0.9716958198130045,1.6827178380482668,4.5175013428179716,lognormal,1.0,2.068995298056078,1.0,214.3428169354538,0.0
paper3_rr_posteq_ug010_df005_s20260715_zero_300ms_20260716__job_12780,0.1,0.05,20260715,4,7960,87,1.0601243640786828,0.9998047594524011,0.9147179714314225,0.999838498115911,0.7042983509135609,0.9978483759510439,1.7315960431716448,3.858959105187105,lognormal,1.0,2.4111110596735785,1.0,268.70854520115404,0.0
paper3_rr_posteq_ug010_df010_s20260713_zero_300ms_20260716,0.1,0.1,20260713,4,6212,100,1.0760021351322828,0.9990789515149858,0.816733525925276,0.9999509214595537,0.2937644368730889,0.48788134438453723,1.917158507788137,8.345607152029583,lognormal,1.0,2.117114495745211,1.0,227.2680750909941,0.0
paper3_rr_posteq_ug010_df010_s20260714_zero_300ms_20260716__job_12782,0.1,0.1,20260714,4,6019,100,1.0750804108673782,0.9992767101743365,0.796705955956186,0.9999285548793212,0.42810490372611426,0.7346853508966582,1.9908969495634388,8.893670438746685,lognormal,1.0,2.809064314235867,1.0,222.21488882756285,0.0
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,0.1,0.1,20260715,4,6559,100,1.0882972814737248,0.9995077846045708,0.8559926951155054,0.9997334543458369,0.4257193955998863,0.6517223095898368,1.8129935462270506,7.379302426054249,lognormal,1.0,2.65585064687215,1.0,284.61364230567983,0.0
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,0.2,0.05,20260713,4,8966,66,1.0528242070705829,0.9998335557672537,0.900158556861613,0.9999243317065326,0.5920312879928822,0.9747541084494702,2.0764561940284514,8.094575505242638,lognormal,1.0,1.542308209055092,0.5,299.42783234118247,0.0
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,0.2,0.05,20260714,4,7734,70,1.0554338194416308,0.9993423021191815,0.9104434671108074,0.9999612846972868,0.4414968508727225,0.8501822824846033,2.0784636411430846,8.33868559005495,lognormal,1.0,1.9910664630823578,0.75,274.8400990540297,0.0
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,0.2,0.05,20260715,4,8866,64,1.0635881029287901,0.9998269824593907,0.9057963757107786,0.9995807934939297,0.6347143782358448,0.9997391890786862,1.9895586317438116,6.170254533032516,lognormal,1.0,2.051693960513399,1.0,310.5065364220627,0.0
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,0.2,0.1,20260714,4,8687,86,1.079266551376082,0.9989285020013231,0.7896219079253302,0.9998620172020025,0.7348377190854913,0.9635006339983115,2.045521590076496,9.619143556092467,lognormal,1.0,2.779507575788865,1.0,297.0027939372301,0.0
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,0.2,0.1,20260715,4,9129,93,1.0828787617044073,0.9997075824160365,0.8225708782001379,0.9999742927653955,0.8045600935809298,0.9754782622308347,2.009498332008593,8.456396743569499,lognormal,1.0,2.0805892045549164,1.0,337.41859418532977,0.0
