case,gas_velocity_m_s,df_over_dp,release_seed,state,combination_count,winning_model,winning_model_share,power_law_family_winner_share,minimum_duration_span_decades,tail_span_sufficient_share,power_law_tail_supported_share,alpha_available_count,alpha_median,alpha_min,alpha_max,maximum_threshold_alpha_range,maximum_sampling_alpha_range,minimum_delta_aic_exponential,minimum_delta_aic_lognormal
paper3_rr_posteq_ug010_df010_s20260714_zero_300ms_20260716__job_12782,0.1,0.1,20260714,low_mobility,12,lognormal,0.9166666666666666,0.08333333333333333,1.6334684555795986,0.6666666666666666,0.08333333333333333,1,0.6087258241207272,0.6087258241207272,0.6087258241207272,0.0,0.0,77.33819443190123,0.0
paper3_rr_posteq_ug010_df010_s20260714_zero_300ms_20260716__job_12782,0.1,0.1,20260714,reverse,12,lognormal,1.0,0.0,1.0413926851582371,0.5,0.0,0,nan,nan,nan,nan,nan,26.5263685642758,0.0
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,0.1,0.1,20260715,low_mobility,12,lognormal,1.0,0.0,1.7923916894982537,0.75,0.0,0,nan,nan,nan,nan,nan,100.11835528349502,0.0
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716__job_12784,0.1,0.1,20260715,reverse,12,lognormal,1.0,0.0,0.8450980400142689,0.08333333333333333,0.0,0,nan,nan,nan,nan,nan,29.35695676480998,0.0
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,0.2,0.05,20260713,low_mobility,12,lomax_power_law,1.0,1.0,2.383815365980443,1.0,1.0,12,0.5965635309153553,0.5261632522136932,0.6213921095801415,0.08388602638367926,0.0765808621460935,1017.0120635276326,102.58128280908159
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716__job_12786,0.2,0.05,20260713,reverse,12,lognormal,1.0,0.0,1.1461280356782502,0.25,0.0,0,nan,nan,nan,nan,nan,63.71381108618016,0.0
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,0.2,0.05,20260714,low_mobility,12,lomax_power_law,1.0,1.0,2.385606273598324,1.0,1.0,12,0.537575540834312,0.42056384870152963,0.6141989127453885,0.15082529141407996,0.12321085296865286,885.3468498682635,102.79467901585326
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716__job_12788,0.2,0.05,20260714,reverse,12,lognormal,1.0,0.0,1.6627578316815859,0.6666666666666666,0.0,0,nan,nan,nan,nan,nan,79.97340060835563,0.0
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,0.2,0.05,20260715,low_mobility,12,lomax_power_law,1.0,1.0,2.389166084364544,1.0,1.0,12,0.6134880336515585,0.5173324125218396,0.666706076957382,0.12237877501689665,0.09518157461261845,1011.558343370572,107.31213404125401
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716__job_12790,0.2,0.05,20260715,reverse,12,lognormal,1.0,0.0,1.2552725051033176,0.3333333333333333,0.0,0,nan,nan,nan,nan,nan,93.26680589892658,0.0
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,0.2,0.1,20260714,low_mobility,12,lognormal,0.5833333333333334,0.4166666666666667,1.8692317197309882,0.75,0.4166666666666667,5,0.7615226715772584,0.6383588340912703,0.8360192999250771,0.13246905170570744,0.17840084133465417,121.60203897557903,0.0
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716__job_12792,0.2,0.1,20260714,reverse,12,lognormal,1.0,0.0,1.0791812460476369,0.3333333333333333,0.0,0,nan,nan,nan,nan,nan,41.19013065398576,0.0
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,0.2,0.1,20260715,low_mobility,12,lognormal,0.5833333333333334,0.4166666666666667,1.9084850188786495,0.75,0.4166666666666667,5,0.8013672171992247,0.6842480062446286,1.0563037227694947,0.25493650557027003,0.22855597905491665,171.52266417677902,0.0
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716__job_12794,0.2,0.1,20260715,reverse,12,lognormal,1.0,0.0,1.0791812460476369,0.25,0.0,0,nan,nan,nan,nan,nan,48.95141237141593,0.0
