gas_velocity_m_s,df_over_dp,release_count,p50_distance_exponent_mean,p50_distance_exponent_min,p50_distance_exponent_max,median_p90_over_p50_mean,median_p99_over_p50_mean,transition_model_winner_share_mean,minimum_delta_aic_exponential,low_mobility_alpha_available_release_count,low_mobility_alpha_median_across_releases,low_mobility_power_law_winner_share_mean,low_mobility_tail_span_sufficient_share_mean,low_mobility_power_law_supported_share_mean,reverse_lognormal_winner_share_mean
0.1,0.05,3,1.0503262541744622,1.0400739577466291,1.0601243640786828,1.759171196967382,4.290083353620137,1.0,199.06179292777756,3,0.6765745573661305,1.0,1.0,1.0,1.0
0.1,0.1,3,1.0797932758244622,1.0750804108673782,1.0882972814737248,1.9070163345262088,8.206193338943505,1.0,222.21488882756285,2,0.6419433009576851,0.05555555555555555,0.7222222222222222,0.05555555555555555,1.0
0.2,0.05,3,1.0572820431470014,1.0528242070705829,1.0635881029287901,2.0481594889717827,7.534505209443368,1.0,274.8400990540297,3,0.5965635309153553,1.0,1.0,1.0,1.0
0.2,0.1,3,1.0764099057449974,1.0670844041545031,1.0828787617044073,2.068351112567932,8.768361298943296,1.0,249.42061511960947,3,0.7757981413066047,0.4166666666666667,0.75,0.4166666666666667,1.0
