ix,iy,iz,resolved_x_center_m,unresolved_x_center_m,y_center_m,z_center_m,resolved_fluid_volume_m3,resolved_epsilon,unresolved_epsilon_raw,unresolved_epsilon_drag_used,resolved_ux_m_per_s,resolved_uy_m_per_s,resolved_uz_m_per_s,resolved_mean_umag_m_per_s,resolved_ux_std_within_bin_m_per_s,unresolved_ux_m_per_s,unresolved_uy_m_per_s,unresolved_uz_m_per_s,resolved_qx_m_per_s,unresolved_qx_m_per_s,resolved_p_m2_per_s2,unresolved_p_m2_per_s2
0,0,0,0.00125,0.00125,0.00125,0.0013,7.668624677764667e-09,0.471915364785518,0.455568,0.455568,0.23598256096852502,-0.029685478619829692,-0.01978745762224236,0.28681603370910325,0.20257833926570498,0.254887,-0.00419725,-0.00464852,0.11136379634248222,0.116118364,118.67239502247419,348.591
0,0,1,0.00125,0.00125,0.00125,0.0039,7.229874831279734e-09,0.444915374232599,0.445569,0.445569,0.21946746436671744,-0.02397084847948711,0.0018763938078590844,0.2776711319192492,0.1893404558305697,0.155092,-0.00229174,-0.00287812,0.09764444904059769,0.06910419,118.01143585165333,348.89
0,0,2,0.00125,0.00125,0.00125,0.0065,6.882374032258123e-09,0.42353070967742296,0.422236,0.422236,0.19996173358394537,-0.035172331487344964,0.06988849134061079,0.26573394532660277,0.1757841610178349,0.160493,-0.00127292,0.000212744,0.08468993493313616,0.06776592,111.48932444749695,348.893
0,0,3,0.00125,0.00125,0.00125,0.0091,7.249376133507846e-09,0.4461154543697136,0.453346,0.453346,0.18780441605686132,-0.0006654896542511564,0.1340840868327108,0.2933837556631897,0.17928857730326164,0.166307,-0.00302462,0.00611282,0.08378245240184543,0.075394616,101.07544477614958,348.872
0,0,4,0.00125,0.00125,0.00125,0.011699999999999999,8.73975090788764e-09,0.5378308251007778,0.525567,0.525567,0.25300883346923636,0.021988262735563476,0.14916566305440793,0.38103750565450123,0.25962060461657294,0.377975,-0.00782234,0.0125227,0.1360759496625447,0.19865118,82.0041980502328,348.298
0,1,0,0.00125,0.00125,0.00375,0.0013,7.326749717900495e-09,0.45087690571695355,0.450013,0.450013,0.23664472134917042,-0.045827069449918795,-0.000159190088589682,0.2985445540657193,0.20689140550804158,0.185173,-0.0035396,-0.00302348,0.10669763971616465,0.08333026,122.03791298387742,348.848
0,1,1,0.00125,0.00125,0.00375,0.0039,6.640749732765538e-09,0.4086615220163408,0.413347,0.413347,0.2347852675167231,0.0046014451273158445,0.014436615566149454,0.2970500881686641,0.2178046221468768,0.0571885,-0.000615091,-0.000558125,0.09594770477039781,0.023638695,119.92997339858158,349.115
0,1,2,0.00125,0.00125,0.00375,0.0065,6.596624386007383e-09,0.40594611606199277,0.442235,0.442235,0.24102339429565853,-0.03132956557284092,0.054538232384121664,0.30462112280459036,0.24433404665715236,0.124484,-0.0012048,-0.000234326,0.09784251079440084,0.05505118,114.19323892898903,349.014
0,1,3,0.00125,0.00125,0.00375,0.0091,6.58037470163363e-09,0.40494613548514646,0.376681,0.4,0.19993908038766703,-0.03843720507630416,0.11999955256988366,0.3116510005646707,0.18110719682621984,0.0215361,-0.000327818,0.000489499,0.0809645579354398,0.00811224,101.69754710499014,349.151
0,1,4,0.00125,0.00125,0.00375,0.011699999999999999,8.295750742439873e-09,0.5105077379962999,0.495567,0.495567,0.29340170413246613,0.013612324358257976,0.18889494783978436,0.4470285908913924,0.31861760746199197,0.211526,-0.00493763,0.00676296,0.14978384030092493,0.10482531,81.57327316987072,348.64
