cells_per_dp,fluid_cells,small_determinant_cells,small_determinant_fraction,open_inlet_area_m2,open_area_fraction,imposed_open_patch_velocity_m_per_s,final_inlet_phi_m3_per_s,final_outlet_phi_m3_per_s,absolute_outlet_to_inlet_flow_ratio,inlet_kinematic_pressure_m2_per_s2,outlet_kinematic_pressure_m2_per_s2,full_window_kinematic_pressure_drop_m2_per_s2,resolved_window_porosity,nominal_window_porosity,resolved_window_porosity_error,resolved_dpdx_m_per_s2_per_m,unresolved_dpdx_m_per_s2_per_m,absolute_gradient_ratio_resolved_over_unresolved,ergun_kinematic_pressure_gradient_m2_per_s2_per_m,resolved_to_ergun_gradient_ratio,unresolved_to_ergun_gradient_ratio,fluid_phase_ux_pearson_r,fluid_phase_ux_relative_l2,superficial_qx_pearson_r,superficial_qx_relative_l2,void_speed_p10_m_per_s,void_speed_p50_m_per_s,void_speed_p90_m_per_s,void_speed_p95_m_per_s,void_speed_p99_m_per_s
10,828401,17711,0.021379742419432135,0.00017431,0.893897435897436,0.111869657506741,-1.95000597e-05,1.950005961e-05,0.9999999953846296,178.4291967,0.0,178.4291967,0.3556835891566608,0.4106498298087854,-0.054966240652124576,-15534.928666626067,-7441.11506304647,2.0877151522322928,9140.501555671548,1.6995707042997952,0.8140817019422054,0.7705967033474138,0.45454229213694775,0.8386567006490124,0.36368960475690776,0.02810908641972199,0.2740255353705986,0.9376014683942064,1.2287710895817336,1.9921148945869929
15,3172752,27899,0.008793312556417899,0.0001818622222,0.9326267805128204,0.107224027970774,-1.949999492e-05,1.949999484e-05,0.9999999958974347,128.1461108,0.0,128.1461108,0.40327230979578116,0.4106498298087854,-0.007377520013004235,-10981.274785438109,-7441.11506304647,1.4757566160981068,9140.501555671548,1.2013864576856166,0.8140817019422054,0.7300928755125007,0.35269311928250496,0.8084191403981528,0.3362797114437362,0.05517917492100591,0.23181271897788056,0.6922205058259471,0.910456172575329,1.519669361830512
20,7731738,37335,0.004828797871836836,0.000185135,0.9494102564102564,0.105328544035434,-1.950008442e-05,1.950008455e-05,1.000000006666638,120.8796819,0.0,120.8796819,0.41446935529671225,0.4106498298087854,0.003819525487926856,-10321.191572521813,-7441.11506304647,1.3870490491106866,9140.501555671548,1.1291712505773455,0.8140817019422054,0.7219476291806712,0.34228627819085317,0.8086484597117031,0.3324289627826118,0.05085891858113301,0.22311265341002165,0.6571024350925236,0.8623621354573867,1.4437059153742038
